start	end	text
4.070	15.523	弟兄姊妹平安，我們一起來思想,真言第二十七章,願上帝智慧的真言,今天使我們的心靈甦醒,使我們能夠走在上帝的正道上。
15.523	22.911	二十七章第一節,不要為明日自誇,因為一日要生何事,你尚且不能知道。
24.104	55.933	當我們很多事情很順利的時候就開始飄飄然常常為明天我要幹嘛明天我必能夠成就什麼事就心中驕傲自大自誇起來遠離了倚靠上帝的心這是我們一定要去留意被聖靈提醒的因為每一天會發生什麼事根本不是你可以控制的第二節要別人誇獎你不可用口自誇 等外人稱讚你,不可用嘴自稱。
55.933	85.023	這邊也是提醒我們我們都喜歡自誇自大你如果真的做人做事都做得很好、很對、很有價值、容神益人其實別人自然會給你feedback別人自然會稱讚你你不用老王賣瓜、自賣、自誇喜歡自誇的人永遠如同 一個不去照鏡子的人,他永遠沒有辦法看清楚自己生命,真正有幾斤幾兩重。
85.023	88.685	第三節,石頭重,沙土沉。
88.685	92.647	慾望人的煩惱比這兩樣更重。
92.647	94.969	慾望人就代表說他不願意倚靠上帝。
95.589	104.358	愚妄人的惱怒,他不願意倚靠上帝,他心中就永遠在憤怒、生氣、懊惱。
104.358	114.148	好像生命裡面裝了很多很重的石頭、很沉的沙土,不得自由,也沒有上帝來的喜樂。
114.148	117.071	因此,應該要回來倚靠神。
118.029	123.351	我們生命就能夠走這個清省喜樂的道路。
123.351	130.975	第四節憤怒為殘忍怒氣為狂瀾唯有嫉妒誰能抵擋得住呢?
130.975	153.698	這邊講到說憤怒或是怒氣雖然它很殘忍很像波濤洶湧的巨浪狂瀾一樣但是有一件事情是更可怕更不好的事就是嫉妒 當嫉妒一來的時候,誰的心都抵擋不住。
153.698	160.831	也就是說當一個人心裡面開始有嫉妒, 第五節,當面的責備,強如背地的愛情。
160.831	163.452	朋友家的傷痕,疏於忠誠。
163.452	165.953	仇敵連連親嘴,卻是多餘。
177.858	181.181	忠言逆耳,很不容易的事情。
181.181	186.647	因此,當面的責備,要跟第五姊、第六姊一起看。
186.647	192.653	好朋友當面的責備,會讓你覺得好像你會受傷。
192.653	231.823	但是他如果是出於忠誠和真實的友誼跟真理, 那這樣當面的責備就算你當下覺得不好受也強如背地的愛情背地的原文是隱藏強如隱藏的愛情就是說其實就是說你真的愛我其實你就當時候就應該要跳出來對我說真話這樣才是真正的幫助我不然隱藏的愛情有什麼用呢不如顯明跳出來的這個 這個忠言，這個良言，來規勸我。
231.823	249.841	那更何況有些仇敵，是這個口蜜復健，這個他對你連連親嘴，對你的生命卻是多餘的，一點幫助都沒有，可是我們都喜歡聽怎麼樣，好聽的話，因此朋友的傷痕出於忠誠， 這個怎麼樣?
249.841	252.002	這個是對我們有幫助的。
252.002	259.968	第七節,人吃飽了,厭惡蜂房的蜜,人飢餓了,一切苦物都覺甘甜。
259.968	271.737	生命當中,如果我們被上帝的祝福跟上帝的真理充滿的話,那其他的事情就不能夠隨隨便便引誘你。
271.737	277.321	就好像一個人吃飽了,那再甜的蜂蜜也不能引誘你去吃。
277.961	307.525	那一樣一個人如果生命他飢餓了他裡面很空虛因為他沒有讓上帝的真理跟上帝的愛和喜樂充滿他他就是一個生命饑渴的人那一切苦的東西他都飢不擇食拿來就吃甚至還覺得很甘甜 怨神祂是我們的生命的裡面是被祂充滿的以至於我們不會飢不則死苟即跳牆。
307.525	321.536	第八節人離本處漂流好像雀鳥離窩游飛膏油與香料 使人心喜悅,朋友誠實的勸教,也是如此甘美。
321.536	325.580	你的朋友和父親的朋友,你都不可離棄。
325.580	329.704	你遭難的日子,不要上弟兄的家去。
329.704	333.568	相敬的鄰舍,強如遠方的弟兄。
333.568	338.433	第八節到第十節在強調我們生命中要有良友。
