start	end	text
4.019	5.720	兄姊妹平安，我們一起來思想。
5.720	7.681	真言第十一章。
7.681	20.969	真言從第十章開始,一直到二十二章十六節,是整個真言的八個選集裡面,篇幅最長的一個選集。
20.969	23.751	它被稱為是所羅門的真言。
23.751	29.975	我們上次也談到,在這一大段的所羅門真言裡面,要談的主題有四個。
29.975	34.638	一個是警戒我們, 口舌、說話要注意。
34.638	39.261	那第二個是這個警戒我們品格要注意。
39.261	46.346	就是對待我們自己的婚姻、家庭、兒女的教育、夫妻的關係。
46.346	52.269	以及另外一個就是對於外人、鄰舍、朋友的關係。
52.269	58.414	這個對內跟對外的關係裡面,我們如何去操練一個 有品格的智慧人生。
58.414	63.198	會使我們從神跟人那邊得到恩寵。
63.198	65.240	第三個主題會談到的是財富。
65.240	70.665	特別談到義人若順服神的教導。
70.665	74.408	那他就不至敗亡也不至受羞辱。
74.408	79.873	也要在神很多有形無形的這些恩典跟恩寵裡面。
81.374	84.057	得著滿滿的果子。
84.057	93.386	看得見的財富也是其中一種神賞賜給願意謙卑受教行真理的義人的一個果子。
93.386	100.214	第四個就是談到敬畏神和不敬畏神的義人以及惡人他們的人生結局不一樣。
100.674	105.079	所以你要選擇是哪一種結局﹐哪一種道路呢?
105.079	115.633	因此就是針對言語﹐還有品格﹐還有財富﹐還有敬畏神與否﹐來作為這一大段的所羅門真言的重點。
116.954	119.816	我們繼續來看第十一章。
119.816	126.241	詭詐的天平,為耶和華所憎惡,公平的法馬,為他所喜悅。
126.241	132.947	天平跟法馬是做生意的時候,那你這個天平本身就有做了手腳。
132.947	139.332	你就是在交易,或是跟別人買賣東西,對待別人的事情上,佔別人便宜的。
139.872	142.074	那這個是神所恨惡的。
142.074	146.118	不要以為,這個神不知鬼不覺。
146.118	147.899	沒有,神都在看。
147.899	153.104	我們在做每一個,佔人家便宜的事情的時候,神都在看。
153.104	159.750	所以,其實真言,很多都是很,這些都是很簡短的格言。
159.750	162.351	基本上, 一讀就會懂了。
162.351	169.193	那就看我們有沒有受教的心,會不會願意被聖靈光照,立刻就悔改。
169.193	185.397	所以我們如果,我們在讀這段的時候,神有提醒我們,有用詭詐,或是佔別人便宜的方式,對待我們的親人,對待我們的同事,對待我們的弟兄姊妹,我們就要悔改。
185.397	191.930	其實今天很多家庭在 每次只要分配遺產,這些問題就會出現。
191.930	195.301	我個人認為,其實我們一切所需的,神都會供應。
195.981	227.796	如果有時候在面對這些這些紛擾的金錢的事情的時候有時候其實寧可自己退一步自己吃點虧讓這些不必要的爭論趕快就是到此為止人生還有很多更重要的事情值得我們去花時間去做因此不要浪費太多時間在這些金錢的糾紛上 第二節,驕傲來,羞恥也來,謙遜人卻有智慧。
227.796	231.941	正義裡面一直強調,心中驕傲的人,他就是愚昧的人。
231.941	237.189	因此呢, 只要看到驕傲一出現,我們就知道這個人準備怎麼樣?
237.189	241.071	要面對羞恥,要面對失敗跟羞辱。
241.071	243.192	那謙遜的人,他卻怎麼樣?
243.192	245.392	不倚靠自己的聰明智慧。
245.392	248.854	他心中在乎上帝的真理跟智慧。
248.854	253.896	因此謙遜的人,他反而是大有生命智慧。
253.896	257.798	第三節,正直人的純正必引導自己。
257.798	261.580	反之,奸詐人的乖癖必毀滅自己。
262.688	269.431	我們每個人心中都有一個地圖,或是有一個GPS衛星導航。
269.431	279.995	如果我們裡面那個地圖充滿了都是要去尋找詭詐的事,尋找不義之財,尋找競爭,尋找不好的事情。
279.995	288.818	我們裡面如果想的都是這些道路的話,我們行出來的時候,就會被內心所充滿的去引導。
289.258	297.284	所以呢,正直的人,因為他心中不斷的被神光照修剪,他心中是純正的。
297.284	304.409	因此,引導他所說所行的,也都是這些純正的觀念跟思想。
304.409	345.169	反之,奸詐的人, 它裡面都是不聽神的勸不聽真理的勸每天想的都是一些亂七八糟的事因此每天在引導祂的所言跟所行的也都是要毀滅祂的亂七八糟的事第四節,發怒的日子 發怒的日子代表上帝公義的審判或是在地上別人因為用法律或是道德律來制裁我們 所以,發怒的日子,你平時積攢再多的錢財,對你一點幫助都沒有。
345.169	358.982	唯有平時就能夠做一個正直的人,讓純正來引導我們自己的人,這樣子就能夠在發怒的時候脫離死亡,因為在我們身上沒有可責備之處。
358.982	360.963	第五節,完全人的義。
361.544	366.226	必指引祂的路,但惡人必因自己的惡跌倒。
366.226	368.788	這跟第三節很像。
368.788	373.890	就是說,裡面所充滿的,祂會指導你的一言一行。
373.890	405.854	因此,當聖靈光照你,或是有人指證你, 怎麼你所說的話你所做的事不合正道的時候不合真理的時候我們應該謙卑受教去改變我們裡面的一些想法跟觀念用上帝的想法跟觀念來做事情那這樣我們就被我們自己裡面的意所引導找到自己當行的路 第六節,正直人的義必拯救自己,奸詐人必陷在自己的罪孽中。
405.854	408.634	你中的是什麼,收的就是什麼。
408.634	415.377	第七節,惡人一死,他的指望必滅絕,罪人的盼望也必滅沒。
