start	end	text
18.797	27.181	弟兄姊妹平安，我們繼續按照每日言經事宜的進度,繼續來思想約伯記第34章的21節到最後。
27.181	54.378	我們在前面的這一兩章裡面發現,這個忽然跑出來的這一個年輕人,以利戶,真的是蠻厲害的,他不僅是一個輔導的專家,也很會講道,甚至他的神學論述也非常的精彩,但非常可惜,他因為已經先對約伯, 有先入為主的成見,認為約伯一定是隱藏重大罪惡,以至於被神懲罰。
54.378	69.788	所以祂希望藉由祂的輔導技巧,祂的講道技巧,甚至祂的神學造詣,能夠使約伯心中能夠明白上帝給他的提醒和智慧。
69.788	72.910	我們一來看21節。
72.910	83.768	神注目觀看人的道路,看明了人的腳步, 沒有黑暗、陰暗，給作孽的人得以長生。
83.768	89.311	神審判人，不必使人到祂面前，再三的監察。
89.311	92.493	為什麼這個以利乎要講這番話呢?
92.493	137.829	因為在34章的上半段還有33章以利乎不斷講到神真的對人非常有愛心跟耐心祂兩次三次的用各種方法要讓人 悔改要讓人靈裡面的耳朵讓人肉身的耳朵可以聽見神要告訴祂的話語使他可以趕快來悔改重新被神稱為義人過一個被神祝福的一個有尊貴榮耀的生活 他甚至說,神甚至好像有一千個天使,神天天派一個天使去對你傳話,要你悔改。
137.829	146.657	就算這一千個天使裡面,只要有一個天使,代表神對你所傳講的話,感動了你的心,哇,神就開心了。
147.278	154.963	神就開心說,哇,終於這個人不用下到禍坑裡面去了,不用滅亡了。
154.963	157.565	因為我已經得著了贖駕了。
157.565	165.611	其實我們都知道,就是耶穌基督已經為我們付了所有罪的這個罪債,為我們付了罪的贖駕了。
165.611	170.475	所以以利乎他之前的言論就是說,神真的是給育博你很多很多的機會。
171.135	216.256	但是約伯你不可以糟蹋神的恩典你不可以輕慢神給你的恩典而三番兩次的拒絕神甚至用言語來輕慢神小心有一天這樣你真的會滅亡所以他說神祂對每個人的道路、腳步祂都看得一清二楚沒有什麼黑暗可以容一個作孽的人可以藏在裡面讓神看不到他的罪孽 上帝要審判人,也不需要親自把你叫到祂的面前,然後呢,讓上帝再三的來想一想,到底你有沒有犯罪。
216.256	219.817	讓上帝再三的拿出證據來證明你真的有犯罪。
219.817	220.677	不用啦!
220.677	227.659	約伯你一直吵著說要到上帝面前問上帝,根本就不用,神不會出錯的。
227.659	230.300	你這一生的腳步,神看得一清二楚。
231.340	232.681	不要再跟神說什麼。
232.681	235.683	讓我到你面前,我們說個清楚。
235.683	236.444	不用了。
236.444	239.046	你就不要再這樣子得罪神了。
239.046	241.208	你好好認罪就對了。
241.208	246.572	二十四節,他用難測之法,打破有能力的人。
246.572	248.474	什麼叫他用難測之法?
248.474	301.352	比較好理解的是,他不需要特別去調查, 他就能夠打破有能力的人因為每一件事情神都看得一清二楚他不需要再特別去調查才能夠去懲罰或是定你們這些自認為有能力的人的罪所以不要在神的面前強辯 設立別人代替他們所以神可以把這些驕傲不悔改卻自認為有能力的人把他們懲罰打破然後設立別人就代替他們祂原知道他們的行為使他們在夜間傾倒滅亡所以包含你約伯上帝如果真的哪一天不給你機會了就在半夜 請客之間就奪走你的性命。
301.352	320.624	祂在眾人眼前擊打他們,如同擊打惡人一樣,因為他們偏行不跟從上帝祂,也不留心上帝祂的道,甚至使貧窮人的哀聲達到祂那裡,祂也聽了困苦人的哀聲。
322.090	330.414	他這邊說,惡人啊,這個偏行己路,不跟從神的道,也不留心神的道。
330.414	336.137	那這樣的人呢,上帝要擊打他們,如同擊打惡人一樣。
336.137	346.843	相反的,那些貧窮人的人,他們的哀聲,平常在有權有勢的人面前哭嚎,他們都充耳不聞,不理他們。
347.807	355.870	但是呢,他們貧窮人、低位的人,他們的哀聲是可以達到上帝的耳朵那裡的。
355.870	359.571	因為上帝會聽困苦人的哀聲。
359.571	365.833	所以上帝祂聽到所有的聲音,祂還看見每一個人所有的行為。
365.833	371.796	所以約伯不要在那邊搶便說,我要去找神說什麼說什麼。
371.796	373.696	你就好好認罪就對了。
373.696	374.757	神不會冤枉你的啦。
375.742	380.786	二十九節,祂使人安靜,誰能擾亂呢?
380.786	383.848	祂掩麵,誰能見祂呢?
383.848	390.132	無論對待一國,或是對待一人,對待一人都是如此。
390.132	396.737	就是祂的意思就是說,祂使被定罪的人安靜閉口無言。
396.737	400.860	所以人不需要再來到神的面前說,我要跟神辯論。
402.159	405.482	上帝定你有罪,就是有罪了啦。
405.482	412.229	所以呢,不論他對待一個國家,或是對待一個人,都是如此的。
412.229	420.617	所以他如果降災給一個國,降災給一個人,你不用說我要去跟神辯論,我要去跟神據理律真,不用啊。
421.271	453.153	你所做的上帝都看得清清楚楚所以上帝降災懲罰你提醒光照你悔改就對了所以約伯不要再吵了悔改認罪吧所以上帝也不會讓 目中無神的不敬虔的人,讓他去做王,以免他牢籠百姓,就是為百姓設下陷阱。
453.153	464.561	上帝對人世間的君王的選擇,都是如此嚴謹,何況是他自己做君王,治理萬民。
464.561	470.145	31節,有誰對神說,我受了責罰,不再犯罪。
470.145	472.947	我所看不明的,求祢指教我。
473.592	478.296	我若作的,我若作的孽,必不再作。
478.296	485.102	他施行報應,豈要隨你的心願,叫你推辭不受嗎?
485.102	487.544	選定的是你,不是我。
487.544	490.186	你所知道的,只管說吧。
490.186	491.447	什麼意思?
491.447	534.420	三十二節,這個,三十一、三十二節,他就是勸約伯,神現在降災於你,你就是好好的跟神說, 我受了責罰我認罪了求祢我也不會再犯罪了求祢赦免我還有呢我所看不明的就是我不太知道我到底哪裡有犯罪了我愚昧請祢也指教我讓我來悔改那我若做了孽我也必定不會再做了主啊求祢赦免我岳伯啊你應該做這樣的一個選擇才對那 神祂施行報應,豈是要隨祢的心願,叫祢推辭不受嗎?
534.420	535.421	什麼意思?
535.421	545.705	祂說,神祂決定用什麼樣的報應來懲罰你,是你還是你可以挑的?
546.613	553.656	你還可以挑說,哎呀,我這個罪人,我只接受神這一種懲罰,不接受神那一種報應。
553.656	556.117	他說拜託啊,你是誰啊?
556.117	560.359	神他決定用什麼樣的報應,什麼樣的懲罰來管教你。
561.220	563.601	自有他的道理。
563.601	565.761	不是隨你的心願的。
565.761	570.682	叫你說我可以不要推辭不受這種報應、這種懲罰。
570.682	572.843	所以約伯瓦關鍵是你。
572.843	574.523	選定的是你,不是你。
574.523	577.204	你要做一個正確的選擇,不是我。
577.204	579.525	是你自己要做一個正確的選擇。
579.525	580.005	什麼選擇?
580.725	582.727	悔改認罪。
582.727	587.151	求神指教你﹐哪裡有罪﹐趕快悔改。
587.151	597.400	因為神祂對你是﹐很有愛心的﹐也很有耐心的﹐不然祂早就收回了﹐賞賜你的生命氣息﹐你早就歸入塵土了。
597.400	600.323	我們繼續往下看。
600.323	600.323	34節。
600.323	610.874	民裡的人﹐和聽我話的智慧人﹐必對我說﹐約伯說話沒有智慧﹐ 言語中毫無智慧。
610.874	613.556	願約伯被試驗到底。
613.556	616.418	因他回答像惡人一樣。
616.418	619.500	他在罪上又加悖逆。
619.500	621.722	在我們中間拍手。
621.722	624.784	用許多言語清慢神。
624.784	627.786	最後這個一粒糊就責備約伯。
627.786	630.408	他說所有明理的人。
630.408	632.470	所有心中有靈的人。
633.285	647.539	所有心中的靈,被全能者的氣,被全能者的聖靈所引導的人,都可以聽得出來我講的有理,而約伯沒有智慧,約伯無理。
647.539	652.885	約伯啊,你再不悔改啊,我真的希望你就受苦到底吧。
652.885	656.889	因為你到目前為止,你的回答都像不悔改的惡人一樣。
657.978	696.405	你呢不僅犯罪你還在你犯罪之後更加上悖逆死不認罪、死不悔改還在我們這些規勸你悔改的人當中拍手在那邊戲笑在那邊不認罪還在那邊拍手而且你還用很多言語親慢神你糟蹋神的恩典所以請你趕快悔改我們一起來禱告 主啊,我們在祢面前,懇求主,恩待我們,不糟蹋神的恩典,不輕慢神的恩典。
696.405	736.031	我們如果真的生命中有什麼,我們不知道,我們真的這樣是不對的,我們愚昧,我們遲鈍,求神真的光照我們,好讓我們在神的恩典中走向光明, 而不是在我們偏行己路當中繼續被生命更多更多的困難更多更多神的管教來祈禱主祢恩待我們讓我們生命是走在祢恩典的路上而不是走在沒有盼望的曠野裡面奉主耶穌的名禱告阿們願神賜福大家
