start	end	text
18.882	72.127	各位姊妹平安，我們繼續按照每日年經事宜的進度繼續來思想約伯記第24章我們現在已經進入到約伯和他三個朋友第三次的辯論回合裡面那他的朋友第一位朋友以利法在第22章又再次責備約伯約伯就用23章跟24章來回應他在上一章23章約伯的回應裡面 由於以利法論點都是重複的就是一直指責約伯一定是有問題才被神懲罰因為神是善有善報惡有惡報的神而且以利法祂的名字意思就是我的神是精精我的神真精不怕火煉 所以我的神一定沒有錯,一定是約伯你的錯。
72.127	79.533	所以約伯在回答他的時候,在上一章23章的第10節,他也出現諷刺,這個以利法。
79.533	87.639	他說,然而,神祂知道我所行的道路,祂試煉我之後,我必如金金。
88.422	120.848	他跟以利法說你放心啊我真的沒有犯罪我現在所接受的是神對我的考驗對我的試煉而且神試煉完我之後我必如今今那約伯他跟以利法說其實我真正擔心的是在這個試煉不知道還要多久我不知道我是否可以撐到最後這才是我自己擔心的地方 二十四節,二十四章,我們就看約伯繼續怎麼樣講,下半段。
120.848	128.380	全能者既定其刑罰,為何不使認識他的人,看見那日子呢?
129.275	158.390	約伯他心中也在問一個問題那位公義審判的權能者既然有定了一個日期要賞善法惡那為何那些認識他的人指的就是敬畏他的人像約伯這樣的人他相信神是真的是會賞善法惡的神為何那認識他的人卻遲遲看不到那一個日子呢?
159.070	169.398	為什麼上帝沒有停止讓義人受苦,然後沒有停止讓惡人作惡呢?
169.398	177.144	祂開始就在形容惡人跟義人在這個世界上所發生的很多事實的狀況是如此。
177.144	181.548	神啊,祢所定的日期,為什麼我們都等不到呢?
182.944	206.486	第二節有人挪移地界搶奪群畜而牧羊以前他們地界是用石頭來分隔的有些人比較邪惡就會偷偷去挪移地界侵占別人的土地然後搶奪別人的牲畜牛羊 這個來去牧羊,這就是惡人的行徑。
206.486	212.351	他們拉去孤兒的驢,搶取寡婦的牛為當頭。
212.351	222.419	孤兒跟寡婦,他們沒有錢可以買種子去撒種,所以只好去跟有錢的人、有勢的人借貸。
223.080	235.695	可是他們就強迫孤兒寡婦要把牛跟驢留下來當作當頭,就是抵押品,才願意把種子或是食物借給孤兒寡婦。
235.695	242.323	請問孤兒寡婦失去了牛,失去了驢,他們如何耕種,如何生活呢?
242.756	245.818	這是惡人他們沒有憐憫的心。
245.818	249.280	第四節,他們使窮人離開正道。
249.280	251.701	正是中文加進去的。
251.701	256.544	就是說他們使窮人離開道路,讓窮人無路可走。
257.432	261.694	然後呢,世上的平民竟都隱藏。
261.694	269.437	世界上的這些貧窮人都離開了這些城市或是這個鄉村都不見了。
269.437	271.637	去哪裡了呢?
271.637	298.171	第五節這些貧窮人他們就如同野驢 出到曠野去了,走投無路,只好到曠野去了,然後殷勤的在曠野尋找食物,他們靠著野地給兒女糊口,因為田地都被惡人侵吞了,只能在野地流浪,尋找野生的東西,給他們兒女勉強糊口。
298.171	304.535	第六節,收割別人田間的荷架,再取惡人餘生的葡萄。
305.435	334.235	窮人因為不再有自己的田地所以只能去收取富有的人或是惡人他們收割之後掉在田裡的那些麥穗就是所謂的石穗然後去摘別人的葡萄園剩下的這些葡萄 第七節,他們中夜赤身無衣,天氣寒冷,毫無遮蓋。
334.235	336.136	真的是一貧如洗。
336.136	339.718	在山上被大雨淋濕,怎麼辦呢?
339.718	345.521	因沒有避身之處,只好就挨盡磐石來躲雨。
345.521	349.463	所以這些受苦的人真的是非常的可憐。
349.463	351.304	神啊,你都沒有看見嗎?
352.108	361.414	第九節,又有人從母懷中搶奪他的孤兒,又搶取窮人的衣物為當頭。
361.414	364.456	這些行徑真的都非常的可惡。
364.456	371.301	使人赤身無衣,到處流行,且因飢餓,慷胎何困。
371.301	477.685	這些人窮到連衣服都被有權有勢的婦人奪走,他們只好到處流浪, 然後呢因為實在太飢餓了所以去為別人做臨時工幫別人捆抬合捆幫那個有權有勢的人他們豐收幫他們捆抬合捆在那些人的圍牆內 造油、榨酒自己還口渴他們就去別人的製造橄欖油製造葡萄酒的地方當工人可是自己卻喝不到其中任何的一口在多名的城內有人哀哼受傷的人哀嚎神卻不理會那惡人的愚妄愚妄就是代表目中無神也目中無人的惡人 約伯在講一個道理約伯說像我這樣就是屬於認識神的人我也知道神定了一個日期要使一人的苦難停止使惡人的這個邪惡被審判可是呢我們在這個世界上常常要等那一天 等很久甚至有些人還等不到就死了所以真理跟事實好像有一段差距真理就是神說祂會賞善罰惡而事實就是惡人囂張義人受苦所以真理跟事實Truth跟Fact之間好像有一個張力因此這就是義人常常有時候 好像快要支撐不下去的原因。
477.685	486.810	如果沒有把終末的眼光,所謂終末的眼光就是,人人都有一死,且死後有審判。
486.810	492.372	在那邊,人人都要面對公義的神,也要面對憐憫救贖的神。
492.372	503.858	所以如果沒有把終末的眼光放進來,只看短暫的今生的這些fact,這些事實,那有時候可能甚至連藝人都會支撐不下去。
504.718	529.949	我們繼續往下看十三節又有人被棄光明不認識光明的道不住在光明的路上這邊講到說有人是惡人他都離開光明不走光明的道也不認識光明的道跟一開始第一節所說的那些認識神的人 但是卻被欺壓的人,形成一個強烈的對比。
529.949	537.934	十四節,殺人的黎明就起來,殺害困苦貧窮人,夜間又做盜賊。
537.934	543.438	這些人,白天晚上都在幹壞事。
543.438	549.762	十五節,奸夫等候黃昏,說必無眼能見我,就把臉蒙蔽。
550.623	566.329	這些要肩負、要做這些邪惡淫亂的事情的人,認為沒有人看得到他做惡事, 看到祂做惡事,也拿祂沒辦法,甚至認為連神都看不到祂做惡事。
566.329	573.751	十六節道賊黑夜挖窟窿,白日躲藏,並不認識光明。
573.751	589.156	所以這些惡人,他們都背棄光明的道路,不論是殺人的奸夫,還有道賊,都做這些黑暗的事情,他們並不認識光明,也不認識真理。
589.616	593.737	十七節,他們看早晨如幽暗。
593.737	606.640	早晨跟幽暗剛好相反,代表他們已經是是非不分,黑白顛倒的人生,因為他們曉得黑暗的驚駭。
606.640	624.620	黑暗的驚駭也可以翻譯成黑暗的驚奇,就代表說這些惡人他們深暗, 黑暗之勢的這些運作的法則,甚至他們與黑暗與幽暗為友,他們不是光明之子。
624.620	635.009	18節,這些惡人猶如浮萍快快飄去,他們所得的份在世上被咒詛,他們不得再走葡萄園的路。
635.589	659.800	十八節這邊講的又是義人或是認識神的人他們所相信的Truth他們所相信的真理約伯他相信惡人如浮萍很快就被水漂走 他們所搶奪得來的份,在這個世界上也不會被祝福,是會被神咒詛的。
659.800	665.164	他們也不會再走在自己搶奪來的葡萄園的這個道路上。
665.164	672.790	這個是藝人他們所相信的真理,也是他們在苦難中緊緊所抓住的神的應許。
673.370	678.471	十九節,乾旱炎熱,消沒血水。
678.471	682.772	陰間也如此,消沒犯罪之悲。
682.772	686.713	約伯相信,惡人的結局就是如此。
686.713	692.914	他們會如同血被炎熱融化就消失了。
692.914	697.535	然後呢,他們也會在陰間就滅亡了。
697.535	699.916	這是一人所相信的真理。
701.288	707.272	懷他的母要忘記他,蟲子要吃他,覺得甘甜。
707.272	714.036	他不再被人紀念,不義的人必如樹被折斷。
714.036	725.322	他二代不懷孕、不生養的婦人,不善待寡婦,然而神用能力保全有勢力的人。
726.323	730.244	那性命難保的人仍然興起。
730.244	776.851	這邊再次談到真理跟事實有一個差距剛剛講到約伯所相信的真理就是神必審判這些惡人可是到目前為止一人所期盼的那個日子卻都還沒有來臨 因此看見的彷彿是神現在卻用祂的能力保全那些有權有勢的惡人那些本來在公義的神面前性命難保的人仍然如此的興起仍然如此的興旺 所以一人在苦難中等待的時候有時候心裡難免會產生疑惑到底神啊為什麼真理跟事實差這麼多呢?
776.851	795.560	神使他們安穩他們就有所倚靠神的眼目也看顧他們的道路他們被高舉不過片時就沒有了他們降為碑被除滅又如與眾人一樣 又如骨碎被割。
795.560	801.886	23節、24節再次講到真理跟事實之間的拉鋸。
801.886	814.117	23節再次宣告這個事實目前就是神仍然使惡人安穩 好像讓惡人有所倚靠。
814.117	819.962	好像神的眼目也都看顧惡人的道路,使他們囂張得勢。
819.962	824.346	但是二十四節又宣告真理。
824.346	829.010	真理是,他們雖然被高舉,不過騙食就沒有了。
829.010	832.993	他們終究會降為悲,甚至被除滅。
832.993	839.796	與一般的人一樣, 都會死,會被審判,如同骨髓被割。
839.796	847.038	因此約伯要做一個結論,他說,若不是這樣,誰能證實我是說謊的呢?
847.038	849.719	將我的言語駁為虛空呢?
849.719	859.142	約伯認為他剛剛所分析的,真理與事實之間的差距,是眾人都知道的,我並沒有說謊。
859.142	932.390	因此,約伯也是要告訴以利法, 在真理跟事實之間看起來存在著一種張力但是並不代表我約伯就因此心懷不平要去行惡也不代表約伯我就認為神不公義不處理惡人不拯救義人不會的因為我相信神對義人像我這樣的義人讓我受苦有時候是要試煉我 再來就算我今生等不到那個神公義審判賞善罰惡的日子來臨沒關係死後還是會面對公義的神跟憐憫救贖的神所以需要把終末的眼光加到今生今世這樣一人才可以持守祂的信仰到底所以呢約伯就說我不再跟你們糾纏了我要親自去問神 再來,如果我找不到神可以問,那我就求神讓我結束生命,因為我快挺不住了,因為痛苦實在是越來越加深。
932.390	934.211	我們一起來禱告。
