start	end	text
19.002	22.343	弟兄姊妹平安，我們繼續按照每日言經事義的進度。
22.343	27.406	我們繼續來思想約伯記第39章的19節到30節。
27.406	29.246	約伯記總共有42章。
29.246	32.168	我們已經快要完成約伯記的閱讀。
32.168	35.589	我們繼續堅持下去。
35.589	39.891	19節馬的大力是你所賜的嗎?
39.891	46.014	他頸向上的這個紮縮的鐘是你給他披上的嗎?
47.227	79.570	整個39章都在講這個動物上帝透過各種不同動物祂們的屬性讓約伯了解到上帝祂有祂設計的智慧、創造的智慧不要以單一的角度來貼標籤或是以單一的角度來衡量上帝所創造的每一個領域在19節這邊開始講到有關於馬 他說馬的力量很大。
79.570	83.433	玉柏,是你賜給馬很大的力量嗎?
83.433	85.734	不是吧,是我吧。
85.734	92.959	那牠的這個脖子上有這個很漂亮的鬃毛,是你設計的嗎?
92.959	96.121	是你幫牠披上去的嗎?
96.121	97.502	也不是。
97.502	101.765	是你叫牠跳躍像蝗蟲一樣嗎?
101.765	105.827	牠噴氣之威使人驚慌嗎?
105.827	106.348	也不是啊。
107.602	111.423	馬這個很會跳躍,像蝗蟲一樣。
111.423	114.864	然後呢,這個馬那麼大,蝗蟲這麼小。
114.864	118.085	可是誰有想到,這個馬也這麼會跳。
118.085	120.485	這大概是你閱博你也想不到的嘛。
120.485	125.727	那他這個噴氣的威嚴,使人驚慌。
125.727	130.428	他在谷中刨地,自喜其力。
130.428	133.349	他出去迎接佩戴兵器的人。
134.957	139.340	馬用牠體的力量在刨地。
139.340	147.885	我們常看馬會用牠的腳在土地上這樣子波動,刨地。
147.885	159.877	馬自己很滿意自己力量很大,然後他很勇敢的出去 迎接那些佩戴兵器的人。
159.877	187.715	這邊講到說約伯是你創造馬使馬有力量使馬很有彈性使馬脖子上有漂亮的鬃毛使馬它這個噴氣的時候感覺使人威嚴你讓馬的體有力量奔跑你讓這個馬人類騎在馬上出去作戰的時候是你使馬勇敢不害怕 還是神呢?
187.715	189.135	我想不是你約伯吧?
189.135	191.636	也不是任何一個人類吧?
191.636	236.508	二十二節馬他恥笑可怕的事並不驚惶也不因刀劍就退回這個馬他很勇敢他不會因為打仗人騎在馬上作戰他就害怕 然後就有看到刀劍他就逃跑馬比你們人勇敢劍帶和發亮的槍還有短槍在他的身上都發出金屬碰撞的聲響代表說人類騎馬去打仗並不是人賦予馬勇氣也不是人賦予馬力量 這是上帝賦予這個馬的力量跟勇氣。
236.508	241.892	人只是藉此來駕馭,藉此來使用。
241.892	249.239	但是人絕對不敢自居其功,說是我創造的馬,我設計的馬,讓馬擁有這些能力。
249.239	264.149	所以這也在提醒就是說,人類有時候自以為很厲害,但是如果不是神供應的這些資源跟條件, 人其實是一籌莫展,什麽辦法都沒有的。
264.149	268.190	二十四節,祂發猛烈的怒氣,將地吞下。
268.190	272.651	所謂的將地吞下,就是祂使地震動。
272.651	276.352	馬在衝鋒陷陣的時候,氣吞山河。
276.352	281.054	馬祂一聽到號角的聲音,就不耐戰力。
281.054	286.135	就是說馬一聽到那個衝鋒的角聲吹起的時候,祂就往前衝了。
287.159	349.058	腳每發聲他說啊哈就是說他聽到腳發聲的時候衝鋒的聲音發出來的時候他就好像這個太好了往前衝啊哈他從遠處他就能夠聞著戰鬥的氣息又聽見軍長大發雷聲和兵丁吶喊這邊講這個馬的嗅覺跟馬的聽覺不是你人類創造的 再來他的嗅覺跟聽覺感受到戰爭的猛烈他也沒有在退縮沒有在害怕的二十六節講完馬現在講這個鷹雀鷹雀飛翔展開翅膀一直向南豈是借你的智慧嗎鷹雀它飛翔展開翅膀一直向南像一般的候鳥一樣往南飛去避冬 躲避這個寒冷的北方的天氣。
349.058	351.962	這個是你告訴英雀的嗎?
351.962	353.043	不是吧?
353.043	355.847	是靠你的智慧使他知道這樣做嗎?
