start	end	text
18.933	22.236	弟兄姊妹平安，我們一起來思想。
22.236	25.339	約拿書的最後一集,第四章。
25.339	28.381	我們首先讀第一節到第三節。
28.381	41.833	約拿書第四章這是約拿大打不悅且甚發怒,就禱告耶和華。
41.833	46.417	耶和華,我在本國的時候豈不是這樣說嗎?
47.483	58.831	我知道﹐你是有恩典﹐有憐憫的人﹐不輕易發怒﹐有豐盛的慈愛﹐並且後悔不將所說的哉。
58.831	62.253	所以我急速逃往他師去。
62.253	67.877	耶和華﹐現在求你取我的命吧。
67.877	70.439	因為我死了﹐比活著還好。
72.790	75.992	第一節,這個事情約拿就大大不悅。
75.992	76.773	什麼事情?
76.773	83.737	就是神察看淋漓未成的人,不到四十天,他們就真的已經悔改了。
83.737	88.441	而且不僅心裡面悔改,他們也遠離一切邪惡的行為。
88.441	92.363	神就後悔,就不降災在他們身上。
92.363	96.366	所以這件事情讓約拿大大不悅,大發雷霆。
96.366	98.868	他經文說,且甚發怒。
99.892	102.233	他為什麼這麼生氣呢?
102.233	108.775	他就禱告耶和華說,耶和華,我在本國的時候,豈不是這樣說嗎?
108.775	122.839	就是當初我在以色列的時候,你吩咐來跟尼尼維城的人傳福音的時候,宣布你的旨意的時候,那時候我就已經回應你,為什麼我不要來?
122.839	125.680	所以我在本國的時候,豈不是這樣說嗎?
126.220	127.321	說什麼呢?
127.321	131.203	他說我就是知道你是一位怎麼樣的神。
131.203	135.226	我知道你是有恩典有憐憫的神。
135.226	137.087	你是不輕易發怒。
137.087	140.129	你是有豐盛慈愛的神。
140.129	141.389	這是標準答案。
141.389	144.972	這是出自於這個出埃及記的34章第6節。
144.972	148.374	這個是摩西問耶和華你是一位怎麼樣的神。
148.814	154.156	耶和华就告诉他,我就是这样的一个属性的神。
154.156	159.098	这是描写上帝的属性最标准的标准答案。
159.098	169.982	约拿熟知圣经,我们讲过他在于父宗的祷告,随随便便从这个诗篇里面,随随便便最少抓了15个经文来,凑成一个于父宗的祷告。
169.982	171.342	真的是前无古人后无来者。
171.342	183.988	他对圣经非常的熟悉,但他在宁宁为大臣, 他的經口只願意講五個字,而且福音只講半套,只講審判、滅亡,沒有講拯救跟悔改。
183.988	201.818	所以約拿就說,我太了解你是一位怎麼樣的神,你一定會因為寧依為成的願意悔改,你就怎麼樣,因為你是一位有恩典憐憫的神,你就不會輕易再發怒,你就原諒他們,因為你有豐盛的慈愛。
202.398	208.204	然後呢,而且我知道最後的結局一定是,你們後悔不降所說的災。
208.204	223.516	這是出自於,出埃及記32章14節,上帝的一個特質就是這樣,祂其實不是很希望人真的就這樣滅亡, 祂希望是透過對你的管教,讓你悔改,讓你不自滅亡。
223.516	225.777	祂就會後悔不將所說的哉。
225.777	231.600	所以約拿他臉皮還真厚,他說我就是太了解,你是一位怎麼樣的神。
231.600	236.262	所以約拿不僅是聖經很熟, 他的神學也是考一百分。
236.262	238.544	他對神的屬性完全了解。
238.544	241.005	所以我就因為知道你就是這樣的神。
241.005	242.426	所以我才急速的。
242.426	243.847	快快的。
243.847	246.309	我要往反方向背逆你。
246.309	249.951	逃往這個西邊的踏實去。
249.951	251.312	耶和華。
251.312	253.773	現在求你取我的命吧。
253.773	255.114	因為我死了。
255.114	257.436	比活著還好。
257.436	259.837	這個人真的是無藥可救了。
259.837	262.299	這類似的話我們知道列王記上十九章。
262.739	267.763	也聽過以利亞將跟神頂嘴。
267.763	269.003	你讓我死好了。
269.003	269.964	我不要火了。
269.964	271.485	我寧可死。
271.485	274.327	我也不要看到這個情形。
274.327	275.728	現在這個約拿是說。
275.728	276.649	我寧可死。
276.649	279.991	我也不要看到這個尼尼維城人。
279.991	281.572	沒有被你滅亡。
281.572	283.194	你讓我死了算了。
283.194	287.937	好我們就來讀第四節到第八節。
287.937	290.299	你這樣發怒何乎理嗎?
292.005	304.287	於是約拿出城﹐坐在城的東邊﹐在那裡為自己搭了一座棚﹐坐在棚的印下﹐要看看那城究竟如何。
304.287	315.109	耶和華神安排一顆臂麻﹐使其發聲高過約拿﹐因而遮蓋他的頭﹐救他脫離苦楚。
315.109	326.452	約拿因這顆臂麻大大喜樂﹐ 四日黎明﹐神卻安排一條蟲子﹐咬著臂麻﹐以致枯梗。
326.452	338.620	日頭出來的時候﹐神安排炎熱的東風﹐日頭曝曬約拿的頭﹐使他發昏﹐他就為自己求死。
338.620	341.822	我死了﹐比活著還好。
343.422	348.404	好,面對這樣的一個無理取鬧的約拿,耶和華怎麼說呢?
348.404	353.146	耶和華說,你這樣發怒,合乎道理嗎?
353.146	361.048	真的是不合乎道理,但是約拿就這麼發脾氣,他還不管耶和華,於是約拿就出城,他為什麼要出城?
361.048	370.912	他不相信林立威城的人會悔改,他不相信,他認為他們就是罪有應得,只有我們以色列人會悔改, 寧地為城,死都不會悔改。
370.912	374.174	所以我趕快出城,免得這個城請父滅亡。
374.174	375.714	我也在其中被滅亡。
375.714	393.766	所以我趕快出城,然後就坐在這個城的東邊,站在一邊為自己搭一座棚,直搭一個帳棚,然後坐在這個帳棚的陰影下面, 就要看這個城,究竟最後的結局是如何。
393.766	399.808	也就是說,他不相信寧寧圍城這些邪惡的外邦人,真的會悔改,他不相信。
399.808	403.329	所以他就要看好戲,看這個城最後會怎麼樣。
