start	end	text
19.121	23.465	耶和華使以色列人安靜,不與四維的一切仇敵徵戰已經多日。
40.998	65.355	約書亞年紀老邁﹐就把以色列眾人的長老﹐族長﹐審判官﹐並官長都召了來﹐對他們說﹐我年紀已經老邁﹐耶和華你們的神因你們的緣故向那些國所行的一切事﹐你們親眼看見了。
66.766	74.131	因那為你們徵戰的是耶和華,你們的神。
74.131	86.961	我所建出和所剩下的各國,從約旦河起到日落之處的大海,我已經年舊分給你們各支派為業。
89.292	98.803	耶和華, 你們的神必將他們從你們面前趕出去,使他們離開你們。
98.803	106.812	你們就必得他們的地為業,正如耶和華你們的神所應許的。
109.838	119.966	約書雅記總共有24章,第一開始是1到12章,講到他們怎麼樣得地為業,這些打仗的過程。
119.966	127.532	然後第二個大段落是13章到22章,講的是他們怎麼樣來分配所得到的這些土地。
127.532	135.699	最後兩章,23章、24章,是約書雅臨終之前的遺言、勸明跟提醒。
136.340	143.947	所以23章24章有點像是摩西死之前對百姓的勸勉跟提醒的生命記。
143.947	151.214	所以我們或許可以把約蘇雅記的最後兩章看成是約蘇雅版的生命記。
151.214	167.837	第一節這邊談到說耶和華是以色列人安靜不受這個視為一切仇敵跟他們來打仗已經多日代表說土地 也已經分配給各個支派,好長一段時間了。
167.837	173.083	所以約書亞的人生即將走到盡頭,年紀老邁了。
173.083	181.452	所以他就把這個以色列的這些領袖們,把他們召聚過來,應該是召聚到這個放會幕的示羅這個地方。
182.381	211.074	就對這些領袖們說我年紀已經老邁了耶和華你們的神因你們的緣故向那些國所行的一切事你們親眼看見了因為你們是跟著我一起過河經歷到神所做的一些偉大事情的這一些各個支派的領袖你們是親眼的見證人 因那為你們徵戰的是耶和華你們的神。
211.074	217.634	所以首先約束亞提醒這些老戰友 這些支派的領袖們。
217.634	220.114	我們要把一切的這個。
220.114	222.435	歸功於耶和華我們的上帝。
222.435	224.336	不是因為我們有什麼。
224.336	225.676	都是神做的。
225.676	227.536	我們都是見證人。
227.536	229.417	所以要把這一個見證。
229.417	230.517	傳給後代的子孫。
230.517	231.818	因為我老了。
231.818	232.738	我隨時要死。
232.738	234.518	所以第一個。
234.518	236.099	要把榮耀歸給神。
236.099	237.099	免得我們驕傲。
237.875	242.858	好,所以呢,都是因為那為你們徵戰的是耶和華,你們的神。
242.858	244.679	這是第一個重點。
244.679	256.226	第四節這邊講說,我約蘇亞所剪除的和剩下的這個各國,從約旦河起到日落之處的大海。
256.226	259.748	就是東起約旦河,西到地中海。
259.748	265.632	我已經都把這些土地分配,抽籤分配給你們各支派為業。
266.783	270.486	那你們各個支派分到這些土地。
270.486	271.727	裡面有一些。
271.727	273.389	是我之前帶領你們。
273.389	276.212	進行12支派的聯合軍事行動。
276.212	278.353	已經把一些敵人撿出了。
278.353	280.515	而你們分配到的土地裡面。
280.515	281.496	有一些。
281.496	283.038	敵人還沒有撿出的。
283.038	284.999	這是你們的責任。
284.999	286.621	所以第二個重點就是說。
286.621	290.244	剩下來的是你們自己要去承擔的責任。
290.244	291.846	夥伴們兄弟們。
291.846	293.347	我可能隨時要先走一步了。
293.916	300.240	剩下的未完成事情各支派請你們擔起你們自己的責任來。
300.240	316.329	第五節耶和華你們的神必將他們就是這些還沒有剪除的仇敵從你們面前趕出去使他們離開你們你們就必得他們的地為業正如耶和華你們神所應許的。
316.329	326.631	第三個耶穌要鼓勵這些老戰友們要對神有信心不要總是說迦南人 他們有些軍事力量很強大。
326.631	327.452	所以我們算了。
327.452	328.413	我們不要。
328.413	329.213	就這樣就可以了。
329.213	331.295	不用把他們全部趕出去。
331.295	332.796	約書亞到死之前。
332.796	334.857	他最擔心就是這個事情。
334.857	337.639	因為斬草沒有出根。
337.639	339.541	這個那麼多年過去了。
339.541	341.262	他看各支派。
341.262	343.484	很多支派沒有什麼進展。
343.484	346.286	所以他臨死之前就是要提醒說。
346.286	348.628	以前神可以幫助我們得勝。
348.628	351.890	難道神現在不能幫助你們得勝嗎?
351.890	352.891	所以你們不要放棄。
353.541	356.263	不要就這樣跟仇敵並存。
356.263	358.805	這會帶來很嚴重的後遺症。
358.805	362.608	什麼樣的後遺症,約束亞待會會再次嚴肅的提醒。
362.608	367.893	我們繼續來讀第六節到第十三節。
367.893	379.202	所以,你們要大大壯膽,謹守尊心寫在摩西律法書上的一切話,不可偏離左右。
381.630	386.894	不可與你們中間所剩下的這些國民摻雜。
386.894	391.758	他們的神,你們不可提他的名。
391.758	398.043	不可指著他起誓,也不可侍奉、叩拜。
398.043	404.668	只要照著你們到今日所行的,專靠耶和華,你們的神。
407.585	415.207	因為耶和華已經把又大又強的國民從你們面前趕出。
415.207	425.090	直到今日,沒有一人在你們面前站立得住。
425.090	429.832	你們一人必追趕千人。
429.832	435.674	因耶和華,你們的神,照祂所應許的,為你們徵戰。
439.138	448.703	你們要分外謹慎,愛耶和華,你們的神。
448.703	460.609	你們若稍微轉去,與你們中間所剩下的這些國民聯絡,彼此結親,互相往來。
460.609	471.394	你們要確實知道, 耶和華﹐你們的神﹐必不再將他們從你們眼前趕出。
471.394	487.581	他們卻要成為你們的網羅﹐機械﹐樂上的邊﹐眼中的刺﹐直到你們在耶和華﹐你們神所賜的這美帝上滅亡。
490.845	499.410	第六節,所以你們要大大壯膽,謹守、遵行,寫在摩西律法書上的一切話,不可偏離左右。
499.410	506.534	在約束亞臨終之前,他回應了約束亞第一章,上帝對他所說的。
506.534	518.942	他這一生,他非常明白一件事情,就是如同一開始上帝對他所講的,剛強壯膽,不要懼怕,只要謹守遵行,上帝透過摩西所吩咐我們的律法跟誡命。
519.684	523.146	你教長所踏之地﹐你一定會得地為業。
523.146	527.329	在我約束瓦身上﹐會如此的應驗。
527.329	531.372	在兄弟們﹐你們的身上﹐也會如此的應驗。
531.372	534.054	所以可不可以請你們﹐不要懼怕。
534.054	537.036	當初你們﹐也一直叫我不要懼怕。
537.036	539.698	後來我經歷了神﹐我不怕了。
539.698	542.840	可是你們現在﹐怎麼還是有懼怕呢?
542.840	546.162	你們應該效法我﹐不要懼怕,經歷神。
546.162	548.224	我想這個勸勉是非常重要的。
548.712	555.653	然後不可與你們中間﹐所剩下的這些國民參雜﹐特別只是跟他們立約﹐同婚。
555.653	558.154	耶穌要很緊張這個事情。
558.154	562.575	他們的神﹐你們不可提祂的名。
562.575	567.716	提這個字就是紀念﹐或是想起﹐或是回想起。
567.716	577.218	也就是說﹐你們不把這些外邦人趕走﹐你們跟他們混雜在一起﹐立約﹐甚至是同婚。
578.131	580.431	那他們就住在你們當中。
580.431	585.032	那你們有時候會想起他們的神的名字。
585.032	585.592	什麼意思?
585.592	589.853	因為以前以色列人他們是有牧民族或是畜牧業的。
589.853	593.434	他們來到迦南地是一個農業社會。
593.434	597.875	那農業社會的這些迦南人拜的神都是跟農業有關的。
597.875	601.175	風調雨順、下雨、豐收這些。
601.175	607.304	所以如果你們以後日後遇到這些 農業上的不順利啊。
607.304	608.887	或是沒有雨啊。
608.887	610.510	或是欠手什麼的。
610.510	611.392	你們就會想起說。
611.392	613.535	那些加拿大人拜風神。
613.535	614.117	拜雨神。
614.770	616.390	拜豐收之神。
616.390	618.091	拜什麼什麼農業的神。
618.091	620.691	你就會想起祂們神的名字。
620.691	623.232	你們就會轉而去拜祂們的神。
623.232	624.312	所以才跟你們說。
624.312	626.652	你們絕對不可以跟祂們混雜在一起。
626.652	631.393	要把祂們跟祂們的神的名字都趕離開你們的境界。
631.393	634.214	所以你們不可提祂的名。
634.214	636.855	不可想起這些偶像的名。
636.855	640.055	不可指著這些偶像來起誓。
640.055	642.636	甚至也不可進一步來侍奉叩拜祂。
643.336	645.838	這個會像一個骨牌效應一樣。
645.838	648.340	讓你們離開耶和華上帝。
648.340	649.341	你們不要這樣做。
649.341	650.882	你們只要照著。
650.882	653.084	你們到今日所行的。
653.084	654.685	專靠耶和華你們的神。
654.685	656.507	不要去依靠別神。
656.507	658.268	所以你們一定要把這些。
658.268	660.109	外邦人趕走。
660.109	662.351	才有辦法讓你的土地上。
662.351	664.853	不想起別神的名字。
664.853	666.014	弟兄姊妹。
666.014	668.116	有沒有什麼事在你生命當中。
668.116	670.077	你不願意趕走的。
670.077	671.979	別神的名字。
671.979	672.339	祂的這個。
673.643	693.241	存有在你心中﹐有詮釋﹐有誘惑力﹐ 在你遇到困難軟弱的時候﹐你不是專心來跟隨神﹐你想到的是別神的名字﹐好像祂們比耶和華﹐更能夠解決你的問題﹐更能夠給你的保障﹐那你的結局﹐就是會離開神。
693.241	696.083	這就是﹐耶穌要一直提醒的事情。
696.083	710.391	第九節﹐因為耶和華已經﹐把又大又強的國民﹐從你們中間趕出去了﹐直到今日沒有一人﹐在你們面前站立得住﹐ 那這都是我們所經歷的,難道我們的神不是凡事都能嗎?
710.391	712.232	我們沒有經歷過嗎?
712.232	717.757	所以你們真的要靠主鋼牆,把敵人完全趕出去為止。
717.757	726.545	你們一人必追趕千人,因耶和華你們的神,照祂所應許的,為你們徵戰。
726.545	737.918	所以你們都是軍事將領,我們都打那麼多年的仗,這麼多年來難道你沒有經歷過神幫助你的時候, 會讓你一個人就能夠追趕一千人嗎?
737.918	741.259	所以為什麼你們失去了信心跟膽量呢?
741.259	743.520	你們要再次起來依靠神。
743.520	747.741	因為耶和華他會照著他所應許的。
747.741	749.401	耶和華會起來為你們徵戰。
749.401	752.722	路同一開始講的要把榮耀歸給神。
752.722	754.142	因為都是神為我們徵戰。
754.142	757.003	所以你們真的要分外謹慎。
757.003	759.664	要愛耶和華你們的神。
760.640	762.101	要愛神。
762.101	764.262	不要只是利用神。
764.262	766.684	這是約束亞的一直的提醒。
766.684	768.945	如果你們不照我的規劵這樣做。
768.945	769.946	我告訴你們。
769.946	772.207	你們會發生的結局是什麼?
772.207	774.509	你們如果稍微轉去。
774.509	776.910	你們想說沒那麼嚴重了。
776.910	778.772	我就繼續跟這些當地的加拿人。
778.772	780.913	立約、通婚。
780.913	782.514	偶爾會想起他們神的名字。
783.012	785.194	你們如果開始這樣,一開始就不對勁。
785.194	787.036	你們如果稍微轉去。
787.036	791.059	你們就與你們中間所剩下的這些國民聯絡。
791.059	793.161	彼此結親、通婚。
793.161	794.302	甚至進一步立約。
794.302	797.044	互相往來通商幹什麼之類的。
797.044	798.806	你們要確實知道。
798.806	800.107	耶和華你們的神。
800.107	804.731	必不再將他們從你們眼前趕出去了。
804.731	806.513	因為是你們不讓他們走。
808.200	816.324	有時候我們說主啊為什麼我常常我心中這些不好的念頭魔鬼的謊言怎麼都趕不走啊?
816.324	840.340	弟兄姊妹不是神能力不夠趕不走這些東西是你不想讓他們走現在也是一樣是你們不想讓家人走一方面是嫌麻煩二方面覺得打可能也無法打得過他們第三偶爾想起他們神的名字他們神的名字還不錯耶好像還蠻管用的是你們不讓他們走 這個結局很可怕。
840.340	875.443	所以他說這樣的話,你們要確實知道,神一定會,他們就會成為你們的網羅、基站,還有就是他們會成為你們的陷阱,留著他們,他們就會成為你們的陷阱,進一步使你們受苦,他們會成為你們樂善的鞭,眼中的刺,你留著他們,他們就有一天會成為你們的禍患,反而會傷害攻擊你們, 一直到你們在耶和華,你們的神所賜的這美帝上,你們滅亡為止。
875.443	887.970	所以要留意,一開始就做錯了決定,一開始就稍微轉去不聽神的話,你就一步一步踏入陷阱,一步一步的離開耶和華。
887.970	891.112	結局就是,你們會被神滅亡。
891.834	896.056	所以弟兄姊妹真的是不要小看神對我們的光照跟提醒。
896.056	902.179	我們繼續來讀第14節到第16節。
902.179	907.122	我現在要走世人必走的路。
907.122	931.407	你們是一心一意的知道耶和華你們神所應許賜福於你們的話沒有一句落空都應驗在你們身上了 耶和華,你們神所應許的一切福氣,怎樣領到你們身上?
931.407	944.800	耶和華也必照樣使各樣禍患領到你們身上,直到把你們從耶和華,你們神所賜的這美地上除滅。
947.602	968.684	你們若違背耶和華﹐你們神吩咐你們所守的約﹐去侍奉別神﹐叩拜他﹐耶和華的怒氣必向你們發作﹐使你們在他所賜的美帝上﹐速速滅亡。
975.589	979.691	14節耶穌要說我現在要走世人必走的路。
979.691	984.474	原文是說我現在要走全地都必須要走的道路。
984.474	987.056	就是人人都會有一死。
987.056	991.658	我要完成我的神給我的歷史的使命和託付。
991.658	995.060	那但是呢你們是一心一意的知道。
995.060	999.163	原文是你們是全然的在你們的心裡面。
999.163	1001.544	你們也是全然的在你們的靈裡面。
1002.790	1015.477	知道一件事,懂一件事,就是耶和華你們神所應許賜福給你們的話是沒有一句落空的,都應驗在你們身上。
1015.477	1043.875	耶和華你們神所應許的一切這些福氣永遠是好話,是如何的應驗降臨在你們身上, 我們都經歷了都得地為業了反之耶和華也必照樣使各樣禍患連到你們身上直到把你們從耶和華你們神所賜給你們的這美好的土地上除滅。
1043.875	1107.918	他說耶和華把一切應許你們的那些好話按著我們相信神 我們就都讓耶和華的好話就是應許的話真的都成就應許在我們身上但同時如果我們悖逆神耶和華所有那些降災禍的話也會臨到我們身上直到把我們除滅為止所以要敬畏神所以我今天臨終一演所跟你們吩咐的話你們要聽進去神祂說過我們順服祂 照祂的道路走祂就會祝福我們這個好話我們都經歷了神也說過我們若背逆祂一意孤行祂降災或審判管教的話也會實現所以我們要小心十六節你們若違背耶和華你們神所吩咐你們應當守著約然後去違背 然後侍奉別的神,叩拜別的神。
1107.918	1116.661	那耶和華的怒氣保證必向你們發作,使你們在祂所賜的美帝上,速速滅亡。
1116.661	1122.243	如同被我們速速打敗的這些迦南人一樣。
1122.243	1136.307	所以耶穌亞真的是在祂要離開人世之前,祂把這些年來跟祂一起打仗的這些軍長們,老戰友們叫過來, 鼓勵他們﹐鋼牆壯膽。
1136.307	1142.030	鼓勵他們﹐不容罪在你身上有破口。
1142.030	1147.993	鼓勵他們﹐要相信神﹐必能夠使你們完全。
1147.993	1152.735	也鼓勵他們繼續依靠﹐依靠神﹐美好話語的應許。
1152.735	1159.159	也要留意﹐神對我們的話語的﹐光照、管教跟提醒。
1159.159	1163.701	若不遵行神的話語﹐不理會聖靈的提醒。
1163.701	1165.512	那﹐ 結局是可怕的。
1165.512	1166.432	我們一起來禱告。
1166.432	1172.934	主我們看見﹐約書亞﹐祂鼓勵祂的﹐弟兄們﹐要剛強壯膽。
1172.934	1176.014	要繼續來經歷神﹐的好話。
1176.014	1177.895	繼續經歷神的應許。
1177.895	1181.976	而不是落入﹐經歷神的管教嚴厲的話語裡面。
1181.976	1187.077	主啊﹐約書亞﹐盼望他的弟兄們﹐繼續依靠神。
1187.077	1189.137	不要半途而廢。
1189.137	1226.887	約書亞﹐他﹐打了他美好的仗﹐跑完他美好的道路﹐ 但祂擔心祂的夥伴們沒有辦法好好的跑完他們自己當跑的路打完他們自己當打的仗主這也是給我們今天讀這段經文每一個人的最好的提醒讓我們不要半途而廢讓我們不要上半場打得很好下半場卻沒有信心離開神沒有辦法來活出神原本要賜福、應許給我們的那 豐盛、得勝、美好的人生。
1226.887	1228.108	求主幫助。
1228.108	1229.749	奉主耶穌的名禱告。
1229.749	1230.530	阿們。
1230.530	1231.791	願神賜福大家。
