start	end	text
18.695	21.916	耶利哥的城門因以色列人就關得嚴謹,無人出入。
21.916	23.517	耶和華小喻約書亞說:「看啊!
43.865	51.827	我已經把耶利哥和耶利哥的王﹐並大能的勇士都交在你手中。
51.827	55.428	你們的一切兵丁要圍繞這城。
55.428	59.349	一日圍繞一次﹐六日都要這樣行。
59.349	65.830	七個祭司要拿七個羊角走在約會前。
65.830	71.492	到第七日﹐你們要繞城七次﹐祭司也要吹角。
72.930	86.712	他們吹得腳聲拖長﹐你們聽見腳聲﹐眾百姓要大聲呼喊﹐城牆就必塌陷﹐各人都要往前直上。
86.712	100.415	嫩的兒子約書亞照了祭司來﹐吩咐他們說﹐你們抬起約櫃來﹐要有七個祭司﹐拿七個羊角﹐走在耶和華的約櫃前。
100.415	109.055	又對百姓說﹐ 你們前去繞城﹐帶兵器的要走在耶和華的約櫃前。
109.055	127.791	約書亞對百姓說完了話﹐七個祭司拿七個羊角﹐走在耶和華面前吹腳﹐耶和華的約櫃在他們後面跟隨﹐帶兵器的走在吹腳的祭司前面﹐後對隨著約櫃行。
129.002	132.243	祭司一面走一面吹。
132.243	134.523	約書亞吩咐百姓。
134.523	137.704	你們不可呼喊,不可出聲。
137.704	140.965	連一句話也不可出你們的口。
140.965	146.987	等到我吩咐你們呼喊的日子,那時才可以呼喊。
146.987	153.028	這樣,他使耶和華的約貴繞城,把城繞了一次。
153.028	155.749	眾人回到營裡,就在營裡住宿。
157.585	163.371	約書亞清早起來,祭司又抬起耶和華的約櫃。
163.371	177.166	七個祭司拿七個羊角在耶和華的約櫃前,時常行走吹角,帶兵器的在他們前面走,後隊隨著耶和華的約櫃行。
177.166	179.028	祭司一面走一面吹。
181.152	186.576	第二日,眾人把城繞了一次,就回營裡去。
186.576	190.198	六日都是這樣行。
190.198	199.745	第七日清早,黎明的時候,他們起來,照樣繞城七次,唯獨這日把城繞了七次。
199.745	207.930	到了第七次,祭司吹腳的時候,約書亞吩咐百姓說, 呼喊吧!
207.930	212.814	因為耶和華已經把城交給你們了!
212.814	234.849	第一節耶利哥的城門因以色列人就關得嚴謹無人出入因為以色列人就在前面的耶利哥平原而且都行完割離了很快他們就要軍事行動了 那整個城門是關閉的,之前兩個探子去窺探敵情的時候,白天還可以進去,晚上才關城門。
234.849	239.632	現在是不論白天晚上,完全封閉,無人可以出入。
239.632	251.137	第二節,耶和華就小喻約蘇亞說,看啊,我已經,這很重要喔,我已經把伊利哥和伊利哥的王兵大能的勇士都交在你的手中了。
251.783	268.351	特別是當他們重新跟神所約行割禮,然後過逾越節,然後隔天神就不再降下馬,代表他們已經進入應許之地,甚至已經得著了應許之地。
268.351	276.135	所以神才說,我已經把應許之地裡面的這一個耶利哥城也都交給你了。
276.135	281.258	第三節,你們一切的兵丁要圍繞這城,一日圍繞一次。
281.698	285.821	然后连续六天都要围绕这个城一次。
285.821	295.029	第四节,然后呢,七个祭司要拿七个羊角,走在这个约柜,约柜的前面,约柜代表神的宝座。
295.029	300.113	然后呢,到第七日的时候,你们要绕城七次。
300.794	308.155	前面六天每天只繞一次,第七天要繞成七次,然後祭司也要來吹腳。
308.155	321.238	他們的腳聲,吹的腳聲拖長,就是一聽到他們吹的一長聲的號腳聲的時候,你們聽見這個腳聲,那個時候眾百姓都要大聲呼喊。
321.238	327.459	大聲呼喊的時候,城牆就必倒塌,然後個人都要往前直上。
328.319	331.321	這是一個從來沒有聽過的戰略。
331.321	334.084	人不知道在幹什麼,要繞城七天。
334.084	340.309	然後最後呢,腳聲吹長聲,然後大家喊一聲,城牆就倒了。
340.309	341.810	這到底是什麼戰略?
