start	end	text
18.882	53.035	弟兄姊妹平安，我們按照美人經事的進度一起來思想約束亞記的最後一集二十四章的十六節到最後首先我們一起來讀十六節到第二十節百姓回答 我們斷不敢離棄耶和華﹐去侍奉別神﹐因耶和華我們的神﹐曾將我們和我們獵族﹐從埃及地的為奴之家領出來﹐在我們眼前行了那些大神蹟﹐在我們所行的道上﹐所經過的諸國都保護了我們。
53.035	78.773	耶和華又把住此地的亞摩利人﹐都從我們面前趕出去﹐所以我們必侍奉耶和華﹐因為祂是我們的神﹐ 你們不能侍奉耶和華,因為祂是聖潔的神,是祭邪的神,必不赦免你們的過犯罪惡。
78.773	91.641	你們若離棄耶和華去侍奉外邦神,耶和華在降伏之後,必轉而降獲於你們,把你們滅了。
93.370	107.393	在之前約束亞說你們今天要做一個選擇你們到底要專心侍奉耶和華還是要拜別的神你們做一個選擇但是至於我約束亞跟我的家我們必定侍奉耶和華而你們呢?
107.393	113.675	所以百姓就回答說我們斷不敢離棄耶和華去侍奉別神為什麼呢?
113.675	124.260	因為耶和華我們的神曾將我們和我們的獵主 第一,從埃及的為奴之家,使我們出埃及,不再做法老的奴僕。
124.260	137.605	並且在我們眼前行的那些大神跡,並且在我們所行過的道路上,所經過的那些各個國家,耶和華都保護了我們。
137.605	152.019	所以我們不僅領受了客觀的真理,認識耶和華是獨一的上帝, 我們也經歷了這個真理活化在我們生命中的這些神蹟奇事跟見證。
152.019	157.242	所以我們對於真理來講我們要認識這個客觀的真理。
157.242	160.664	而我們在真理裡面也要主觀的經歷。
160.664	165.027	這樣子耶華這位神才不會只是聖經裡面的神。
165.027	170.950	耶華上帝才會成為你生命中真正的上帝。
170.950	177.216	18節耶華又把 住在這地的亞摩利人,都從我們面前趕出去了。
177.216	183.340	所以,我們必定侍奉耶和華,因為祂是我們的神。
183.340	187.624	所以百姓暫停解體,回應約蘇亞的挑戰。
187.624	191.767	約蘇亞挑戰他們說,你們到底要侍奉誰,今天講清楚。
191.767	195.089	但是至於我跟我的全家,我們一定侍奉耶和華。
195.089	200.925	百姓也是很堅定說,你放心,我們跟你一樣, 我們也都經歷過神的作為。
200.925	203.306	我們也認識上帝的大能。
203.306	205.486	我們也知道摩西所傳給我們的律法。
205.486	208.127	我們會跟你一樣,侍奉耶和華。
208.127	212.527	好,面對這麼振奮人心的回答,約束亞的反應是什麼?
212.527	216.328	約束亞對百姓說,你們不能侍奉耶和華。
216.328	223.129	哇,大出大家的意料之外,好像約束亞在潑冷水。
223.129	226.790	其實不是,約束亞是很認真在挑戰他們。
226.790	231.727	你們剛剛講的話, 知道你們在講什麼嗎?
231.727	236.069	你們明白你們剛剛所說的宣告是什麼意思嗎?
236.069	238.669	我認為你們沒有能力。
238.669	243.691	我認為你們沒有辦法用誠實跟真理來侍奉耶和華。
243.691	246.012	所以你們最好再想清楚。
246.012	248.133	你們所說的話要負責任。
248.133	250.254	所以你們不能侍奉耶和華。
250.254	250.614	為什麼?
250.614	252.275	因為祂是聖潔的神。
252.275	253.295	是祭邪的神。
253.882	260.587	如果你們今天這樣子講,後來卻沒有這樣做,祂必不赦免你們的過犯跟罪惡。
260.587	266.631	神是聖潔的,神是無法忍受犯罪的,是祭邪的神。
266.631	272.315	所以你們隨隨便便這樣子呼口號,你們要想清楚,真的是如此嗎?
272.315	291.166	二十節,如果你們離去耶和華去侍奉外邦的神,特別我已經一直勸你們,這些年勸你們說,你們已經得地為業了,為什麼不努力的依靠神, 憑著信心把敵人趕走,卻苟且偷安,然後跟外邦人和平共存。
291.166	300.410	我對於你們這樣的一個下半場的表現,我真的是對你們非常憂心,我覺得你們沒有辦法侍奉耶和華。
300.410	303.091	耶穌就這樣子再次挑戰他們。
303.091	314.268	所以他說,你們如果離棄耶和華去侍奉這些外邦人,耶和華在降伏之後,就是之前祂祝福我們, 他以後他必轉而降惑於你們。
314.268	315.449	把你們滅絕。
315.449	316.911	所以你們最好想清楚。
