start	end	text
18.814	24.016	弟兄姊妹平安，我們按照每日眼睛事宜的進度一起來思想約蘇雅記第二章。
24.016	28.818	我們首先透過Drama Bible一起來讀第一節到第七節。
28.818	44.345	約蘇雅記第二章當下,嫩的兒子約蘇雅從石亭暗暗打發兩個人做探子,吩咐說:"你們去窺探納蒂和耶利哥。
46.305	56.394	於是二人去了,來到一個妓女名叫喇河的家裡,就在那裡躺臥。
56.394	65.703	有人告訴耶利哥王,今夜有以色列人來到這裡窺探此地。
65.703	67.444	耶利哥王打發人去見喇河。
73.422	83.547	那來到你這裡,進了你家的人要交出來,因為他們來窺探全地。
83.547	88.130	女人將二人隱藏。
88.130	90.391	那人果然到我這裡來。
90.391	94.253	他們是哪裡來的,我卻不知道。
94.253	98.195	天黑,要關城門的時候,他們出去了。
98.195	99.816	往哪裡去,我卻不知道。
101.135	105.138	你們快快地去追趕,就必追上。
105.138	112.304	先是女人領二人上了房頂,將他們藏在那裡鎖擺的馬街中。
112.304	116.547	那些人就往約旦河的渡口追趕他們去了。
116.547	122.752	追趕他們的人一出去,城門就關了。
122.752	150.638	第一節,當下嫩的兒子約蘇亞從石亭暗暗地打發兩個人做探子, 這讓我們回想當初摩西在這個曠野的時候也派出十二個人做探子要去窺探他們的應許之地迦南地這個時候約蘇亞也是一樣先派出兩個探子這個時候的時間點 大約是落在祖前1407年左右。
150.638	153.460	也就是他們出埃及之後40年。
153.460	159.963	對比中國歷史,大概在夏商周的商朝的早期。
159.963	168.108	他們這時候所有的大部隊,是集結在河東的磨崖平原的最後一站,叫做石亭。
168.848	177.856	打發兩個探子去,然後就暗暗的吩咐他們說,你們去窺探那地和耶利哥。
177.856	184.423	他們過河之後,會遇到的第一個大的城市,就是耶利哥城。
184.423	188.026	過了河之後不到十公里,就會到耶利哥城。
188.026	193.792	於是兩個人就去了,去窺探那地,最主要就是去看耶利哥城。
194.292	198.555	來到一個妓女名叫拉荷的家裡。
198.555	201.158	拉荷的意思是寬闊的。
201.158	203.279	就在那裡躺臥。
203.279	207.883	我們想說他們怎麼會到妓女的家裡面去。
207.883	208.904	而且還在那邊躺臥。
210.657	242.632	非常的誤會以為是去那邊是不是嫖妓然後臥底我們如果再往下看就會發現他們真的只是去那邊找一個可以過夜的地方因為到第八節我們可以看見第二次用躺臥這個字真的只是過夜睡覺然後第二節這邊就有人來告密 告訴伊利哥的王說今夜有以色列人來到這裡窺探這地。
242.632	264.597	代表其實伊利哥城的人都在做警戒他們知道這個在河的對岸有人數非常龐大的以色列人準備想要過河那他們也在日夜警戒所以他們就發現說 今天白天的時候,有兩個以色列人,進到我們城市裡面來。
264.597	271.360	怎麼在天黑要關城門之前,都沒有看見他們兩個人離開呢?
271.360	273.801	所以就想說,這兩個應該就是奸細。
273.801	277.403	所以就告訴伊利哥的王。
277.403	280.524	伊利哥的王就開始去搜查這個人。
281.340	291.077	就打發人去見喇河說,那來到你這裡,見了你家的人,要交出來,因為他們來窺探泉地。
291.077	294.604	女人就將,女人已經先將兩個人隱藏了。
295.742	345.966	然後就回答就說那人沒有錯果然曾經來到我這裡那他們是哪裡來的我卻不知道第五節天黑要關城門的時候他們就出去了往哪裡去我卻不知道你們啊快快的去追趕就必追上第六節這邊補充說明原來是先前這個女人就是喇合 帶領兩個人上了房頂,就躲到屋頂上面去了,然後將他們藏在屋頂那邊所擺的麻街中,這個時候大概是楊历的三四月之間,也是麻收割的時候,就把他藏在收割起來的麻堆裡面。
