start	end	text
18.968	22.011	同學們平安，我們按照《每日人經》事宜的經讀一起來思想。
22.011	23.292	約書雅記第二十章。
23.292	27.437	首先我們透過《莊瑪Bible》一起來讀第一節到第三節。
27.437	52.318	約書雅記第二十章耶和華小域約書雅你吩咐以色列人說 你們要照著我借摩西所小喻你們的,為自己設立逃城,使那無心而誤殺人的可以逃到那裡。
52.318	58.121	這些城可以做你們逃避暴血仇人的地方。
58.121	72.561	第一節耶華小喻約蘇亞說,你吩咐以色列人說, 你們要照著我借摩西,原本是我借著摩西的手所吩咐你們的,要為自己設立屠城。
72.561	78.402	為什麼要強調是上帝借著摩西的手吩咐以色列人要遵守。
78.402	96.046	摩西的手代表摩西伸出手來,拳柄的意思,代表說摩西已經不在了,但是約蘇亞你要記得,這個要遵照當初這個摩西特別吩咐的事情, 你們現在土地都分配好了,你們要開始設立陶城。
96.046	111.010	有關於陶城的記載,之前在摩西五經,摩西還活著的時候,在出埃及記21章,申明記第4章,申明記19章,還有民宿記35章,摩西都好幾次談到這個陶城的事情。
111.010	111.830	什麼是陶城呢?
111.830	113.411	我們待會開始解釋第三節。
114.804	121.848	使那些無心而誤殺人的人可以逃往這些逃城那裡。
121.848	128.412	這些城可以做你們逃避那要暴雪仇人的地方。
128.412	150.774	暴雪仇這個字它是兩個希伯來字合在一起的是由致敬的親屬再加上血流血的血這個字合起來的 也就是說,如果有些人他不是存心殺人,他是不小心在一個意外裡面,不小心結果讓另外一個人死掉了。
150.774	162.561	那基本上呢,當地的這個法庭,當地的這些長老們,就要首先來審問,你是不小心殺人,還是故意殺人?
162.561	170.527	如果你是不小心殺人,那當地的法庭就要說,那你可以逃往逃城去。
170.947	180.010	也就是說,第一道手續是在當地的司法機關,判斷他是蓄意殺人,還是誤殺人。
180.010	190.874	如果是誤殺人的話,當地的司法機關就要阻止,被那個死掉的人,他的致敬的親屬,就是家人,報血仇。
190.874	194.255	當地的長老要阻止被害者的家屬。
194.735	206.844	那殺人的要逃到這些城中的一座城,站在城門口,將他的事情說給城內的長老們聽。
221.240	228.281	他們就把他收進城裡﹐給他地方﹐使他住在他們中間。
228.281	240.844	若是報血仇的追了他來﹐長老不可將他交在報血仇的手裡﹐因為他是肅無仇恨﹐無心殺了人的。
240.844	246.545	他要住在那城裡﹐站在會眾面前聽審判。
246.545	255.617	等到那時的大祭司死了﹐ 殺人的才可以回到本城本家,就是他所逃出來的那城。
258.166	277.398	第四節,那個誤殺人的那個人,他經過這個地方的長老第一階段的審訊之後,確認他是誤殺,為了防止被害人的家屬心有不甘,還是想報血仇,他就要逃到這個逃城,這是城市裡面。
277.398	285.624	摩西之前有吩咐,在約旦河以東,約旦河以西,各要設立三座逃城,所以逃城有六個。
286.084	296.833	約旦河以東跟約旦河以西的北區、中區、南區各有一座陶城,所以分佈得非常的平均。
296.833	306.521	並且摩西丹有規定,就是說陶城要設置在地理位置要平均,而且陶網陶城的路、馬路要修好。
307.142	313.506	不要妨礙這個逃往陶城的人,有攔阻,以至於不能躲到陶城裡面去。
313.506	318.549	再來這六座陶城,都是屬於立位人的城市。
318.549	329.817	好,所以我們來看一下,這個誤殺的人要逃到這個陶城裡面,就要首先站在這個城門口,城門口就是舉行這個司法審判的地方。
331.101	367.003	要把他的事情說給這個逃城裡面的長老們聽這是第二次審判那他們聽完之後確認他是誤殺這個逃城的長老就把他收進城裡面並且給他地方使他住在那個地方的中間所以如果那個被殺的人他的家屬心有不甘 追過來要報血仇的話,逃成了長老,不可以將這個誤殺的人,交給這些報血仇的家屬的手中。
367.003	374.371	因為這個人他是恕無仇恨,是在無心之下殺的人的,他是誤殺的。
374.872	386.377	那這一個誤殺的人,他就躲在這個逃城裡面,然後呢,站在這個匯眾面前,聽候公正的審判,然後就不能離開這個城。
386.377	394.140	如果你離開這個城,你被這個死者家屬發現了,被殺了,那是你活該,因為你不聽耶和華的話。
394.140	396.742	那要什麼時候才可以離開這個逃城呢?
396.742	413.525	要等到, 那個時代的大祭司,死了之後,那殺人、誤殺人的那個人,才可以從逃城回到自己的本城本家,就是他當初所逃出來的本地本家那個城。
413.525	420.529	那當然,死者的家屬絕對不可以再去殺他,那死者家屬就犯了殺人罪。
420.529	422.931	那為什麼要等到這個大祭司死了?
423.746	461.967	這些被判在逃城裡面不准離開的人有點像判有期徒刑就是限制他的生活的範圍只能在逃城裡面有點像有期徒刑誣殺人所以判有期徒刑為什麼等到大祭司死了他才可以離開彷彿有人替他贖罪了一命還一命 所以好像大吉斯的死﹐可以替這些在逃省裡面﹐這個有期徒刑生活的誤殺犯人﹐就可以得到自由跟釋放。
461.967	466.931	好,我們繼續來讀第七節到第九節。
466.931	484.355	於是,以色列人在拿伏他利山地分定加利利的基迪斯, 在以法蓮山地分定世間,在猶大山地分定基列亞巴,基列亞巴就是西伯倫。
484.355	515.066	又在約旦河外耶利哥東,從劉便之派中在曠野的平原設立比西,從迦德之派中設立基列的拉莫,從馬拿西之派中設立巴山的戈蘭, 這都是為以色列眾人和在他們中間寄居的外人所分定的地域,使誣殺人的都可以逃到那裡,不死在暴血仇人的手中,等他站在會眾面前聽審判。
519.462	522.124	接下來就要介紹這六座陶城在哪裡。
522.124	530.831	我們知道約旦河以東,約旦河以西,按照北區、中區、南區,各有一座陶城,總共六座。
530.831	538.357	第七節,第一個是在這個拿佛塔利之派,就是加利利那個地方的 基底斯。
538.357	548.382	然後呢,第二個是在這個約旦河中部的,約旦河以西的中部,以法連山地的事件。
548.382	554.225	第三個是在約旦河以西的南部,猶大的基列亞巴,就是西伯倫。
554.225	562.910	那約旦河以東的部分呢,第八節,就是從這個流變之派當中, 設立了這個比西。
562.910	564.030	這是最南邊。
564.030	567.412	再來約旦河以東的中部。
567.412	568.553	迦德之派。
568.553	571.935	就在激烈這個地區的拉莫。
571.935	573.636	再更往北。
573.636	576.317	在這個約旦河東的北邊。
576.317	578.499	從東馬拉西之派當中。
578.499	580.300	在巴山地。
580.300	581.941	有戈蘭這個城市。
581.941	583.541	是作為陶城。
583.541	607.125	這都是為以色列眾人﹐和在他們中間寄居的外人﹐ 所特別分出來的地區的城市,能夠使誤殺人的都可以逃到那裡,不死在報血仇的人的手中,等他站在會眾面前聽審判,確定他是誤殺,他就可以被接納,住在這個逃城裡面。
