start	end	text
10.947	12.768	弟兄姊妹平安，我們一起來思想。
12.768	17.331	約翰福音第8章的第30節到第36節。
17.331	23.135	30節,耶穌說這話的時候,就有許多人信祂。
23.135	34.982	耶穌就對這些信祂的猶太人說,你們若常常遵守我的道,就真是我的門徒,你們必曉得真理,真理必叫你們得以自由。
36.271	41.093	他們回答說,我們是亞伯拉罕的後裔,從來沒有做過誰的奴僕。
41.093	45.555	你怎麼說你們必得自由呢?
45.555	50.198	在這邊我們看見約翰福音裡面常常的一個場景。
50.198	54.460	以前我剛讀聖經的時候,常常特別讀到約翰福音。
54.460	59.242	真不知道耶穌是一個成功的佈道家,還是一個失敗的佈道家。
59.242	68.447	常常約翰福音裡面的場景就是, 有人支持耶穌,有人反對耶穌,有人信祂,有人不信祂。
68.447	74.392	然後呢,耶穌就會把那個信祂的人,再召聚過來。
74.392	78.415	然後再進一步,再跟他們講,講更徹底。
78.415	85.060	講完之後呢,這些剛剛信祂的人,大部分都不信祂,幾乎都是這樣。
85.060	91.045	所以呢,我常常想說,耶穌到底是一個最成功的佈道家,還是一個最失敗的佈道家?
92.415	127.501	耶穌常常對那些已經進一步的想要來信祂的人所做的這個進階版的門徒工作為什麼常常導致後來這些人不信了這些人很生祂的氣甚至是這些人要殺祂這邊有沒有看到一個這樣的例子那我想今天我們也是要來思想一件事情我們有時候會不會覺得耶穌 給我們的信息,聖靈給我們的提醒,很刺耳。
127.501	135.049	我們常講忠言逆耳,特別是真理啊,常常聽起來很不順耳。
135.049	140.214	真理常常聽起來覺得非常的冒犯我們。
140.214	144.819	但是呢,如果它真的是良藥,有時候真的就是苦口。
145.845	172.387	所以我們今天不論是傳講信息或是做教導或是做分享如果我們只喜歡講大家喜歡聽的或是喜歡聽我自己喜歡聽的但是對於真正的良藥我們卻因為覺得會苦會覺得 因此這是我們第一個要留意的。
191.049	200.092	那耶穌就對這些信祂的猶太人說,你們既然信我了,你們就要常常遵守我的道,這沒有問題。
200.092	207.335	就真是我的門徒,你們就必曉得真理,真理必叫你們得以自由。
207.335	209.396	祂講這個呢,這些人就不高興了。
209.396	216.319	我們是亞伯拉罕的後裔啊,我們哪裡有做過誰的門徒呢?
216.319	219.340	你怎麼可以說我們必得以自由呢?
219.923	224.088	弟兄姊妹,你要記得剛剛上半,剛剛的場景。
224.088	227.251	在這個第八章的第二十四節的時候。
227.251	232.657	因為耶穌對他們說,所以我對你們說,你們要死在最終。
232.657	236.822	你們若不信我是基督,必要死在最終。
236.822	239.465	耶穌在剛剛講了一段很激烈的話。
240.452	251.585	耶穌希望讓你們明白說,我們不是要來討論神學的,我只是要點出一個很實際的事情,就是你們要死在罪中了,你們會滅亡在罪中了。
251.585	254.508	難道你們自己不知道嗎?
254.508	261.336	你們說你們是遵行天父的旨意的,可是你們難道真的不知道你們常常沒有遵行?
262.227	265.689	你們不知道你們會死在罪中嗎?
265.689	268.991	有些人聽了很生氣,就不理耶穌。
268.991	271.472	有些人心被扎了。
271.472	274.253	他說,對,沒有錯,我其實門心自問。
274.253	276.655	我是在罪中被捆綁的。
276.655	278.936	我在罪當中是不自由的。
278.936	281.877	最後呢,我也無法面對天父。
281.877	288.497	我也不可能永遠在他的家中,因為我無法面對 上帝,因為我常常在犯罪。
288.497	291.319	所以呢,耶穌講的真有道理。
291.319	293.541	我很可能就是會在罪中滅亡。
293.541	297.504	所以,有這樣感受的人呢,他就決定要怎麼樣?
297.504	298.905	要信耶穌。
298.905	305.469	好,耶穌後來就是針對這些想要信祂的人,進一步跟他們說話。
305.469	312.014	進一步的提醒他們說,要永遠遵守我的道的話,就要去 紀念這件事情。
312.014	312.614	就是什麼呢?
312.614	315.175	就是要得到真理。
