start	end	text
18.968	22.850	等我姊妹平安，我們按照每日嚴經事宜的進度一起來思想。
22.850	43.923	羅馬書第六章的十五節到最後在第六章上半段我們思考了三個中文字其實在希臘文就是同一個字Logizomai它可以被翻譯成看或是算或是信基本上就是一種心的信心的屬靈的眼光。
43.923	74.780	保羅在六章上半段鼓勵我們要把基督祂向著罪 的死算為我的死而要把基督祂向著神的活算為我的活也就是我們已經與耶穌同死了也與耶穌同復活了我們當如此看自己是誰我們當如此相信自己是誰我們當如此用信心來算 自己是誰。
74.780	96.006	算這個字真的很有意思,他就是好像是說,這個名義上已經是了,但不是出於你自己的功勞而得到的,可是你又已經擁有他的,那你對他又不是很熟悉,所以你需要操練,那這是需要信心,這是需要眼光來看白。
96.006	102.328	所以信、看、算,我們可以從中文這三個角度,來理解Logizomai這個字。
103.490	106.793	我們就來看十五節以後,保羅的進一步的勉勵。
106.793	109.075	第十五節,這卻怎麼樣呢?
109.075	113.518	我們在恩典之下,不在律法之下,就可以犯罪嗎?
113.518	114.319	斷乎不可。
114.319	132.232	保羅再一次,如同第六章第一節一樣,再次強調,不是因為現在在恩典之下,而不在律法之下,不在罪跟死亡之下,我們就可以任意妄為的犯罪,繼續 活在一個罪惡生活當中。
132.232	134.512	六章上半段保羅講得非常精彩。
134.512	140.713	保羅說我們在罪的面前,我們是一個死人了。
140.713	143.154	可以沒有反應。
143.154	145.134	你叫一個死人,死人不會動。
145.134	147.475	他可以不理你,他是死人。
147.475	152.956	你怎麼嚇他、罵他、打他,他都可以不需要回應你,他已經死了,沒有感覺了。
153.643	173.383	那保羅就說我們與基督同死所以我們面對罪的百般的誘惑、試探、恐嚇、綁架、勒索我們是可以選擇不要回應祂不要理祂祂真的也不能對你怎麼樣 那在現實生活當中,你覺得這可能嗎?
173.383	174.663	所以它是可能的。
174.663	182.405	所以你需要用信心的眼光,把自己與基督在十字架上的死聯合。
182.405	192.901	那這需要信心,這需要如此的看待自己的新生命,需要如此的用算、 來操練這樣的新生命。
192.901	194.461	我們繼續往下看十六節。
194.461	203.244	這邊再次強調就是說,基督已經釋放我們的自由。
203.244	208.566	我們現在好像是,站在一個中間地帶。
208.566	212.648	好像你可以做一個選擇,以前是沒得選,以前你就是最死魔的奴仆。
214.036	221.180	這邪惡的三位一體,叫我們幹嘛,我們就得幹嘛,沒有辦法反抗。
221.180	288.229	但如今我們好像是自由的,我們可以決定把自己獻給哪一邊, 獻這個字我們上次也談過就是在旁邊站著然後呢供人家差錢等人家差錢叫你做什麼就做什麼羅羅啦所以我們現在可以自己好像可以有一個自由可以做決定我們要把自己獻給誰那獻給獻給這個罪做奴仆呢以至於死就是進入死或是結局就是死或是成為死 那如果做順命就是順服這個救恩福音做順命的奴仆以至成義以至成這個字就是剛剛的以至於都是希臘文的es就是進到什麼裡面去或是變成什麼 所以做罪的奴仆,結局就是做順服福音的奴仆,順服上帝旨意的奴仆,他的結局就是義,進入義,或是成為義。
288.229	289.830	我們繼續往下看第17節。
289.830	301.698	感謝神,因為你們從前雖然做罪的奴仆, 現在卻從心裡面順服了所傳給你們道理的模範。
301.698	316.769	這個道理的模範模範這個字就是形式的意思簡單來講就是你們現在已經打從心裡面 願意順服所傳給你們的耶穌基督救恩福音的內容以及原則。
316.769	324.980	因此你們現在真的你們從罪裡面已經得了釋放就做了義的奴仆。
325.981	328.262	所以你們不需要再做罪的奴仆。
328.262	385.308	所以這邊可以讓我們去思想,我們一開始,願意聽見福音而願意悔改,知道自己沒有辦法救自己,脫離上帝公義憤怒的審判,只有滅亡一條路,而我們聽到這個福音,可以赦免我們的罪,而且還要賜給我們新生命,使我們在基督裡做一個自由的人,我們就相信了,那神就算我們為義, 被算為義這只是一個起點而已而接下來的人生如何活出這個新生命就要不斷的把自己獻給神做義的器具這樣的結局就會進入義或是成為義從被算為義到實際的透過怎麼看自己相信自己是誰然後怎麼算自己 來操練一個新生命。
385.308	386.509	透過這個過程。
386.509	389.050	我們會從被算為義。
389.050	391.011	會慢慢進入義。
391.011	392.791	而成為義。
392.791	394.592	這是一個很寶貴的生命歷程。
394.592	396.593	我們繼續往下看。
396.593	398.274	第49節。
398.274	400.595	我因你們肉體的軟弱。
400.595	403.756	就照人的常話對你們說。
403.756	405.537	保羅說。
405.537	407.158	因著你們這個肉體。
407.858	424.353	是軟弱的那因為以前還沒有認識主之前我們肉體都不斷的被罪來控制所以不斷做不義的器具 你們從前怎麼樣將肢體,獻給不潔不法做奴仆。
424.353	429.975	不潔就是不道德,不法就是無慮法,做奴仆。
429.975	444.620	因為你們這些羅馬教會弟兄姊妹,以前如何讓你們的身體,以及身體的每一個部分的這些肢體,都做罪的裸裸, 去犯罪。
444.620	446.321	獻給不道德。
446.321	448.141	獻給無律法。
448.141	450.522	不照律法過生活。
450.522	453.143	然後以致於不法。
453.143	456.305	所以你們變成一個毫無律法的人。
456.305	458.646	你們是一個不道德的人。
459.565	488.639	那現今也要照樣將肢體獻給義做奴仆以至於成聖所以保羅再次勸勉弟兄姊妹就是說回想一下以前大家肉體很軟弱的時候怎麼樣做罪的裸裸然後拼命的把自己公這個不道德跟無慮法拆遣然後讓這個罪惡死亡魔鬼任意的糟蹋 統治我們。
488.639	491.660	那我們今天不要再走那條路。
491.660	495.581	我們今天要把肢體獻給義,做奴仆。
495.581	498.902	我們就可以以至於成聖。
498.902	505.125	這以至於成,一樣就是剛剛那個希臘文Ace,就是進入聖,或是成為聖。
505.125	507.946	我們常聽他講說,稱義再來成聖對不對。
508.746	537.574	這個比較是加爾文他們的一種神學的描述稱義成聖但如果你是比較路德這邊的一個描述他就是稱義然後成義那我們可以看見剛剛講到這個在第16節的時候講到成義 然後在第19節,同樣的講到成聖。
537.574	542.517	其實我們可以看見,誠意跟成聖,是在講一樣的一件事情。
542.517	548.660	重點是,誠意跟成聖的過程裡面,是需要信心的操練。
548.660	560.228	不斷的告訴自己,不斷的看待自己,不斷的相信自己,不斷的算自己,是一個向罪以死的人。
561.237	564.218	像神已活的人。
564.218	568.540	可以拒絕罪的試探跟要求。
568.540	570.761	像一個死人一樣沒有反應。
570.761	574.123	可以回應上帝的吩咐跟帶領。
575.896	580.280	像一個活跳跳的人，有能力去遵行神旨意。
580.280	589.189	這個信、看、算的生命操練是使我們成義或是成聖的一個重要的生命歷程。
589.189	595.773	二十節,因你們做罪之奴仆的時候, 就不被義約束了。
595.773	601.394	沒有錯,我們做罪的奴仆,我們就不會做義的奴仆,不被他約束了。
601.394	607.056	21節,你們現今所看為羞恥的事,當日有什麼果子呢?
607.056	609.657	那些事的結局就是死。
609.657	619.880	現在我們信主了,回想以前我們做罪的奴仆的時候,做的那些事情,哎呀,真的都是很丟臉,很沒有見證、很羞恥的事。
620.640	629.906	那當日所結的那些果子,就是當日犯罪的後果,就是果子。
629.906	632.268	就是那些事的結局是什麼呢?
632.268	634.630	就是死嘛,我們都知道了。
634.630	645.857	二十二節,但現今,你們既從罪裡面得了釋放,而且做了神的奴仆,就有另外一種果子,就有成聖的果子。
646.698	652.342	而這個成聖的果子,就是永生的結局。
652.342	663.753	所以這邊告訴我們就是說,你要做一個正確的決定,你要當誰的奴仆, 因為基督釋放你,你好像有自由,可以決定把自己獻給誰。
663.753	666.495	但是沒有第三個對象可以獻。
666.495	672.279	你不是把自己獻給罪,就是把自己獻給上帝。
672.279	679.004	你不是把自己獻給罪死魔,你就是把自己獻給三位一體的上帝。
679.004	680.545	你可以獻給自己嗎?
680.545	682.067	沒有,不可能的。
682.067	686.370	你只能選其中一邊,投靠其中一邊的陣營。
686.370	700.653	因此我們繼續往下看, 23節,因為罪的公價乃是死,惟有神的恩賜,在我們的主基督耶穌裡,乃是永生。
700.653	706.658	保羅給第6章做一個結論,就是說, 罪的公家,乃是死。
706.658	719.185	但是呢,靠著上帝極大的恩典,我們在主耶穌基督裡面,我們做義的器具的結局,我們做義的奴仆的結局,是永遠的生命。
719.185	720.486	感謝神。
720.486	728.411	我們蒙了何大的恩典,我們不應該繼續活在罪裡面,繼續把自己奉獻給罪死魔。
729.394	730.895	做祂們的裸裸。
730.895	731.976	聽祂們的差遣。
731.976	733.657	我們一起來禱告。
733.657	735.258	主耶穌我們感謝讚美祢。
735.258	737.179	謝謝主祢告訴我們。
737.179	741.322	我們每一天要活出新人的樣式來。
741.322	744.084	每一天我們要把自己奉獻給祢。
744.084	747.526	因為我們被祢釋放已經得自由了。
747.526	752.550	我們真的可以向著最 做死人不要回應祂的。
752.550	755.512	我們也真的可以向著神做活人。
755.512	757.273	積極的回應上帝的。
757.273	759.154	因為我們不在律法之下。
759.154	762.776	我們也不會靠行律法稱義。
762.776	767.660	我們還是靠耶穌基督十字架救人復活的大能充滿在我們裡面。
768.080	774.646	使我們願意來順服神,而成為上帝公義聖節的器皿,能夠榮耀我們的父神。
774.646	788.480	謝謝主,為我們這一生,不論在高山低谷,都要學習信、看、算的生命功課,活在祢救恩偉大的榮耀裡,奉耶穌基督的名祷告。
788.480	789.220	阿們。
789.220	798.618	願神賜福大家, 繁體中文，
