start	end	text
19.019	23.241	弟兄姊妹平安，我們按照每日延經事宜的進度一起來思想。
23.241	49.610	羅馬書第9章的14節到24節在第9章裡面保羅要繼續來論述如果猶太人仍然堅持要靠行律法來稱義而拒絕上帝祂因信稱義的救恩福音那這樣子猶太人他們就會滅亡 那這樣子是不是對猶太人是公平嗎?
49.610	66.620	因為我們在羅馬書第一章的16、17節就談到羅馬書的整個中心的主題就是要談到神的義或是神的公義正在上帝祂兒子耶穌基督的救人福音上面完全的顯明出來。
67.449	82.857	那這樣的一種救恩的顯明對於那些仍然想要堅持因行為稱義的以色列人來說他們會不會覺得上帝不公義上帝不義呢?
82.857	138.731	特別在第9章第4節裡面保羅也明明的說出對這些以色列人來講原本上帝所應許的包含那兒子的名分 兒子的榮耀,還有各樣的約,包含這個亞伯拉罕之約,大衛之約,還有律法,摩西的律法,以及禮儀,各種敬拜的條例、獻祭等等,還有應許,包含死裡復活的應許,還有神的國的應許,甚至連這個列祖,他們也都是這個以色列的祖宗,甚至按肉體說,連基督也是從 這個大衛的後裔以色列的這個百姓當中出來的而這些在就業的選民如果他們繼續堅持陰性稱義而被神棄絕而滅亡那這樣神到底公義還不公義呢?
138.731	144.171	保羅教繼續來論述這個問題 14節,這樣我們可以說什麼呢?
144.171	146.871	難道神有什麼不公平嗎?
146.871	158.014	保羅說,斷乎沒有,因為神祂曾經對摩西說,接下來就引用,除外幾記,33章19節。
158.014	162.956	我要憐憫誰,就憐憫誰,要恩待誰,就恩待誰。
163.916	176.661	保羅特別引用這段經文,這個是以色列人在準備要進迦南地之前,他們選擇了離開上帝。
176.661	187.045	他們在摩西上山去領受上帝的律法的時候,百姓在山下就離去了耶和華,他們就拜起了金牛賭。
187.978	225.451	以至於上帝祂就非常的憤怒祂公義的憤怒就決定要滅絕所有的以色列人但因著摩西的代求祂懇求上帝饒過以色列人一命因此保羅非常有力量的就引用這段經文要來表明一件事情以色列人沒有什麼好誇口的其實從歷史當中不斷的顯明 若不是神憐憫我們這些軟弱犯罪的以色列人,我們早就全部滅絕了。
225.451	230.216	我們到底還有什麼好誇口,甚至還說神對我們不公平呢?
230.964	264.468	因為我們在歷史當中一次又一次的被事實來證明我們早就全以色列人早該滅亡了但都是神憐憫我們讓我們留下一些餘種才能夠持續到今天為了就是要等待遇見耶穌基督這位彌撒亞的君王所帶來的偉大的救恩福音 十六節據此看來,保羅繼續講他的論點,這不在乎那定義的,也不在乎那奔跑的。
264.468	289.324	這個誰被上帝憐憫,誰被上帝恩待, 不在乎那個人他是否是定義的還是他是否是奔跑的因為人出於自己的努力意志發誓也好想靠自己的行為來稱義如何的定義如何的努力奔跑 他結果都是不斷在犯律法。
289.324	290.865	不斷在犯罪。
290.865	292.526	所以據此看來。
292.526	296.068	完全不在乎是不是你有定義。
296.068	297.748	或是你有努力奔跑。
297.748	299.709	因為你們都跌倒了。
299.709	302.611	你們的立志行善由得你。
302.611	304.371	行出來由不得你。
304.371	305.812	所以大家都是罪人。
305.812	308.994	所以只在乎發憐憫的神。
309.974	331.628	所以每一個人他能夠得救沒有滅亡,都是因為神憐憫他,神賜給他一個機會,如果他願意來悔改,神就願意赦免他的罪,把這個陰性稱義的福音賞賜給他,讓他可以罪得赦免而存活下來。
333.200	364.737	17節因為經上有話向法老說這時候保羅繼續引用出埃及記第9章16節上帝透過摩西對法老的責備我將你法老興起來特要在你的身上彰顯我的全能並要使我的名傳遍天下如此看來神要憐憫誰就憐憫誰 要叫誰剛硬,就叫誰剛硬。
364.737	382.887	這邊舉出法老的例子,是在《出埃及記》第九章的時候,法老他不斷的新印,因此我們看見《出埃及記》裡面, 有十災來審判、懲罰埃及人跟法老。
382.887	391.871	前面五災裡面,出埃及記都說,法老心剛硬,不願意悔改。
391.871	403.553	而後面五災,六到十災, 經文就畫風一轉,變成神使法老的心剛硬,或是神認平法老的心剛硬。
403.553	432.109	因此這邊就要談到另外一種角度,就是說當猶太人,你如果繼續像你們最討厭的那個埃及法老,一樣繼續向神剛硬的話,那神就會認平 認平你的心,繼續剛硬下去,而讓你最後自找死路,讓你最後就是像法老一樣的滅亡。
432.109	471.001	因此這邊講到說,法老他心硬到底,神就認平他心硬,他的這個心硬到底, 而且他認為自己是有能力的有全能可以來對抗上帝公義的憤怒就如同現在猶太人認為他有一些資格他有一些行為想要來稱義他自認為他是舊約時候上帝的選民但是在九章上半段保羅也已經講了 不是從肉體所生的亞伯拉罕的後裔才叫做後裔。
471.001	478.268	因為以什瑪利也是這個亞伯拉罕肉身的後裔但他卻不是選民。
478.268	512.837	因此如果猶太人想要像法老一樣 要靠著自身的某一些條件想要靠自己是那定義的想要靠自己是那奔跑的而在神的面前向神心剛硬對抗上帝要叫人悔改的救人福音而死不悔改那結局就是自取滅亡所以18節才會說到最後就是可以發現一個結論就是 人人都該死,人人都該滅亡。
512.837	515.458	但是神要憐憫恩待誰,就憐憫誰。
515.458	517.859	神所憐憫的是誰呢?
517.859	521.741	是那些願意柔軟謙卑、認罪悔改的人。
521.741	528.183	而神要使誰繼續剛硬,讓他自己自尋滅亡呢?
528.183	544.450	就是那些硬著心,憑著自己好像有權能,憑著自己好像自認為有一些條件、貢獻,想要靠自己行為稱義的, 那這個結局就是神會任憑他心剛硬,最後如同法老一樣滅亡。
544.450	546.911	19節,這樣你必對我說。
546.911	558.898	保羅就假設猶太人他會來反駁保羅的論點,然後他們會說,他就是上帝,上帝他為什麼還指責人呢?
558.898	561.340	有誰抗拒上帝他的旨意呢?
