start	end	text
19.036	22.060	弟兄姊妹平安，我們按照每日言經事宜的進度,一起來思想。
22.060	30.971	耶利米埃哥的第二章,第二章一樣是22節,它也是一個字母離合詩,代表每一節的第一個希伯來原文的第一個字母。
31.681	36.725	他們的排列順序就是按照希伯來文的22個字母排列了。
36.725	48.153	所以第一節的第一個一定是ALEPH,第二節的第一個字母一定是BET,ALEPH,BET,GIMMEL,DARLET,就是英文的ABCD這樣排下來。
48.153	50.295	好,我們就來看第二章的部分。
50.295	58.862	主何敬發怒,原文何敬是第一個字,這個字希伯來原文的第一個字母就是ALEPH,就是英文的A的意思。
59.462	63.504	主何盡的發怒,主怎會生氣到這個地步呢?
63.504	73.868	是黑雲遮蔽喜安城,以前是神的榮光與我們同在,現在是用黑雲遮蔽,要審判耶路撒冷。
73.868	85.418	祂將以色列的華美,從天扔在地上被厭棄,在祂發怒的日子, 并不纪念自己的脚凳。
85.418	88.000	上帝的脚凳指的就是约柜。
88.000	94.765	在历代至上的二十八章第二节,大卫说这个约柜就是上帝宝座的脚凳。
94.765	99.448	所以代表就是神不愿意跟百姓同在。
99.448	105.292	他也觉得百姓都不纪念约柜里面我们所立的约。
105.292	106.013	百姓不断被约。
106.920	122.373	神就來審判毀滅耶路撒冷聖城第二節主吞滅雅各一切的住處並不顧惜我們想說不是巴比倫人在主前586年滅掉了這個耶路撒冷呢?
122.373	125.355	怎麼會是主吞滅雅各呢?
125.355	136.202	先知告訴我們其實是上帝使用巴比倫來審判我們 他發怒就傾覆了猶大民的寶藏。
136.202	139.305	寶藏指的就是堡壘。
139.305	144.669	並且使這個堡壘灘倒在地,夷為平地。
144.669	154.398	不僅是堡壘夷為平地,甚至連這個索羅門王所建造的第一聖殿在祖前586年也被夷為平地。
154.398	159.523	他入末這國,他修入這一個曾經是稱為上帝的國家。
160.043	183.080	和其中所有的首領,這些首領都失職,他們並不帶領百姓敬拜神,反而是依靠自己的武器,自己的智慧,還有依靠玩這種國際政治軍藤的遊戲,一會依靠巴比倫,一會依靠埃及,在夾縫中玩這種利益遊戲,最後自取滅亡。
183.660	221.156	第三節他發烈怒把以色列的角角代表力量全然砍斷在仇敵面前收回右手左手右手通常聖經把比較有力氣那隻手稱為右手他向火焰四圍吞滅將雅各燒毀以色列國境成為一片焦土他張開弓 好像仇敵,他站著舉起右手,如同敵人將越人眼目的進行殺入。
221.156	230.018	好像敵人看到哪一個獵物就把他殺了一樣。
230.018	236.259	重點是上帝殺他自己的百姓,殺他自己悖逆的百姓。
236.259	245.947	在錫安百姓的帳篷上, 上帝道出祂憤怒像火一樣燃燒西安百姓的帳棚。
245.947	276.058	第五節主如仇敵本來是親愛我們的主與我們同在的主現在是如同我們的仇敵一樣吞滅以色列和西安一切的宮殿拆毀百姓的堡壘在猶大民眾家僧悲傷哭嚎 好像上帝的憤怒一波又一波的過來,不斷的加添百姓這些痛苦、悲好的聲音。
276.058	287.327	第六節,祂搶取自己的帳幕,好像是園中的窩棚,毀壞祂的聚會之處。
287.327	345.654	祂宮起祂自己的帳棚,就是聖殿這個會幕, 好像是攻擊這個這個田園中的這個窩棚這個農舍毀壞它的聚會之處耶和華使這個聖節和安息日就是各種節期還有百姓聚集的安息日在西安都被忘記因為聖城一毀聖殿也毀百姓被掳走不然就是逃走不然就是死光了再也沒有人回來守節而在耶利米蘇裡面 葉利米三番兩次就站在這個百姓聚會的聖殿、城門口大聲指責百姓要悔改不要與這種虛假的熱鬧的宗教行為來蒙騙上帝蒙騙自己的良心葉利米說這個沒有用的上帝甚至有一天會把聖城滅了果然如此 好,這個繼續往下看。
345.654	350.135	又在怒氣的憤恨中,藐視君王和祭司。
350.135	360.019	其實是君王跟祭司藐視上帝在前,現在變成上帝來藐視這些自以為是的君王和祭司。
360.019	369.902	第七節,耶和華丟棄自己的祭壇,厭惡自己的聖所,將宮殿的城牆都交付給仇敵。
370.742	373.744	你說百姓這麼痛苦耶和華痛不痛苦?
373.744	402.554	耶和華更痛苦因為他是這個拆毀自己的國拆毀自己的百姓他殺死自己的子民其實耶和華心中更是痛苦他們在耶和華的殿中渲染仇敵他們在耶和華殿中渲染像往日以色列百姓在盛會之日 在聖殿中熱熱鬧鬧一般。
402.554	405.876	現在仇敵佔據聖城和聖殿。
405.876	411.401	在裡面囂張的說話戰略品大聲吵鬧。
411.401	418.687	耶利米說就如同以前百姓在聖殿大聲吵鬧一樣。
