start	end	text
4.019	8.560	弟兄姊妹平安，我們一起來思想耶利敏書第46章第一節到第26節。
8.560	20.023	耶利敏書分為三個大段落第一個段落是第一章到二十章是警告的信息若不悔改,就會滅亡。
20.023	67.542	第二個段落是二十一章到三十九章是關於一定會被擄因為你們不悔改所以被擄但是七十年之後神會使你們悔改 第三個段落是從第40章到52章一開始講到耶路撒冷城被攻破之後先知耶利米被百姓綁架到埃及 以及這個百姓自以為在埃及那個地方可以躲過上帝要給他們的審判。
67.542	70.543	因為他們還是沒有悔改。
70.543	76.044	到埃及地之後反而比以前在耶路撒冷拜偶像拜得更兇。
76.044	86.147	那耶利米就宣告神審判的信息就有巴比倫人的刀會從猶大追殺到埃及。
86.147	88.108	這些在歷史上後來也都應驗。
89.104	101.928	然後呢,從46章開始呢,到第51章有6章,收集了耶利米對10個國家民族,他們的預言。
101.928	106.429	因為耶利米是被耶和華立為做列國的先知。
106.429	124.581	在上一章45章裡面,上帝也曾經透過耶利米的口,勸導祂的祕書巴祿,說, 他要這個耶和華所栽植的我必拔出,在全地我都如此行。
124.581	129.963	不是只針對猶大,而是針對全地的民族、國家跟百姓。
129.963	136.745	他們按照自己的心意,不按照神的心意而行的時候,神就要把他們拔出來。
137.568	140.690	直到他們願意在神面前服下來。
140.690	142.951	神就按照自己祝福他們的計畫。
142.951	145.433	重新把他們建立跟栽植。
145.433	147.534	那這十個國家裡面。
147.534	150.136	第一個要論到的預言。
150.136	151.817	就是埃及。
151.817	154.938	因為他的關係跟友大最密切。
154.938	158.140	我們先來看第46章第一節。
158.140	159.701	耶和華論列國的話。
159.701	161.542	連到先知耶利明。
161.542	163.464	論到關乎埃及王法老尼戈。
164.565	168.387	他正式的一個稱號應該是尼哥二世。
168.387	174.210	他是屬於埃及第26王朝的第二任的國王。
174.210	176.831	26王朝他之前是25王朝。
176.831	179.793	就是所謂的古時王朝。
179.793	182.234	就是南方的伊索皮亞人。
182.234	183.815	他統治了整個埃及。
184.684	191.487	那後來亞宿人入侵埃及,使得古什王朝衰弱。
191.487	202.352	因此呢,當地的埃及人就趁機起來,把古什人趕走,趕回伊索比亞,建立了第26個王朝。
202.352	215.526	這個軍隊安營在幼發拉底河邊的加基米斯, 是巴比倫王尼布賈尼薩在猶大王約西亞的兒子約亞進第四年所打敗的。
215.526	226.371	伊利米開始先回溯回溯這個之前在約亞進第四年的時候所發生的一個埃及跟巴比倫的大戰。
226.371	231.714	戰爭的地點是在加基米斯是在兩河流域就是幼發拉底河的河畔。
232.892	243.360	那個地方是這個巴比倫要從兩河流域往南進到中東地區過河之後的一個門戶。
243.360	251.546	那埃及呢,派手重兵在那個地方,然後結果是巴比倫獲勝。
251.546	256.009	第三節這邊是在諷刺這個埃及軍隊。
256.009	259.432	你們要預備大小盾牌前往上陣。
259.432	262.094	你們要套上馬,套上車騎上馬。
263.712	268.013	頂著盔戰力,磨槍灌甲。
268.013	271.535	我為何看見他們驚慌轉身退後呢?
271.535	273.135	這是一個諷刺。
273.135	275.676	不是全副軍裝上去打仗嗎?
275.676	279.057	怎麼竟然驚慌轉身退後呢?
279.057	281.698	啊,原來他們的勇士打敗了。
281.698	286.499	急忙逃跑,並不回頭,驚嚇四圍都有。
286.499	287.640	這是耶和華說的。
288.626	297.253	神在諷刺埃及的法老在那邊自以為是,結果被打敗回頭圖臉。
297.253	301.756	不要容快跑的逃避,不要容勇士逃脫。
301.756	312.405	他們在北方幼發拉底河邊半蝶鋪島,向尼羅河綻發,向江河之水翻騰的是誰呢?
313.677	319.019	埃及向尼羅河綻發,向江河的水翻騰。
319.019	327.502	他說,我要綻發遮蓋遍地,我要毀滅城邑和其中的居民。
327.502	330.684	馬匹上去吧,車輛急行吧。
330.684	334.445	勇士, 就是所拿盾牌的古什人。
334.445	338.026	古什人就是這個伊索皮亞人。
338.026	343.908	那個時候他們是已經被埃及的二十六王朝所管轄。
343.908	348.589	當然有可能是有些是古什的僱傭兵和佛人。
348.589	350.650	佛人是利比亞人。
350.650	357.112	他們也很可能也是埃及人的僱傭兵、傭軍、傭兵。
357.112	359.653	並拉弓的路德族都出去吧。
360.538	368.023	那日是主萬軍之耶和華報仇的日子,要向敵人報仇。
368.023	372.366	刀劍必吞吃得寶,飲血保足。
372.366	379.611	因為主萬軍之耶和華在北方幼發拉底河邊有獻祭的事。
379.611	380.852	什麼意思呢?
380.852	389.557	經文這邊說,就任憑埃及和你所有的這些傭兵的軍團, 全部都往幼發拉底河去吧。
389.557	391.598	因為你們自高自大。
391.598	394.020	認為很像尼羅河。
394.020	396.081	氾濫的時候。
396.081	397.761	發長起來。
397.761	400.223	要淹沒兩旁的土地。
400.223	405.385	你們很狂妄說你們要遮蓋淹沒遍地。
405.385	406.886	你們要取代亞素。
407.892	410.773	然後成為這個世界的新的霸主。
410.773	413.594	你們認為你們可以打敗巴比倫。
413.594	423.276	二十六王朝他因為亞述入侵這個埃及,使得二十五王朝就是古時王朝撤兵。
423.276	427.858	所以埃及人他們自己重新奪回政權,建立第二十六王朝。
427.858	430.858	後來亞述很快又沒落了。
430.858	433.619	所以這個埃及人就認為,哇!
433.619	435.260	我們的時代來臨了。
435.260	436.040	所以不可一世。
436.920	442.563	他跟巴比倫之間的纏鬥,纏鬥了非常長的時間。
442.563	470.232	從這個尼哥二世在祖前609年打敗約西亞王,然後北上要去跟巴比倫對抗, 一直到後來祖前568年,也就是經過了40年之後,仍然才真正的分出一個高下。
470.232	478.175	所以埃及一直認為自己很強大,可是他每一次在關鍵時刻都被巴比倫打敗。
478.175	488.611	因此十一節,埃及的民可以上積烈去取乳香, 你雖多服良藥﹐總是突然不得治好。
489.531	498.980	列國聽見你的羞辱,遍地滿了你的哀聲,勇士與勇士彼此相碰,一起跌倒。
498.980	515.676	這也是一個諷刺,埃及這些受傷的軍隊可以到激烈去取乳香,乳香它在古時候被當作止痛藥來用,但是你雖然多服良藥,你的病還是不會治好,你的損傷不會好,你們的軍隊都會失敗跌倒。
516.510	517.051	13節。
517.051	525.448	耶和華對先知葉利敏所說的話﹐論到巴比隆王尼布賈尼撒﹐要來攻擊埃及地。
525.448	526.570	這是另外一段神諭。
528.302	546.065	你們要傳揚在埃及,宣告在密多,報告在挪佛,打比膩說,要站起出隊,自作準備,因為刀劍在你四圍,施行吞滅的事,你的壯士為何被沖去呢?
546.766	561.510	他們站立不住﹐因為耶和華驅逐他們﹐使多人半諜﹐他們也彼此撞倒﹐說﹐起來吧﹐我們再往本地本民去﹐好躲避欺壓的刀劍。
561.510	578.796	這邊講到十四節講到三個地點密駝、挪佛、達比尼我們在之前的幾章已經知道那是屬於埃及北部尼羅河三角洲三個重要的城市而大量的 猶大難民也都躲在那個地方。
578.796	586.701	在這邊呢,葉利敏宣告,這個巴比倫王尼布賈尼薩會擊敗埃及。
586.701	598.349	因為之前呢,其實在這個耶路撒冷滅亡之前,巴比倫的軍隊其實都還沒有正式的攻入埃及的本土。
598.349	600.891	只是一直在中東地區把埃及打敗而已。
601.852	604.813	那甚至在這個祖前601年。
604.813	612.475	尼布賈尼薩還在埃及的邊境曾經被法老打敗過。
612.475	620.737	所以呢這個他們從來沒有想過埃及本地竟然也會遭到巴比倫的入侵。
620.737	623.358	但是葉利敏現在就是要發出這個預言。
623.358	627.359	他說你叫尼羅河三角洲那幾個城市預備。
627.359	629.800	因為巴比倫大軍會攻進來。
630.606	633.789	然後呢你們都會失敗。
633.789	636.471	這邊講到說他們要逃難、逃跑。
636.471	637.873	這些埃及軍隊逃跑。
637.873	642.497	我們再往本地、本民、本地去。
642.497	644.359	躲避其他的刀劍。
644.359	645.900	很可能指的是埃及的軍隊。
645.900	650.004	也可能是指的埃及長期所依賴的雇傭兵。
