start	end	text
4.377	30.719	弟兄姊妹平安，我們一起來思想耶利米書第十一章在這邊上帝希望透過耶利米向百姓傳講一個聖約的概念讓他們重新與神立約因為在耶利米蒙昭做先知的時候那時候的國王叫約西亞約西亞在重新整理聖殿的時候他們發現了律法書 代表約西亞王以前沒有讀過聖經。
30.719	35.622	那他們在讀了律法書之後呢,約西亞王就帶領百姓悔改。
35.622	42.426	因為他們知道國家會弄到今天這個地步,就是因為他們沒有遵行跟神以前所立定的約。
42.426	52.211	因此呢,跟神立約的這一種神學氛圍,也是耶利米時代應該有的一個神學氛圍。
52.211	54.632	可是百姓呢,都不把它當一回事。
54.632	55.873	我們就來看第十一章。
56.630	70.799	耶和華的話臨到約利米說,當聽這約的話,告訴猶大人和伊路撒冷的居民,對他們說,耶和華以色列的神如此說,不聽從這約之話的人必受咒詛。
70.799	87.979	這約,是我將你們列祖從埃及地領出來,脫離鐵盧的那日所吩咐他們的,說,你們要聽從我的話, 照我一切所吩咐的去行,這樣,你們就做我的子民,我也做你們的神。
87.979	95.267	我好堅定向你們列祖所起的誓,給他們牛奶與蜜之地,正如今日一樣。
96.084	105.813	我們如果在研讀耶利米書﹐看一些解經書的時候﹐會看到﹐他們都會談到﹐耶利米書有一種生命際神學的色彩。
105.813	116.063	生命際神學其實指的就是﹐在摩西五經裡面﹐也就是約西亞王在整理聖殿的時候﹐他重新發現的這個律法書。
116.063	158.657	摩西五經裡面﹐他所強調的一個點就是﹐ 百姓跟上帝在出埃及的时候在旷野的西乃山有彼此立约因此呢,他们是一个立约的关系在立约的时候,神说你们若遵守在立约里面我吩咐你们的话你们就可以做我的百姓我就要做你们的上帝而且呢,我要让你们得着应许给你们祖先亚伯拉罕的流奶与蜜之地 那因此呢,他的一個精神就是你只要遵守我吩咐給我的仆人摩西的律法,遵守律法的就得祝福,不遵守律法的就被咒詛。
158.657	162.939	這就是所謂的一個西乃山之約的精神。
162.939	165.641	那為什麼會被學者們稱為生命計神學呢?
166.101	192.854	因為摩西五經裡面的生命記是摩西要死之前生命記的意思就是再講一次因此摩西在要死之前他就再講一次把整個重要的事情再講一次其中最重要的就是西乃山之約再講一次 那因此呢,這個摩西五行裡面關於西乃山之約的這種的精神,特別被稱為生命計神學。
192.854	198.698	但是生命計神學,不是只講生命計喔,它也包含出埃及計、立位計。
198.698	206.683	例如剛剛第四節我們所說的,你們如果聽我的話,那我就願意做你們的神,你們就可以做我的百姓。
207.585	240.221	這句話呢就不是生命記說的這句話是出埃及記19章5節跟立位記第26章12節那因此呢神希望透過耶利米來提醒以色列人回到西乃山立約的精神吧我就繼續把牛奶與蜜之地賞賜給你們不然就要把你們趕走你們必受咒詛在這邊講到第4節當初他們離開埃及的時候 耶和華說那邊是鐵爐的日子。
240.221	243.002	那鐵爐就是指煉鐵的。
243.002	245.124	把鐵融化的鐵爐。
245.124	247.285	那我們之前在第六章也曾經提過。
247.285	249.186	耶和華要熬煉以色列人。
249.186	250.387	如同熬煉一個礦石。
251.442	254.565	要煉出看看裡面有沒有銀子的成分。
254.565	260.970	結果後來證實他們都是,沒有價值的銀渣,就被神拋棄。
260.970	266.935	就神怎麼熬煉他們、管教他們,都扶不起的阿斗,不願意悔改。
266.935	267.635	那你知道嗎?
267.635	272.919	其實煉銅,它的沸點,八百度。
272.919	275.942	煉銀子的時候,需要煉那個鉛。
275.942	280.746	煉鉛的那個沸點,是這個一千度。
280.746	283.228	煉鐵呢, 要一千五百多度。
283.228	292.531	也就是說,煉鐵,這個鐵爐,就是當時候人的概念裡面,最熱、最煎熬的一個水深火熱的一個地方。
292.531	300.226	神把他們從最水深火熱的鐵爐帶出來,而與他們立約, 要把流奶與命之地的祝福給他們。
300.226	303.810	就看他們要不要遵守﹐跟神所立的約。
303.810	305.371	遵行神的話。
305.371	351.103	那我們看一下﹐耶利米聽到耶和華這樣說的時候﹐耶利米回答他說﹐我就回答說﹐耶和華阿們﹐ 這讓我們回想起聖明記第27章15到26節那時候耶和華告訴摩西說你告訴百姓以後你們進了應許之地之後要在兩個山要來宣告我的律法一個是以巴路山一個是基利辛山要在以巴路山宣告不遵守我律法的就會被咒詛在基利辛山宣告遵守我律法的就必蒙福 因此在生命記27章的時候,他們就講說,到以巴路山,要怎麼樣來宣告不遵守律法,要被咒詛。
351.103	353.866	就連續講了12條不可以做的事情。
353.866	356.528	每講一條,百姓就回答阿們。
356.528	357.889	因此這邊怎麼樣?
357.889	364.715	當這個耶和華跟耶利米說,去對百姓再講一次,立約的精神。
364.715	367.077	這個耶利米一聽的反應就是阿們。
367.637	418.355	就讓我們回想到生命記27章那邊的阿們那既然是阿們那第六節以後耶和華就要講更重的話耶和華對我說你要在猶大誠意中和耶路撒冷皆是上宣告這一切的話猶大誠意跟耶路撒冷的大結小巷耶利米不知道已經宣告出多少話了但耶和華叫他繼續宣告這個西乃之約的精神 你们当听从遵行这约的话,因为我将你们列祖从埃及地领出来的那日,直到今日,就是从早起来,切切的告诫他们说,你们当听从我的话,他们却不听从,不彻耳而听,竟随从自己顽耿的恶心去行。
418.355	423.337	所以我使这约中一切咒诅的话,临到他们身上。
423.337	426.459	这约是我吩咐他们行的,他们却不去行。
427.227	460.775	剛剛這個耶利米祂的阿們很可能是針對順服就祝福的這個阿們但是耶和華在這個地方卻要祂去宣告不順服就咒主的阿們 第九節,耶華對我說,在猶大人和耶路撒冷居民中,有同謀背叛的事,百姓一同背叛上帝,他們轉去效法他們的先祖,不肯聽我的話,犯罪作孽,又隨從別神侍奉他。
