start	end	text
11.459	15.743	大家好,我是康義牧師,臺灣青年生命團的傳教士。
15.743	20.187	今天很開心跟這三位討論一個很重要的東西。
20.187	24.431	因為每一個人都希望我們可以有一個快樂的婚姻。
24.431	27.473	但是這個快樂婚姻的秘訣是什麼?
27.473	32.918	所以今天是請我漂亮的太太來跟我們分享,還有這對夫妻。
32.918	34.600	所以你們先介紹一下。
34.940	38.125	通常都是自我介紹,但我想要介紹我的先生。
38.125	43.072	他叫黃志強,他是臺灣青年使命團的牧師。
43.072	47.999	他是一個喜歡唱歌,很熱愛聖經,而且愛人的人。
49.104	52.047	我也要介紹我的師母,她叫Brenda。
52.047	56.211	她是客家人,客家人能夠信主不容易。
56.211	64.300	因為我看到她的生命是一個非常愛主堅定跟隨主的一個很好的榜樣。
64.300	68.064	很高興可以來到康利牧師的節目,謝謝你的邀請。
68.064	69.805	謝謝你們來。
70.486	71.669	師母呢?
71.669	73.032	要不要自我介紹一下?
73.032	75.217	我應該學他們的榜樣。
75.217	78.686	我要介紹我的很帥的老公,就是康利穆斯。
80.452	85.533	我是他的太太,我們已經結婚快22年了。
85.533	89.155	我們有四個孩子,已經在臺灣17年了。
89.155	91.535	所以今天是我們的榮幸,跟你們在一起。
91.535	93.596	對,真的是。
93.596	101.298	所以我們每一個人都有準備一個,我們會覺得如果要一個快樂婚姻的這個,就是每個人會準備一個秘訣。
101.298	104.779	所以不知道可不可以找到從你先開始的吧?
104.779	107.880	就是你覺得快樂婚姻的秘訣,第一個是什麼?
108.080	114.883	如果是講到秘訣的話,第一個秘訣會想到的是勞碌。
114.883	123.846	因為其實在婚姻裡面,難免會有爭吵,難免有意見不合的時候,可能在原因上會傷害彼此。
124.462	130.607	最重要的是,如果你要讓婚姻走得更長遠,可以繼續往前走。
130.607	134.030	我覺得饒恕是非常重要的。
134.030	135.331	其實我也是想到這個。
135.331	141.637	我記得我們結婚的時候,在我們的婚禮,牧師講到的時候,他分享三點。
141.637	142.738	兩個我忘記了。
142.738	146.100	但是一個我記得,他說其實你要成為一個好的饒恕者。
146.100	148.082	所以其實這個真的很重要。
148.082	155.111	22年來,我太太, 感謝神,祂是一個好好的饒恕者,所以祂可以跟我一起。
155.111	158.477	我覺得真的很棒,所以饒恕這個是一個。
158.477	159.578	然後Brendan呢?
159.578	161.702	我想要分享另外一個,就是蓮頭。
162.637	167.079	因為神說兩個人合而為一體。
167.079	174.663	但我們發現很多夫妻有的時候在我們智力的成長方面不一定真的聯合。
174.663	178.725	也就是可能最近找到他在學習一個電腦的軟體。
178.725	181.007	然後我可能在學習做一道菜。
181.647	185.968	但是這些部分,我們不一定兩個人有關聯性。
185.968	189.449	就好像他做我的,我就我的。
189.449	195.891	有的時候我們甚至會聽到有一些太太說,我老公他是做什麼的,我也搞不清楚。
195.891	200.553	或是太太說,我對他的那一方面就不是我的長項。
201.493	224.378	我絕對不是說我們要彼此成為對方的那個專業者,可是如果我們可以參與在其中,可以參與在其中,他在智力方面或是在哪一些領域方面有所成長的,然後我也去認知一下,甚至可能我不一定懂,但是我可以問一問以後,我可以為你禱告啊,或是我也可以買一些相關的東西送給他嘛。
225.418	239.391	還有在我們的工作上也是,對於我覺得在聯合上,智力上,工作上,都會彼此有更多的參與,這也會是讓婚姻更美滿的一種秘訣治癒。
239.391	249.267	我今天就是要分享寶告,因為, 當然,一定會碰到衝突在婚禮裡面。
249.267	249.547	會嗎?
249.547	252.669	你們都不會,對不對?
252.669	256.031	我知道別人他們會了。
256.031	258.392	還有另外一個是期待。
258.392	260.873	我把我的期待放在誰的身上?
260.873	270.330	因為我發現如果我把我的期待放在神的身上,我很容易會 就像...失望。
270.330	273.972	因為這個是上帝的位子。
273.972	278.215	所以我要把我的期待放在上帝的身上,只有祂可以滿足我。
278.215	291.985	所以透過禱告,我們一起禱告,如果我們不知道怎麼做,或是如果我們有衝突,或是如果是好的季節,我們一起禱告的時候,是把我們兩個的心就是在一起。
291.985	296.109	還有另外一個是禱告,有點像那個剛剛Brenda講的,就是連結。
296.749	299.130	還有就是我為你禱告。
299.130	301.892	就是為你對方的禱告也很重要。
301.892	306.995	因為平常當然我可以就是想到你或者你今天做什麼。
306.995	313.659	我為你禱告是我的心會當然就是看上的也是比較靠近靠近我對方。
313.659	315.200	所以我覺得是禱告很重要。
316.015	324.043	我覺得婚姻的目的當然可能就是兩個人可以在一起,可能他們會有小孩子,其實我們都會想到這些。
324.043	333.813	但是另外一個是在聖經裡面,保羅他告訴我們說,婚姻的目的也是讓人看到神,祂是什麼樣的神。
