start	end	text
2.210	4.552	弟兄姊妹平安，讓我們一起用聖經來建立教會。
4.552	7.755	我們一起進到以弗所書第五章的下半段。
7.755	12.038	以弗所書第一二三章講的是真理的部分。
12.038	17.923	就是保羅告訴我們有關於基督的奧秘、福音的奧秘、教會的奧秘、國度的奧秘。
17.923	22.828	那這需要聖靈繼續幫助我們,能夠讓這些真理可以在我們生命當中來建造起來。
23.268	47.942	那後半段的四五六章就講說那這一些真理如何實踐在我們的教會建造如何實現在我們跟外邦人行為上的區別如何實踐在我們自己過去的行為跟現在的行為有改變的區別又如何實踐在我們基督徒內部我們各種人際關系的一個 活出這個真理。
47.942	51.326	所以保羅書信裡面,常常前面都是先講理論,後面講實踐。
51.326	54.470	那我們現在來到第五章下半段。
54.470	59.957	第五章下半段開始,到第六章的上半段,列舉了保羅時代三大人際關系。
59.957	65.223	如何在這三大人際關系裡面,不要忘記,教會不是建築物,教會就是神的兒子們組成的群體。
66.084	68.825	那這個組成的群體裡面有幾個重要的關係。
68.825	72.346	保羅認為在裡面要學習彼此順服。
72.346	75.827	就是說彼此用愛心說真理。
75.827	80.089	然後彼此要棄絕謊言,就是非真理。
80.089	84.550	向林瑟說實話,就是向林瑟說真理。
84.550	85.871	然後彼此造就。
85.871	88.451	棄絕吟詞妄語、細笑的話。
88.451	92.573	還有那些不被那些虛浮的話來欺哄。
93.353	96.514	也是讓你又回到過去的形式為人。
96.514	104.838	我覺得這一句最後一句很重要,我們教會裡面的弟兄姊妹,最容易被什麼樣的東西,帶回到過去的世俗價值觀。
104.838	111.721	我覺得真的就是第五章這邊講的,不要被這個虛浮的話,來這個欺哄了。
111.721	117.344	在這個第六節的地方,人家稱呼你一聲,哎呀,什麼傳道啊?
117.344	119.445	哎呀,什麼教授啊?
120.145	122.348	哎呀,什麼董事長啊。
122.348	124.290	哎呀,什麼組長啊。
124.290	126.052	哎呀,什麼好厲害的教會啊。
126.052	127.274	哎呀,你就飄飄然了。
127.274	129.477	就被這個虛浮的話欺哄了。
129.477	133.262	你的價值觀你可以回到過去還沒有信主的世俗價值觀。
133.262	134.703	那這個就是怎麼樣?
134.703	136.085	說非真理。
136.085	138.467	你就是 這個被謊言所充滿。
138.467	144.491	要被聖靈充滿,被聖靈光照,彼此對說造就的話,做造就對方的事。
144.491	147.033	好,我們來看第一組關係是什麼?
147.033	148.534	是妻子跟丈夫的關係。
148.534	152.316	那我們來看第5章的22節,到33節的關鍵字的串聯。
152.316	189.084	我們再講一次, 我們每一節的內容我們不進去喔你如果想要去了解每一節的內容這些肉的部分我們是講骨幹不講肉你想了解每一節的內容英文在講什麼就進去我們淡江教會國度影音的YouTube頻道裡面的這一個每日言經事義我們已經用了五年時間錄製完的66卷的主卷主章主節的每一節的解釋你可以自己進去查閱我們這邊不處理那個部分我們只處理 他的關鍵字的串聯以及他如何浮現出神學主題以及神學主題如何來建立我們個人的生命以及建立我們的教會。
189.084	207.818	好,22節的關鍵字就是告訴我們第一組重要關係就是妻子跟丈夫所以要順服丈夫然後23節的關鍵字他告訴你因為這一個丈夫是妻子的頭所以要來順服丈夫而且是要凡事順服 但注意,這個指的是什麼?
207.818	213.042	這個指的是認識主的家庭,順服主的家庭。
213.042	216.945	你不順服主的家庭,你講的就是非真理,就是謊言。
216.945	220.448	當然就不需要考慮什麼都要凡事順服。
220.998	223.899	今天教會有點矯枉過正。
223.899	228.841	就是說,不管你丈夫有沒有信主,他講什麼也凡事順服。
228.841	232.303	對不起,這是愚民政策,這不是聖經的講法。
232.303	237.185	這個當然會讓一些還沒有信主的丈夫,一開始聽了很高興,然後對教會大有好感。
237.185	241.067	這個長期以來,拯救不了人的,所以不要用這種方式處理。
241.527	306.582	所以呢第一個就是要順服丈夫二十三節因為丈夫是妻子的頭因為在當時候受教育的基本上都是男人了所以能夠先有機會來認識真理而且在真理上能夠比較更深的認識真理被造就的通常都是這個家的丈夫所以才說你要去順服比較知道真理的丈夫然後保羅進一步來從基督跟教會的比喻基督是頭教會是身體頭祂知道一切的真理 祂要將這一切的真理﹐來告訴身體﹐使身體也被這個真理充滿﹐以至於頭跟身體﹐就可以合一的在一起﹐讓頭的旨意﹐都可以透過身體來實踐出來﹐將國度建立在地上﹐將父的旨意貫徹﹐才會有這種﹐丈夫是妻子的頭﹐丈夫在那個時代﹐比較有機會﹐優先知道這些基督的真理﹐所以他就可以教導自己的妻子﹐ 教導的時候,即便妻子對真理還一知半解,但是就是先來順服,凡事順服。
306.582	309.583	那25節就講到說,那丈夫的部分要負什麼責任?
309.583	314.404	丈夫愛妻子,而且愛妻子要用捨己的方式愛妻子。
