start	end	text
2.381	5.364	弟兄姊妹平安，讓我們一起用聖經來建立教會。
5.364	8.747	我們要繼續來讀以弗所書第三章。
8.747	13.371	第三章我們在讀的時候相對會比讀第一章第二章來得輕鬆很多。
13.371	19.156	因為保羅在前面的兩章已經把許多重要的觀念跟我們說得非常清楚了。
19.156	22.820	所以我們今天要繼續來練習第三章的一到十三節。
22.820	26.023	透過關鍵字的串聯,凸顯出神學主題。
26.323	34.821	然後進一步來看這個神學主題﹐對於我們個人生命的形塑﹐以及對於建立教會﹐有沒有什麼﹐可以引導和讓我們實踐的地方。
35.401	75.772	第三章第一節首先保羅說他是被求的所以關鍵字是被求的他是為了外邦人被求的然後第二節這個神賜給他一個職份這個職份就是關乎到外邦人的聽到福音的這個管道的一個職份第三節這個職份就是我們剛剛所說的要把這個福音的奧秘把它說清楚講明白 藉由聖靈在說的跟聽的人當中運行,使聽的人願意聽,能相信,感性靠近去,然後也成為神的兒子。
75.772	78.913	所以第三節的關鍵字是福音的奧秘。
78.913	94.566	那關於福音的奧秘在第一章第二章都有說明,包含說得著兒子的名分, 也包含說,怎麼樣在十字架上廢掉律法的控告,然後使人跟人之間可以和好,使人跟神之間也可以和好。
94.566	98.671	這個福音的奧秘,一、二章都有說明。
98.671	105.298	但是保羅他要再進一步提醒我們,這個不僅是福音的奧秘,第四節,它更是基督的奧秘。
106.374	112.502	我們以前其實比較容易去思想的就是這個福音的奧秘這個角度。
112.502	115.545	比較少會去思想基督的奧秘這個角度。
115.545	117.988	但其實兩個要談的東西是一樣的。
117.988	119.871	這是我們以前比較以偏概全。
120.538	124.722	你如果在問保羅啊,基督是什麼意思?
124.722	127.304	或是問那個耶穌時代的人,他們講基督。
127.304	132.049	當然基督是希臘文,他的希伯來文就是彌賽亞。
132.049	136.033	那不論是彌賽亞還是基督,他的意思就是受高者。
136.033	143.480	受高者的意思就是神在地上所設立的一個代表人,要代表神來完成神給他的一個重要的工作。
144.087	175.388	那在這個耶穌時代或保羅時代只要講到基督這一個受膏者一定指的就是那要來到地上建立神的國度的那一位要來做王的受膏者所以在福音書裡面只要講到基督的奧秘你第一個反應就是基督指的就是來做王的那一位所以是關乎到來做王來建立神的國度來在地上實行統治然後呢擊敗魔鬼的國度 的那位君王的奧秘。
175.388	180.310	我們以前對於福音的奧秘,想得比較狹窄,都是我個人跟神的部分。
180.310	186.052	神愛我啊,然後神赦免我的罪啊,神保護我啊,那只是福音的一部分而已。
