start	end	text
18.746	24.448	弟兄姊妹平安，我們照《美人經》事業進度起來思想,菲利比書第四章一到九節。
24.448	31.411	我們這是最後第二集了,我們就把菲利比書讀完了,也要完成2021年的整個讀經的進度。
31.411	35.473	所以我們不要放棄,要忘記背後,努力面前,向著標竿直跑。
35.473	38.594	首先我們一起來讀第一節到第三節。
38.594	53.175	菲利比書第四章 我所親愛所想念的弟兄們,你們就是我的喜樂,我的冠冕。
53.175	61.698	我親愛的弟兄,你們應當靠主站立得穩。
61.698	66.960	我勸有阿爹和尋都基要在主裡同心。
66.960	81.962	我也求你這真實同父一惡地幫助這兩個女人,因為她們在福音上曾與我一同勞苦, 還有格力米，並其餘和我一同做工的。
81.962	86.285	他們的名字都在生命冊上。
86.285	91.309	第一節我所親愛所想念的弟兄們你們就是我的喜樂。
91.309	111.381	保羅再次說喜樂喜樂特別想到你們我就很喜樂很難去想像這是一個在觀看監獄裡面的人寫的監獄書信整個菲律比書短短只有四章但出現了16次的喜樂 我的冠冕,不僅是我的喜樂,也是我的冠冕。
111.381	137.065	這個冠冕,在新約裡面有兩種,一種是運動員比賽獲勝所得的那種花冠,第二種是君王所帶的那種王冠,這邊講的是花冠,因為保羅在第三章的時候,用那個賽跑, 向著標竿直跑,要得神在基督耶穌裡所要呼召我們,要來得了獎賞的這種賽跑的觀念。
137.654	170.937	來講這個得勝者最後會戴上這個花冠所以呢你們就是我的冠冕什麼意思呢就是服侍你們為你們的這個信心和生命來建造這就是我的天路歷程這就是我的跑道所以盡心盡力服侍你們道見主面你們就是我的冠冕我親愛的弟兄你們應當靠主站立得穩 所以不要軟弱跌倒,靠主剛強。
170.937	174.881	第二節我勸尤阿蝶和尋都基這兩位姊妹要在主裡同心。
174.881	178.343	原文是同樣的思想。
178.343	184.108	這個思想這個字,這個叫phronēo這個字,在菲律賓書裡面很常出現。
184.108	188.912	就第二章五節說,我們要以基督耶穌的心為心。
188.912	194.116	就是我們要不斷去思想,耶穌基督祂裡面到底在思想什麼。
194.616	198.019	我們就有一樣的心思意念,一樣的專注。
198.019	210.050	所以祂勸這兩位做領袖的姊妹,在主裡面要有同樣的心思意念,要有同樣的思想,就是一起來效法基督,捨己,以基督的心為心。
210.050	230.460	第三節,我也求你這真實同父以惡的人,就是指這些菲律賓教會的弟兄姊妹,同父以惡,代表他們是同工一起勞苦, 同父一二是一個很生動的畫面,好像兩隻牛一同拉車,在這個景象上,為這個父二。
230.460	243.132	那有一隻牛可能力氣比較大,一隻力氣比較小,那大的就要多擔待一點,也要來扶持那個力氣比較小的,所以有這種扶持的意思,有這種鼓勵的意思。
243.592	266.241	所以他就希望說同婦一二的這些夥伴們你們要來幫助這兩位女性的領袖因為他們在福音上曾與我保羅一同勞苦甚至我們還曾經一起與格力綿還有其餘的人我們都是一同做工的 一同作弓,這邊原文是一同競賽。
266.241	271.144	好像他們是一個大隊接力,跑步比賽。
271.144	273.986	他們是同一隊的,他們是一同競賽的。
273.986	280.210	他們一棒接一棒,要一起向著標竿直跑,要得上帝給他們的獎賞。
280.210	289.097	那他們的名字都在生命冊上,就是神對於他們的付出、忠心和勞苦,神都把他紀念在生命冊上。
289.097	297.501	代表說,神真的是看重他們的服事, 好,我們繼續讀第四節到第七節。
297.501	301.462	你們要靠主常常喜樂。
301.462	305.183	我再說,你們要喜樂。
305.183	311.804	當叫眾人知道你們謙讓的心,主已經盡了。
311.804	321.426	應當一無掛慮,只要凡事藉著禱告、祈求和感謝,將你們所要的告訴神。
323.097	329.689	神所賜出人意外的平安,必在基督耶穌裡保守你們的心懷意念。
331.766	334.668	第四節,你們要靠主常常喜樂。
334.668	336.730	保羅再次吩咐你們要喜樂。
336.730	338.551	我再說,他覺得不夠。
338.551	340.553	再提醒一次,你們要喜樂。
340.553	344.275	特別不要因為我現在被關了,你們就不喜樂。
344.275	353.102	當叫眾人知道你們謙讓的心,讓別人知道你們是溫柔謙讓,你們是不增進的。
353.102	359.247	不像那些因為我保羅被關了,他們就落井下石的那些其他的人。
359.667	363.968	他們是增進結黨的心,你們不要效法他們。
363.968	369.209	主已經進了,因為主已經進了,我們要向主交賬,所以要站立得住。
369.209	384.113	應當一無掛慮,只要凡事藉著禱告祈求和感謝,將你們所要的告訴神,神所賜出人意外的平安,必在基督耶穌裡保守你們的心懷意念。
384.753	422.704	這一句話很寶貴很多人在背經的時候都會把這一段背起來 我們來解釋一下應當一無掛慮但是生活中一定有一些衝擊跟難處那你不要掛慮要怎麼辦你不要掛慮就把它掛在耶穌基督的十字架上所以呢要凡事遇到什麼事就是禱告就是祈求就是感謝將你們所要的通通帶到神的面前告訴祂那上帝的回應是什麼呢第七節神所賜出人意外的平安 出人意外,這四個字我解釋一下。
422.704	428.787	出人的意思是,高於,超過於,強於。
428.787	433.229	你們要看別人怎麼樣,比自己怎麼樣強。
433.229	437.551	我以認識耶穌基督為至寶。
437.551	442.793	至寶啦,看別人比自己強,這個字都是出於這個字。
442.793	449.446	也就是說,上帝所賜給我們那個平安是一個, 高過於、超出。
449.446	451.767	超出什麼?
451.767	456.688	意外這個字是心智,就是我們的思想意念。
456.688	468.192	上帝所要賜給我們的平安,是一個遠遠高過於、超出於我們的心智所能夠想像到的境界以上的那一種平安。
468.951	494.976	也就是說我再怎麼樣去想我都想像不到神會給我一個超出我想像的平安賞賜給我即便環境這麼困難這句話是不是很棒就是你上帝所給你的平安是遠遠超出你能想像的 你的經驗、你的心思、意念,能夠想像以上的那種平安。
494.976	496.257	那就是真平安了。
496.257	497.579	感謝主。
497.579	502.945	好,那必在基督耶穌裡,保守你們的心懷意念。
502.945	505.769	要來保護、護衛你們的心懷意念。
506.169	526.559	所以你們的心懷意念不要擔憂因為你只要把你的困難缺乏跟需要告訴神那神就要賞賜給你一個超出你能想像的你能去評估過的 平安,超出你的想像,賞賜給你。
526.559	528.159	所以你有什麼好擔心呢?
528.159	532.360	所以這樣的一種觀念,就能夠護衛你的心思意念。
532.360	538.741	即便困難沒有解決,即便難處還沒有超越,但是你相信,我已經告訴神了。
538.741	548.322	所以神會把一個出人意外的平安,超出我的心智、能力所能設想得到的平安,神已經要賜給我了。
548.322	550.663	所以我可以一無掛綠。
550.663	552.183	好,我們繼續讀第八節到第九節。
554.394	559.196	弟兄們,我還有未盡的話。
559.196	576.142	凡是真實的,可敬的,工藝的,清潔的,可愛的,有美名的,若有什麼德性,若有什麼稱讚,這些事你們都要思念。
576.142	586.760	你們在我身上所學習的,所領受的,所聽見的,所看見的, 這些事你們都要去行。
586.760	591.386	賜平安的神，就必與你們同在。
591.386	623.751	第八節弟兄們我還有未盡的話就是我還有些話要說凡是那些真實的、可敬的、公義的、清潔的、可愛的、有美名的 可愛的是讓人家很羨慕的很愛慕的那些好的上帝給我們的事情有美名的就是使我們可以有好的名聲來榮耀神的若有什麼德行就是一些好的品性的事情若有什麼值得被稱讚的然後讓人可以把榮耀歸給神的 這些種種這些事情,你們都要怎麼樣?
623.751	624.832	思念。
624.832	628.375	你們都要去數算,原本是數算,去考量。
628.375	632.079	也就是說你們要去考慮很多事情,數算很多事情。
632.079	634.601	有哪一些事情是可以容神益人的?
634.601	639.887	那這些都是你們要去數算的,要認真去對待的。
