start	end	text
18.746	39.020	弟兄姊妹平安，我們繼續按照每日言經事宜的進度一起來思想小先知書西方亞書的第一章西方亞書的作者西方亞他的名字的意思是耶和華隱藏或是耶和華保護為什麼需要耶和華的隱藏或保護呢?
39.020	60.837	因為西方亞書在講到耶和華的日子來臨的時候是審判的日子 而在那個時候一人能夠得著耶和華的隱藏跟耶和華的保護以至於不被耶和華憤怒的審判所殺害 所管教和懲罰。
60.837	63.858	我們就來看他的第一章第一節。
63.858	75.860	當猶大王亞門的兒子約西亞在位的時候,約西亞王是南國20個王裡面的第16個國王。
75.860	83.022	他過世之後,大概不到20年左右,這個南國就滅亡了。
83.916	120.249	那這個耶和華的話就連到西西迦的玄孫就代表說西班牙先知他其實是王室的成員他是西西迦的玄孫亞瑪利亞的曾孫基大利的孫子古市的兒子西班牙看起來他的輩分比約西亞王再小一倍我們來看上帝給西班牙的啟示的信息 第二節,耶和華說,我必從地上除滅萬類。
120.249	123.311	哇,好可怕的信息。
123.311	126.915	上帝公義的審判有一天一定會來到。
126.915	132.640	上帝那天要從地上除滅萬類,除滅一切。
134.070	144.541	我必除滅人和牲畜與空中的鳥、海裡的魚,以及絆腳石和惡人。
144.541	148.225	我必將人從地上剪除。
148.225	150.808	這是耶和華說的。
150.808	156.413	西班牙書一開始就說出上帝非常可怕的末日的審判。
157.312	168.945	而在那時候上帝要掃除一切的罪惡,包含一切的惡人,一切的絆腳石都要被神毀滅。
168.945	174.712	而這樣的一個審判訊息首先是針對南國猶大來講的。
175.435	195.122	但我們不要忘記這個時候是約西亞王當政的時候約西亞王是南國猶大最後一個好王而好王他進行這些信仰跟宗教的改革的時候怎麼會 上帝還會透過西方亞來講這麼可怕的信息呢?
195.122	199.549	就讓我們看見上有政策,下有對策。
199.549	205.417	於是亞盡心盡力的想要進行信仰的革新,帶領百姓專心來服侍神。
206.118	236.016	可是百姓陽奉陰違既敬拜耶和華心中又更敬拜更多更多的偶像這也是常常教會的光景弟兄姊妹今天的信息我們要特別留意第四節所以審判從猶大開始 我必伸手攻擊猶大和耶路撒冷的一切居民也必從這個地方減除所剩下的巴力。
236.016	263.895	代表耶路撒冷這個地方他們不單只是敬拜耶和華 他們還敬拜巴力,並且基瑪林的名,基瑪林是指外邦偶像的祭司,也要見出猶大人的祭司,就是這些名義上是敬拜神的祭司,但是心裡面卻是作惡遠離神的祭司。
264.275	271.223	所以不論是外邦的祭司還有所謂的耶和華聖殿的祭司都會被剪除。
271.223	287.701	第五節以及與那些在房頂上敬拜天上萬象的就是拜那些日月星辰的 以及那些敬拜耶和華指著祂起誓又指著馬勒堪起誓的。
287.701	290.524	就是說還有另外一種人也會被除滅。
290.524	307.231	就是既指著耶和華起誓敬拜神同時又指著偶像馬勒堪起誓的這種混合宗教混合信仰 到耶和華末日審判的時候,都會被顯露這一切,然後都會被毀滅。
307.231	309.812	第六節還有哪些人會被除滅呢?
309.812	318.396	以及與那些轉去不跟從耶和華的,和不尋求耶和華的,也不訪問耶和華的。
318.396	326.160	第六節就是那種根本不理神的人,已經完全背叛神的人,這也是神要除滅的對象。
327.534	359.722	第七節你要在主耶和華面前靜默無聲因為耶和華的日子快到西班牙要以色列的百姓靜默無聲靜下來等候神末日的審判這是給他們一個很大提醒其實靜默無聲不僅代表他們要回到他們生命真實的情況更代表他們在裡面要悔改歸向神因為審判的日子 很快就要臨到了。
359.722	365.386	耶和華已經預備祭物,將他的客分別為聖。
365.386	373.870	耶和華已經預備了祭物,而這個祭物,這個要被宰殺的動物,就是猶大。
373.870	384.028	而將他的客分別為聖,就是被他呼召而來的人, 乃是出於神叫他來的。
384.028	386.089	所以叫做分別為聖。
386.089	388.390	因為他是神叫他們來。
388.390	389.710	這其實是什麼人?
389.710	391.091	巴比倫人。
391.091	396.773	神呼召巴比倫人來,宰殺猶大,彷彿他們是祭物一樣。
397.193	401.697	代表誰要透過巴比倫,審判南國猶大。
401.697	405.220	第八節,到了我耶和華獻祭的日子。
405.220	413.368	我們剛剛講過,這祭物就是,被屠殺的猶大,必懲罰首領和王子。
413.368	421.877	首先就是以色列的領袖, 男子其咎,因為就是他們沒有做好榜樣,反而把整個百姓都帶壞了。
421.877	428.239	審判從神的家開始,審判更是從神的家的領袖開始。
428.239	438.122	因此我們這些做教會的領袖的,更應該要在主面前敬畏神,並一切穿外邦衣服的。
438.122	477.631	穿外邦衣服的可能有兩個意思, 第一個就是這些祭拜外邦偶像的人但更有可能指的是穿這些舶來品外國衣服的這些王公貴族這是神首先要審判的第九節到那日就是耶和華憤怒的日子我必懲罰一切跳過門檻 所謂的跳過門檻,就是說不敢踩在那個進耶華聖殿的這個區域範圍裡面的門檻,好像怕踩那個門檻對神不敬,所以是跨過那個門檻,不敢踩門檻。
477.631	487.533	看起來好像很敬虔,很敬畏神,不敢踩門檻,但內心呢,祂是將強暴和詭詐所奪得來的之物。
488.985	491.186	充滿主人防務的人。
