start	end	text
18.933	26.680	弟兄姊妹平安，我們按照每日言經詩意的進度,我們來思想詩篇第五十篇,詩題是亞薩的詩。
27.568	33.269	雅薩在《歷代志》上25章,讓我們知道他是師班的領袖。
33.269	38.030	之前42篇到49篇是可拉後裔的詩。
38.030	41.071	可拉的後裔他們就是師班。
41.071	44.911	那師班的領袖是誰?
44.911	46.852	就是雅薩。
46.852	53.133	他不是可拉的後裔,但是他是被國王清點為師班的領袖。
54.480	56.162	我們來看第一節。
56.162	62.568	大能者神耶和華ﷺ已經發言呼召天下。
62.568	87.923	一開始亞撒不僅是一個立位人、敬拜者,更好像有先知性的口吻,他說大能者神耶和華ﷺ已經對天下發言呼召,呼召就是叫大家過來聚集, 然後是呼召天下,所以包含從日出之地,到日落之處,全地的人都當過來。
87.923	126.700	耶和華要說話了, 第二節從全美的喜安中就是從全然美麗的喜安當中神已經發光了祂已經發出祂這個美麗的榮光然後要呼召大家前來敬畏祂聽祂說話第三節我們的神要來絕不閉口 當神要來,就是祂要說話,祂絕不閉口,所以我們要豎起耳朵來,要來聽祂說話,要敬畏祂,有烈火在祂面前吞滅,有暴風在祂四圍大大的刮起來。
126.700	147.074	這讓我想到在西乃山的時候,上帝與祂的百姓立約,那個場景就是如此的令人敬畏, 用這些烈火、暴風,使人來朝見上帝的時候,要存一個非常非常敬畏神的心,不然就會被烈火跟暴風所吞滅。
148.797	155.123	第四節祂招呼上天下地,要审判祂的名。
155.123	164.151	上帝就是好像把天地都召聚过来了,然后要来审判的对象是祂的百姓。
164.151	169.836	那为什么祂的百姓,会被上帝呼召来责备审判呢?
169.836	180.983	往下看,第五节祂就说,召聚我的圣名到我这里来, 就是那些用祭物與我立約的人。
180.983	185.605	被召聚的對象是上帝分別為聖的聖民。
185.605	196.069	那他們是遵行摩西律法,透過獻祭來保持與上帝立約的關係的聖民。
196.069	201.431	所以就是上帝呼召那些與祂立約的百姓過來,要責備他們。
201.971	229.482	很顯然很多人跟上帝立了約不守約或是說表面有守約心中早就被約遠離上帝上帝在這個烈火跟暴風當中把他們叫過來上帝要對他們說話 第六節,諸天必表明,上帝祂的公義,因為神是施行審判的。
229.482	235.484	天上地下都要彰顯出,上帝公義審判要臨到了。
235.484	239.706	所以人沒有地方可以逃避,要來面對上帝。
240.486	243.607	第七節,就是上帝講話的內容。
243.607	247.028	我的名啊,你們當聽我的話。
247.028	250.149	以色列啊,我要勸誡你。
250.149	254.230	我是神,是你的神。
254.230	260.152	所以祂對祂的百姓說話,以色列說話,祂說第一個,我是神。
260.152	263.733	我不僅是神,我還是你的神。
263.733	266.834	我是跟你在西乃山立約的神。
266.834	276.893	那時候我透過摩西對你們說, 你們如果願意來遵行我吩咐你們的話我就與你們來立約。
276.893	283.189	你們就有資格 可以做我的百姓,我就願意做你們的神。
283.189	287.152	所以這邊說我是神,而且我還是你的神。
