start	end	text
18.712	22.555	弟兄姊妹平安，我們一起來思想十篇一百四十五篇。
22.555	28.799	一百三十八篇到一百四十五篇,它的詩題都是大衛的詩。
28.799	33.562	一百四十五篇是最後一首,它是一首大衛的讚美詩。
33.562	37.464	它也是一首字母詩,或是叫做離合詩。
38.285	86.771	也就是說它每一節的第一個希伯來字的第一個字母是按照這個希伯來字母的二十二個字母排下來的就很像英文的ABCD這樣排下來的 那所以呢,照理說145篇應該要有22節但是你會發現它只有21節因此呢,在這個死海古卷或是這個希臘文譯本的74譯本裡面會在第13節後面自己再補上一節但我們中文版就沒有特別再把它列出來我們就來看這一首字母詩 第一節,我的神,我的王,我要遵從你。
86.771	95.075	大衛一開口,就說,耶和華不僅是他的神,耶和華更是大衛王的王。
95.075	106.142	也就是,大衛知道,真正在治理這個國家,保護這個國家, 建造這個國家的是耶和華上帝。
106.142	107.924	祂才是真正的王。
107.924	113.910	因此呢,大衛謙卑的跟著耶和華來學習怎麼做王。
113.910	119.255	他就說,我要尊崇祢,而且是要永永遠遠稱頌祢的名。
119.255	125.400	而且是要天天稱頌祢,要永永遠遠讚美祢的名。
125.981	136.869	大衛說,祂只要活著的一天,祂天天,祂要到永永遠遠,都要頌讚祂的神,祂的王的尊貴的美名。
136.869	144.254	第三節,耶和華本為大,該受大讚美,其大無法測度。
144.254	151.099	這代要對那代,頌讚你的作為,也要傳揚你的大能。
151.920	155.161	第三節祂說耶和華本偉大。
155.161	161.843	我們會發現在這個145篇裡面常常不斷提到上帝的大。
161.843	167.584	上帝是一位大神因此配得上祂的讚美一定是大讚美。
167.584	174.106	上帝是偉大到一個地步是人無法去衡量跟測度的。
174.106	200.347	第四節祂也說不僅是如此的偉大 因此上帝祂配得從這一代到那一代也就是世世代代都配得對祂的送戰因為上帝的作為和祂的大能配得世世代代的人類對祂的送戰 第五節我要默念。
200.347	202.309	默念的意思是默想。
202.309	207.315	你威嚴的尊榮和你奇妙的作為。
207.315	211.720	除了口裡面天天送讚神之外。
211.720	212.801	安靜下來的時候。
213.302	224.089	大衛的心裡面也在默想,數算上帝一切奇妙的作為,就更加的敬畏祂威嚴的尊榮。
224.089	231.154	第六節,人要傳說你可畏之事的能力,我也要傳揚你的大德。
231.154	233.876	大德就是你的偉大。
233.876	239.340	他們紀念你的大恩,就要傳出來,並要歌唱你的公義。
