start	end	text
18.780	54.272	弟兄姊妹平安，我們照梅仁經事宇的進度一起來思想是一篇第88篇的13節到最後首先我們透過Drama Bible一起來讀第13節到第14節耶和華我呼求你我早晨的禱告要達到你面前耶和華你為何丟棄我為何顏面不顧我 十三節,耶和華,我呼求祢,我早晨的禱告,要達到祢的面前。
54.272	65.239	在詩篇裡面,常常講這個早晨的禱告,就是指他整夜沒睡覺,從晚上一直禱告,等候神,呼求神到天亮。
65.239	76.806	所以不是說早早起來禱告的意思,雖然說耶和華,我呼求祢,而且是整夜呼求祢,祢都沒有垂聽,一直到我早晨的時候,我的禱告,要達到祢的面前。
77.978	82.520	他相信神還是會聆聽他的禱告。
82.520	85.162	14節,耶和華,你為何丟棄我?
85.162	87.663	為何顏面不顧我?
87.663	92.686	他仍然要向神呼求,甚至是據理力爭。
92.686	94.547	你怎麼可以丟棄我?
94.547	97.088	你怎麼可以顏面不顧我?
97.088	104.032	我們在88篇上半段的講解就講到,詩人他都還有力氣跟神吵架。
105.742	109.664	跟神挑戰,質疑神。
109.664	117.088	如果不是神還留我們一口生命氣息,我們哪來的這個力氣,跟神挑戰?
117.088	129.795	所以即便是我們在已經最孤單、最黑暗的光景裡面,只要我們還沒死,只要我們還沒有整個倒下去,都代表神還是把力量給我們。
129.795	133.817	那我們就需要去明白,神為什麼要讓我們經歷這一切?
134.650	136.551	神到底要我明白什麼。
136.551	138.872	神到底要我學習什麼。
138.872	141.053	神要我等候什麼。
141.053	143.615	所以讓我繼續有信心。
143.615	144.735	不放棄的。
144.735	146.296	即便是很絕望。
146.296	149.458	仍然向神禱告。
149.458	152.499	我自幼受苦幾乎死亡。
152.499	157.702	我受你的驚恐甚至慌張。
157.702	160.483	你的烈怒漫過我身。
160.483	161.944	你的驚嚇把我剪除。
163.592	171.275	這些中日如水環繞我,一起都來圍困我。
171.275	183.920	你把我的涼棚密友隔在遠處,使我所認識的人進入黑暗裡。
183.920	192.547	十五節這個詩人就進一步講 我這一種向神禱告,神不垂聽不理我。
192.547	194.868	我覺得不是只有今天。
194.868	196.809	我從小就這樣覺得。
196.809	199.549	所以十五節他說,我自幼就受苦。
199.549	204.090	而且呢,自幼就受苦,幾乎死亡。
204.090	205.491	這給我們兩面的思考。
205.491	210.892	第一個說,這個詩人他人生真的是經歷很多的苦難。
210.892	212.673	很辛苦的。
212.673	218.810	反過來講, 自幼就每一天幾乎死亡,卻又都沒死。
218.810	221.651	這個也是神的力量托住他。
221.651	228.776	所以弟兄姊妹,當你在很痛苦,很孤單的時候,你要去思考。
228.776	234.739	你不要只看到壞的那一面,你要去思考好的那一面。
234.739	242.064	就是說,怎麼一直這麼苦,怎麼一直這麼難,怎麼關關難過,關關都過。
242.064	243.925	如果真的沒有神,早就垮了。
244.855	248.297	這也是我們常常要去反向思考的事情。
248.297	252.539	雖然說我自幼就受苦,而且自幼受苦是幾乎死亡。
252.539	254.740	然後我受你的驚恐甚至慌張。
254.740	259.163	好像上帝的憤怒一直沒有離開我,上帝的管教一直沒有離開我。
259.163	261.724	所以我覺得好像你在攻擊我。
261.724	267.607	我覺得被人攻擊就算了,被上帝攻擊那還能夠逃到天涯海角嗎?
267.607	270.229	十六節,你的烈怒漫過我身。
270.229	273.891	你的憤怒就算了,也是可怕的烈怒。
274.889	278.870	漫過我身,代表像水一樣把我淹沒了。
278.870	282.511	我整個人浸泡在你的憤怒裡面。
282.511	284.792	你的驚嚇把我剪除。
284.792	288.112	我好像是一個被你要消滅的人。
288.112	291.453	你透過你的驚嚇把我消滅,把我剪除。
291.453	294.174	這些終日如水環繞我。
294.174	296.295	又來了,終日,從早到晚。
296.295	301.096	好像沒有一分一秒,我是平安的。
301.681	308.863	所以這些都你的驚嚇、審判、烈怒,終日都如水環繞我。
308.863	317.265	水環繞你的時候,你是完全被這些驚恐、哀傷淨透了。
317.265	319.086	你根本躲不開。
