start	end	text
4.326	8.248	弟兄姊妹平安，我們一起來思想,詩篇一百一十九篇。
8.248	18.492	它是詩篇裡面最長的一篇詩篇,有一百七十六節,而最短的是一百一十七篇,只有兩節。
18.492	32.678	一百一十九篇有很多的特色,第一個它是一首智慧詩,智慧詩的意思就是希望透過幫你分析人生的路,你要得到真正的智慧,走藝人的道路,才能蒙福。
32.978	37.401	如果你走錯了,你沒有智慧,依靠自己,不依靠神。
37.401	40.623	你走惡人的道路,終必滅亡。
40.623	46.246	那在智慧師裡面呢,其中有一種叫做律法師。
46.246	52.570	也就是說,怎麼樣才能夠得著智慧而蒙上帝的祝福?
52.570	55.751	那就是需要遵行神的律法。
55.751	57.933	這個是律法師。
57.933	68.873	那再來呢, 這也是一首字母詩,在一百五十篇的詩篇裡面,總共有九首叫字母詩。
68.873	113.636	也就是說,它的每一節經文的第一個字母, 它都是按照這個希伯來文的22個字母Aleph, Beth, Gimel, Dalet很像英文的ABCD這樣整個這樣排列下來那119篇更是字母詩當中最為這個厲害的一首它每八節第一節到第八節的每一節的第一個字的第一個字母 都是同一個這個字母。
113.636	120.619	例如說一到八節的每一節的第一個字的字母都是Olive。
120.619	123.520	那因為希伯來文字母有二十二個。
123.520	126.621	而每一個字母要出現八節。
126.621	134.785	所以呢這就是為什麼詩篇一百一十九篇它是八乘二十二等於一百七十六節這麼多。
134.785	136.485	那為什麼要這樣子呢?
136.485	147.703	字母師的特色就是方便讓你去背誦 然後呢,你常常背誦它,記在心中,你就容易怎麼樣去默想它。
147.703	150.204	這是字母詩它的一個意思。
150.204	154.607	再來呢,詩篇一百一十九篇,它是一首律法詩。
154.607	162.407	一百七十六節裡面,有一百七十節, 都提到神的律法。
162.407	162.627	哇!
162.627	164.249	這真的很驚人喔!
164.249	180.390	當然祂不是都用律法這個字祂用了律法也用到很多律法的統一詞例如話語、話 律例、典章、命令、訓詞、法度。
180.390	188.276	在176節裡面的170節都提到律法以及它的同義詞。
188.276	192.578	因此這是一首不折不扣的律法詩。
192.578	194.019	律法指的是什麼?
194.019	197.242	律法其實它不僅是一個規定。
198.063	201.346	我覺得他更好的一個理解是約法。
201.346	211.163	先有我們與神之間所立的約, 而在這個約裡面,有一些我們彼此要去遵行的事情,而成為法。
211.163	217.346	所以律法不是單向的,我們被神規定要做什麼做什麼,不可以做什麼不可以做什麼。
217.346	221.228	律法,它是一個約法,約法三章。
221.228	227.311	我們與神立約,要有守約之愛,遵行這個約。
227.311	232.154	因此,要守住這個約,就有一些行為的一些規範跟應許。
232.654	246.096	所以呢,律法的前提,不是單項的我們被神規定,而是雙項的,要透過行律法,要來守住我們跟神之間這愛的約定。
246.096	248.697	我們來看第一節。
248.697	254.598	行為完全遵行耶和華律法的,這人便為有福。
254.598	267.902	第一節的希伯來原文的第一個字是有福,而有福這個字的第一個字母就是Olive, 行為完全遵行耶和華律法的,這人便為有福。
267.902	273.706	遵守祂的法度,一心尋求祂的,這人便為有福。
273.706	278.089	一到八節的關鍵就是有福。
278.089	279.950	什麼是有福的人生?
279.950	287.876	有福的人生就是一心尋求神,一心要遵行祂話語,祂律法的人。
287.876	291.499	一到八節用了六次遵行或是遵守。
292.466	295.308	一節二節讓我們看見一件事情。
295.308	299.230	遵行耶和華律法,遵守祂法度。
299.230	303.152	這個人是因為他一心想要尋求神。
303.152	309.035	他因為一心想要尋求神,與神同行,與神同在。
309.035	319.641	因此呢,他才會讓他的行為、舉止、話語,想要去遵行上帝給他的律法。
319.641	324.069	因此呢,如果你不是打從心裡面, 想跟上帝在一起。
324.069	332.212	你如果不是打從心裡面,羡慕上帝的美好,你根本很難去遵行祂的律法。
332.212	342.076	記得,能夠遵行祂的律法,是因為你心裡面很想跟神在一起,很想與神同行。
342.076	350.339	第三節,這樣的人,不會去做非義的事,不義的事,但是卻會遵行祂的道。
351.408	383.375	我們不會去做得罪神的事不是因為怕被神懲罰而是知道這會破壞我們跟神之間美好的約的關係第四節耶和華我曾將祢的訓詞吩咐我們祢曾將祢的訓詞吩咐我們為要我們殷勤遵守但願我行事堅定得以遵守祢的律例我看重祢一切的命令 就不致羞愧。
383.375	413.752	這邊告訴我們說神將祂的訓詞吩咐我們是為了我們的益處為了我們好的緣故所以我們要殷勤的來遵守神不是將一大堆對我們沒有益處的規定強迫我們去遵行祂對我們的律法的目的是要使我們蒙福得著生命的智慧 因此呢,我們如果看重神給我們的命令,看重指的是什麼?
413.752	431.220	看重代表說,我們行神這樣的命令跟吩咐,我們不僅是跟神的關係會在一個美好的關係裡,我們也不至於在犯罪軟弱中跌倒,以至於羞羞愧愧的過一生。
432.517	443.689	因此第七節祂說,我學了你公義的叛語,就要以正直的心稱謝你,我必守你的律例,求你不要丟棄我。
443.689	469.584	一到八節,告訴我們有福的人生,就是一心想要尋求耶和華這位美好美善的神, 想要與祂同行,因此願意與祂堅定守約之愛,願意遵守祂為愛我們的緣故,並且要賜福我們的緣故,而給我們吩咐的律法跟命令。
469.584	478.551	我們行在祂的道路上,我們就不至於跌倒,不至羞愧,並且要與祂同行,也不會被祂丟棄。
480.111	484.434	第九節到第十六節就進到第二個段落。
484.434	493.341	他的每一節的經文的第一個字的第一個字母,都是希伯來文字母的bet。
493.341	497.644	第九節少年人用什麼捷徑他的行為呢?
497.644	500.866	是要遵行你的話。
500.866	506.010	第九節的希伯來文的第一個字,就是用什麼。
506.010	507.371	因此他的用什麼呢?
507.371	541.136	這個字的 第一個字母是bet這也是九到十六節的關鍵字如何或是用什麼就是如何如何將神的話語一方面內存於我的心裡面二方面如何將神的話語行於我外在的日常生活裡面因此這第二個段落九到第十六節就是要使用如何的概念 而少年人是如何竭盡他的行為呢?
