start	end	text
3.592	5.053	弟兄姊妹平安，我們一起來思想。
5.053	8.334	詩篇一百三十二篇一到十節。
8.334	11.295	繼續來思想上行之詩。
11.295	18.577	上行之詩總共有這個一百二十篇到一百三十四篇十五篇。
18.577	22.159	這十五篇又分成每三篇一組。
22.159	24.099	所以總共有五組。
24.099	72.949	而每一組的三篇它的結構第一篇通常談的都是在苦難中向神呼求 第二篇就會談到上帝來幫助他們勝過苦難第三篇就會談到上帝幫助之後他們就進入到上帝的平安跟祝福因此這五組分別就有五個不同的主題第一組是走向聖城他們從散居的各地要一年三次到耶路撒冷朝聖第二組它的主題是眾山環繞 眾山如同外邦的仇敵一樣,圍繞著中間的錫安山,給他很大的壓力跟攻擊。
72.949	80.494	但是上帝祂要保護、環繞祂自己所愛的錫安山。
80.494	84.237	而第三組呢,談到的是貝魯歸回。
84.237	94.456	上帝賜給他們一個悔改的心,就使他們從貝魯之地, 可以重新回來建造殘破的家園。
94.456	112.545	但是上帝也應許他們,幫助他們,只要願意遵主為大,遵守神的命令, 就能夠再次來建立家庭、城池、國家以及世世代代百姓兒女的傳承。
112.545	115.446	第四組談的是悔改赦免。
115.446	124.369	從一開始談到以色列的苦難,其實來自於他們屢次悖逆神,所以就屢次被神管教。
124.369	131.872	所以只要他們願意真心來悔改, 上帝就幫助他們,使他們得著赦罪之恩。
131.872	140.757	因此他們就要開始敬畏神,不敢為自己圖謀大事,凡事依靠神。
140.757	145.239	第五大段就是我們今天開始要談的,它的主題是大位制約。
145.239	147.941	我們先來看132篇第一節。
149.565	154.327	耶和華求祢紀念大衛所受的一切苦難。
154.327	166.032	我們談到每一組裡面都會有三篇的四篇第一篇談的就是苦難所以第五組的第一篇就是一百三十二篇是什麼樣的苦難呢?
166.032	172.894	是大衛所受的苦難但大衛所受的苦難是為了什麼而受苦難呢?
172.894	183.738	我們繼續往下看就可以明白他就是大衛他怎樣向耶和華啟示 向雅各的大能者許願。
183.738	206.605	這個經文讓我們有一個強烈的對比雅各的大能者就是耶和華而大衛跟這位大能者耶和華比起來真的是微不足道但他到底要向這位充滿能力充滿大能的耶和華起什麼樣的事許什麼樣的願呢?
206.605	215.673	第三節大衛他說 我必不進我的帳幕,也不上我的床榻。
215.673	221.297	我不容我的眼睛睡覺,也不容我的眼目打盹。
221.297	243.360	第三節跟第四節談到大衛一個決心,他不進自己的帳幕,然後也不上床去睡覺,不容許自己的眼睛 第五節,只等我為耶和華尋得所在,為雅各的大能者尋得居所。
263.234	271.816	祂在被神祝福之後,祂統一了以色列南北,都由祂完成統一。
271.816	276.476	上帝也祝福祂打敗周遭一切的敵人。
276.476	284.138	祂自己蓋了美麗的王宮,但祂想,我今天能夠擁有這一切,都是神賞賜給我的。
284.138	289.939	而如今神祝福我一切,安居樂業,又讓我住在這個皇宮裡面。
290.657	296.120	但上帝祂自己卻沒有居所可以居住。
296.120	299.763	祂沒有找到一個安息的地方可以居住。
299.763	304.266	其實就是在代表上帝的約櫃流落民間。
304.266	309.729	上帝的約櫃原本是放在摩西的會墓裡面。
309.729	314.872	但是之前以色列的百姓不斷的悖逆神。
314.872	317.494	神就任憑非力士人起來攻打他們。
318.865	331.517	但以色列百姓不思悔改,反而綁架上帝的約櫃,就把上帝的約櫃從會幕裡面搬出來,抬到戰場的前方去打仗。
331.517	381.465	他們想說,我們綁架上帝的同在,因為約櫃就代表上帝的同在,上帝就算不喜悅我們, 這個故事比較漫長,我們簡短來講, 後來非利士人也不敢繼續擁有這個約櫃,因為上帝就懲罰非利士人,所以他們就把約櫃送回到以色列,輾轉約櫃,最後就流落到民間。
381.465	389.269	我們學者有在統計,約櫃被掳走的時候,有不同的說法,這年代有不同的說法。
389.269	417.515	我自己比較傾向認為,應該可能在祖前1104年左右, 而大衛做王的時候是1010年也就是約貴被掳走到大衛做王的時候已經將近一百年的時間因此大衛他很希望 讓這個耶和華的約櫃能夠重新放在一個居所裡面。
417.515	420.778	他們有要讓祂回到以前的摩西的會墓。
420.778	427.143	祂反而想為這個耶和華上帝蓋一個不會再移動的會墓。
427.143	432.608	好像說這樣子神的同在就不會再移動,不會再離開我們。
432.608	441.207	因此祂想要為上帝蓋一個固定的 不會移動的一個聖殿來取代以前的會幕。
441.207	445.308	因此他就希望為上帝蓋一個聖殿。
445.308	451.629	這就是這位大衛在上帝面前所許的願所期的事。
451.629	454.090	他一定要把這個事情辦成。
454.090	456.711	不然他不得安息。
456.711	466.870	而經文告訴我們這位渺小的大衛竟然是為這位大能者 耶和華上帝如此的大發熱心。
466.870	475.792	因此經文成為一個強烈的對比,要對比出大衛祂的決心,而不是要對比出大衛的自不量力。
475.792	485.775	其實神很欣賞大衛這一份心,但是神最後告訴大衛,祂把這個建造聖殿的機會,留給大衛的兒子所羅門。
485.775	488.375	我們第六節繼續往下看。
488.375	495.995	我們聽說約貴在以法他, 我們在激烈耶靈就尋見了。
495.995	500.877	以法他就是伯利恒,就是大衛的家鄉。
500.877	510.962	我們聽說約貴在以法他,也就是說大衛他聽說約貴是在他的故鄉伯利恒。
510.962	520.512	這個理解上有點怪,如果約貴就是在大衛自己的家鄉伯利恒, 大衛怎麼可能會找不到?
520.512	561.178	所以這句話也可以翻譯成我們在依法他聽見了約貴的這樣的約貴丟失了約貴流落在民間的這樣的一個消息那所以呢這個第六節如果是這樣理解就可以理解成大衛在他還在幼年的時候 他還待在以法他,就是伯利恆,他還是年幼的時候,他就已經知道一件事情,上帝的約櫃流落在民間,還在漂流,上帝的同在,上帝的寶座,好像還沒有找到一個安息的居所。
561.178	569.470	因此第六節很可能想告訴我們,其實大衛在他年幼的時候, 就為了這樣的一個事情,心裡很有負擔。
569.470	572.253	心裡非常的焦急不已。
572.253	576.276	第二節說,最後我們在基列耶靈就尋見了。
576.276	583.383	但是其實他的希伯來原文,寫的不是基列耶靈,是這個雅爾的田間。
583.383	588.267	那雅爾就是森林的意思,就是森林的田間。
588.267	596.776	那我們透過這個薩摩爾記上,我們就知道, 約貴最後在哪邊被大衛找到?
596.776	598.318	是在激烈耶靈。
598.318	603.021	而激烈耶靈的意思就是森林的城鎮。
603.021	606.304	所以第六節可能在告訴我們一件事情。
606.304	609.726	最後約貴在森林的田間。
609.726	614.890	或許就可以理解成在森林的城鎮被找到了。
614.890	616.291	那就是激烈耶靈。
616.291	619.434	所以中文會翻譯激烈耶靈的由來是這樣。
619.889	647.624	因為其實原文不是激烈耶霖是森林的田間第七節我們要進他的居所在他腳凳前下拜耶和華求你興起和你有能力的約櫃同入安息之所當大衛找到約櫃之後他就非常的開心他就把約櫃從激烈耶霖 恭恭敬敬的把祂迎接回到耶路撒冷。
647.624	654.268	因此祂才說我們要進祂的居所在祂的腳凳前下拜。
