start	end	text
18.729	39.808	弟兄姊妹平安，我們按照每日言經事義的進度,繼續來思想詩篇第36篇,詩題是伊赫華的僕人,大衛的師交與領長,領長就是師班指揮, 第一節,惡人的罪過在他心裡說,我眼中不怕神。
39.808	46.035	首先第一節到第四節,大衛來描述什麼叫做惡人。
46.035	53.042	第一節告訴我們說,大衛他洞察了惡人內心深處,他的想法。
54.172	86.174	因為惡人的罪過在他心裡面的深處在說話他說我的眼中不怕神因此惡人就是心中不敬畏神不把神當一回事的人那不僅是大衛洞察出惡人心裡面的意念其實耶和華更是了解明白惡人心中一切所隱藏的 第二節,惡人他怎麼樣呢?
86.174	94.238	他自誇自媚,以為他的罪孽終不顯露,不被恨惡。
94.238	108.406	他的原文是,惡人他在自己的眼前慘媚自己,以至於無法察覺自己罪孽,以至於能夠來恨惡他自己的罪惡。
108.406	116.468	所以我們看見惡人他有一個問題, 就是他不斷的 太高估了自己。
116.468	118.109	他不斷的慘昧自己。
118.109	118.509	哎呀!
118.509	119.390	我好行啊!
119.390	120.531	我好聰明啊!
120.531	121.932	我好厲害啊!
121.932	123.854	人都不能拿我怎麼樣。
123.854	126.616	甚至連上帝都不能拿我怎麼樣。
126.616	130.579	所以他在他自己的眼前慘昧自己。
130.579	131.520	導致一個結果。
131.520	139.246	他永遠無法察覺到他自己的內心深處充滿了許多的罪孽。
139.246	142.968	使他也不知道應該要來恨惡他裡面自己的罪孽。
143.609	147.791	他的結局就是被神審判滅亡。
147.791	160.599	第三節,惡人呢,他口中的言語,竟是罪孽詭詐,他的智慧,他與智慧善行,已經斷絕。
160.599	177.084	一個人呢,心中所充滿的,口裡面就會說出來, 惡人的心中這麼多可怕的意念,所以他口中所說出來的言語,竟都是,就是全部都是罪孽以及各種的詭詐。
178.148	208.093	那這樣的一個人呢心裡面是如此口中的言語是如此他做出來的行為會與智慧還有善行毫無關聯所以呢他所行的竟是愚昧他所行的都是神所恨惡的惡行第四節他在床上圖謀罪孽 睡覺也不好好睡覺。
208.093	209.994	白天都在幹壞事。
209.994	211.214	想壞事。
211.214	212.794	說壞事。
212.794	217.616	晚上在床上也在繼續做這樣的事情。
217.616	220.997	他定義不行。
220.997	224.258	他定義要去行不善的道。
224.258	228.159	他定義不憎惡事。
228.159	230.800	他的意志非常的堅定。
