start	end	text
18.541	21.522	弟兄姊妹平安，我們一起來思想。
21.522	23.343	詩篇第七十二篇。
23.343	27.465	首先我們透過John my Bible來讀第一節到第七節。
27.465	39.891	詩篇第七十二篇索羅門的詩神啊!
39.891	45.394	求你將判斷的權柄賜給王,將公義賜給王的兒子。
48.763	56.745	祂要按公義審判你的民,按公平審判你的困苦人。
56.745	65.187	大山小山都要因公義使民得享平安。
65.187	75.490	祂必為民中的困苦人申冤,拯救窮乏之輩,壓碎那欺壓人的。
75.490	86.830	太陽還存, 月亮還在，人要敬畏你，直到萬代。
86.830	98.093	他必降臨，像雨降在已割的草地上，如甘林滋潤田地。
98.093	109.446	在他的日子，一人要發旺，大有平安，好像月亮長存 第一節,神啊!
109.446	115.452	求祢將判斷的權柄賜給王,並且將公義賜給王的兒子。
115.452	118.415	這邊為什麼王跟王的兒子同時出現呢?
118.415	122.218	我們如果讀到最後一節就知道,這是大衛的禱告。
122.218	126.222	所以這邊王指的是大衛王,王的兒子指的是所羅門王。
126.903	167.848	那這邊啊,大衛的禱告是希望說,神啊,也不僅將做國王的權柄,賜給國王,並且能夠將這個按照上帝的公平公義,按照上帝的律法,來作為判斷百姓的這樣的權柄, 也讓國王來領受不然這個國王就是一個壞國王不僅如此還要將這個施行公義的權柄賜給王也要賜給王的兒子所以願這個王氏家族世世代代按著上帝的公義來審判國民第二節他要按公義審判你的名 按公平審判你的困苦人。
167.848	168.528	這麼一個對仗。
168.528	178.314	讓我們看見他凸顯了期待國王能夠用公義和公平來審判上帝的百姓。
178.314	181.476	而上帝的百姓當中有很多是困苦的人。
181.476	187.420	他需要透過國王用上帝的公義和真理來治理跟審判。
188.080	194.884	還給百姓一個神所賞賜的一個喜悅的生活。
194.884	199.627	這是一個國王他領受這個職份,應當要承擔起的責任。
199.627	207.551	第三節,大三小三都要因公義而使百姓得享平安。
207.551	211.374	所以大三指的是國王,小三指的是王的兒子。
211.834	234.245	這大山小山呢都要因為他們秉行公義他們會帶給百姓一個平安跟和平的日子那這也是百姓對國王的期待第四節他必為民眾的困苦人伸冤 拯救窮乏之輩,壓碎那欺壓的人。
234.245	255.879	因此我們看見在這邊有神的憐憫跟公義同時要透過君王來彰顯憐憫就是針對那些困苦人和窮乏人需要透過上帝的憐憫然後使他能夠被救贖 而那些欺壓的人,會被上帝的公義所壓碎。
255.879	262.441	第五節,太陽還存,月亮還在,人要敬畏你,直到萬代。
262.441	268.983	這一節很有名,我們唱詩歌常常會唱到,但不太知道它的上下文原本的脈絡。
269.343	294.670	這邊上下文的脈絡是說,如果神在地上所揀選的君王和領袖,能夠按照上帝的公義來審判對待萬民,那這樣子就如同天上的太陽跟月亮會永遠長存一樣,地上屬神的國度也會永遠的長存。
295.350	303.678	所以這個國王跟國王的兒子,一個像大山,一個像小山,一個像太陽,一個像月亮。
303.678	310.905	他們能夠在這個黑暗之處,能夠用日光跟月光照亮一切的黑暗。
310.905	318.312	所以太陽還存,月亮還在,代表神的公義沒有消失,仍然光照這個地上的時候。
318.712	321.553	人呢,就要敬畏你耶和華。
321.553	326.596	因為知道耶和華是以公義治理萬民的,而且這個治理會直到萬代。
326.596	329.117	所以這句很有名,我們再讀一次。
329.117	334.080	太陽還存,月亮還在,人要敬畏你直到萬代。
335.043	338.245	第六節,他必降臨,指的是上帝的公義。
338.245	346.470	他必降臨,像雨降在已割的草地上,如甘霖滋潤田地。
346.470	352.593	這個地上的人民,對於上帝的公義,非常的期待。
352.593	362.079	如同那個雨和這個露氣,甘霖降在枯乾的地上,急需要上帝的滋潤,他們才能夠活過來。
363.285	369.760	在祂的日子,一人要發旺,如這個已割過的草地上的草再次的長起來。
370.640	375.484	一人要發旺,大有平安,好像月亮長存。
375.484	396.202	感謝主,當上帝的公義如同太陽、月亮不斷的發光,照亮地上一切的黑暗的時候,萬民不僅要敬畏祂,一人也要發旺,如草地上的青草,被上帝的公義滋潤,祂就可以成長起來。
396.903	400.025	這一人發旺也不會衰退。
400.025	402.186	如同月亮可以長存一樣。
