start	end	text
18.797	21.598	弟兄姊妹平安，我們一起來思想。
21.598	25.019	詩篇第七十八篇的第一節到第八節。
25.019	28.980	首先我們通過Jama Bible一起來讀第一節到第四節。
28.980	50.293	詩篇第七十八篇雅撒的迅悔詩我的民吶 你們要留心聽我的訊回。
50.293	54.574	側耳聽我口中的話。
54.574	57.314	我要開口說比喻。
57.314	61.375	我要說出古時的謎語。
61.375	65.396	是我們所聽見所知道的。
65.396	69.777	也是我們的祖宗告訴我們的。
69.777	72.238	我們不將這些事向他們的子孫隱瞞。
74.292	81.218	要將耶和華的美德和他的能力﹐並他奇妙的作為述說給後代聽。
84.224	116.325	七十八篇是雅撒的迅悔詩第一節我的名吶你們要留心聽我的迅悔迅悔就是教導然後呢要側耳聽我口中的言語側耳也是一樣就是留心聽的意思為什麼呢因為我要開口說比喻我要說出古時的名語由於要對你們所說的話是名語是比喻所以一定要有留心的用心來聽所以要側耳聽 那這個比喻跟這個謎語指的是什麼呢?
116.325	123.086	第三節,我們所聽見、所知道的,也是我們祖宗告訴我們的。
123.086	133.369	我們不將這些事向他們的子孫隱瞞,要將耶和華的美德和祂的能力,並祂奇妙的作為述說給後代聽。
134.189	227.504	原來所謂的你們要留心聽的比喻跟謎語其實是大家都已經知道的因為第三節說其實這個都是我們所聽見我們所知道的都是我們的祖宗他們以前怎麼經歷神偉大的作為經歷神的公義跟信實祂告訴我們的 並且我們也會繼續做這樣的一種傳承我們不會將這些事向下一代的子孫有所隱瞞因為我們定義要將耶和華的美德跟祂的能力還有祂奇妙的作為都要述說給後代聽這邊讓我們發現一個很常見的狀況 就是說其實聖經所啟示我們的關於神一切的作為也包含許多人傳承給我們的有關於上帝在人生命中所做的偉大救贖工作的這些見證我們都是聽很多的 但是我們的腦袋聽得懂或是看得懂這些啟示或是這些見證但我們心裡面不能領受我們聽了進不去我們聽了不能領受好像聽謎語好像聽比喻好像進不去好像祖先們或是有些人他們這麼深刻的經歷了神讀聖經的時候這麼深的被神的話感動跟改變 可是為什麼我就是進不去呢?
227.504	232.069	我彷彿在聽謎語,我彷彿在聽看不懂的比喻。
232.069	248.582	所以這邊就是讓我們去思想,包含以色列人,他們聽了這麼多歷史歷代的先祖,經歷神的這些事蹟,但是呢, 並沒有帶來人與神之間關係的一個確定性。
248.582	258.964	以這個以色列民族為例,他們應該是全世界看過最多神跡啟示的民族,應該是領受過最多上帝啟示的民族。
258.964	267.646	但是呢,他們的後代常常就是看上帝的啟示跟上帝的作為如同謎語,如同比喻。
268.046	315.859	因為他在雅各中立法度在以色列中設律法是他吩咐我們祖宗要傳給子孫的 是將要生的後代子孫﹐可以曉得﹐他們也要起來告訴他們的子孫﹐好叫他們仰望神﹐不忘記神的作為﹐唯要守祂的命令。
315.859	324.567	不要像他們的祖宗﹐是頑耿悖逆、居心不正之輩﹐向著神﹐心不誠實。
329.036	364.448	第五節因為祂在雅各中立法度在以色列中設立了律法目的是祂要吩咐我們的祖宗要傳給子孫的這個就講得很清楚神其實祂不僅是有祂的奇妙作為跟奇事更重要是祂把祂的話語祂的律法透過信仰的傳承一代一代的傳下去第六節目的呢使將要生的後代的子孫可以曉得 讓他們也要起來,繼續的再告訴他們的子孫。
364.448	370.491	叫他們仰望神,不忘記神的作為,唯要守祂的命令。
370.491	379.095	不要向他們的祖宗是頑耿悖逆,居心不正之輩,向著神心不誠實。
379.095	411.549	在我們剛讀完的生命記裡面也談到這一種 明明聽到很多的神的教導關於神的見證和神的律法但是人跟神的關係竟然還常常是不穩定的常常是悖逆的常常是沒有信心的神明記的31章、32章摩西就講第一個你們要告訴後代上帝的作為跟傳給你們的律法 第二,但是我保證你們的後代會悖逆,不聽也不信。
411.549	421.252	但第三,我再告訴你們,等到他們被擄之後,等到他們被上帝管教之後,他們會回傳回向神。
421.252	425.773	信仰沒有辦法遺傳,信仰只有辦法傳承。
425.773	435.435	每一代的信仰者,他需要真實的親身去經歷神,這個信仰才會變成他的,這個上帝也才會變成他的神。
436.015	447.682	因此當我們今天談信仰傳承的時候,最重要的是如何帶導、引導、鼓勵我們的下一代去經歷上帝真實的工作。
447.682	454.787	不然,你所傳給他的信仰跟律法,只會成為比喻,只會成為謎語。
455.247	469.597	面神曾經在我們生命中,奇妙的作為,還有上帝的美德,還有上帝的能力,也能夠非常真實的彰顯、改變、影響我們的下一代。
469.597	473.780	這樣信仰才有辦法世世代代傳承下去。
473.780	482.707	經文這邊也告訴我們,祖宗有一些負面的東西,其實也會深刻影響下一代的人對信仰的接受度。
482.707	494.354	如同第八節所說的, 不要像我們的祖宗,是頑耿背逆,居心不正,向著神,心不誠實,腳踏兩條船。
494.354	505.961	很多時候我們在埋怨,為什麼下一代信仰不火熱,不好意思,常常是因為他看見我們嘴巴說的,跟真實所做的不一樣。
505.961	513.385	他們很聰明,他們一看就知道說,原來是可以這樣子過信仰生活,他們就學起來,我們一起來禱告。
514.326	535.036	主幫助我們,主有時候我們跟祢的關係好遙遠,好像神的作為,神的啟示跟神的應許,好像謎語一樣,好像比喻一樣,頭腦可以明白字,這個聖經讀起來看得懂,但心裡面進不去。
535.036	553.198	聖靈啊,求祢幫助我們,拿走一切攔阻我們進入神的話語,進入神的國度的那些絆腳石, 主,讓我們的心向祢誠實、謙卑常開,好叫祢自己的國,真真實實的彰顯在我的生命裡面,奉耶穌的名祷告。
553.198	553.938	阿們。
553.938	555.280	願神賜福大家。
573.524	575.002	繁體中文，
