start	end	text
3.507	5.108	弟兄姊妹平安，我們一起來思想。
5.108	7.370	詩篇第129篇。
7.370	11.734	繼續來思想第四組的上行之詩的第一篇。
11.734	22.223	第四組的上行之詩主要在討論百姓之前因為犯罪而被神管教。
22.223	25.907	所以在苦難當中向神呼籲。
25.907	35.633	而他的第二篇會講到在上帝的幫助之下 他們願意來悔改,就會經歷到上帝的赦罪之恩。
35.633	54.404	第三篇就會提到,當他領受了上帝的赦罪之恩之後,他們的生命也改變了,變得在神面前敬畏神,不自高自大,凡事尊主為大,就享受從上帝而來的安息、平安跟祝福。
54.404	55.324	我們就來看第129篇。
56.954	64.420	第一節,以色列當說,從我幼年以來,敵人屢次苦害我。
64.420	71.265	為什麼從以色列幼年以來,敵人屢次苦害他呢?
71.265	89.367	因為從他們出埃及以後開始,上帝拯救他們,讓他們成為神的百姓,可是他們每一次都背逆神,神不斷地拯救他們,可是他們每次在被拯救之後, 就不斷的悖逆神。
89.367	92.508	是不是很像我們之前生命的光景呢?
92.508	97.710	所以呢,從幼年以來,代表祂的生命一直都是這個樣子。
97.710	103.912	然後敵人是屢次苦害祂,代表祂屢次不斷的悖逆犯罪心硬。
103.912	109.554	所以神就任憑仇敵來攻擊他們,作為對他們的管教。
109.554	115.476	第二節,祂繼續說,從我幼年以來,敵人屢次苦害我。
115.476	120.388	祂再一次的強調, 但是卻沒有勝了我。
120.388	149.875	所以敵人不斷的苦害他卻沒有勝了他的原因不是他厲害而是因為神屢次的拯救他他們每次在這些被管教的時候他們就後悔他們就呼求神的拯救憐憫而神每次都憐憫他們所以神也屢次拯救他所以敵人沒有每次勝過他的原因 使用上帝的赦免和拯救。
149.875	160.560	很多時候也是一樣,如果按照我們所犯的罪,以及我們所做的錯事,其實我們早就該滅亡了,我們早就該失去一切了。
160.560	163.262	但仇敵為什麼沒有完全的勝過我們?
163.865	178.677	不是我們剛強,是因為我們後來悔改,呼求主的時候,神就出手拯救我們,保全了我們,以及保全了祂所賜給我們的福分、機會跟產業。
178.677	187.184	第三節,如同伏離的,在我背上伏離而耕,耕的離勾甚長。
187.184	188.785	什麼意思呢?
188.785	195.864	這個敵人,從我幼年以來, 屢次的苦害我。
195.864	197.785	如何的苦害我呢?
197.785	202.707	如何苦害我的次數這麼頻繁,這麼久呢?
202.707	223.388	如同有人在我的背,在我的背脊上,扶著那個梨,把我的背當作泥土地,用那個梨插進去,然後呢,不斷的滑過去, 哇!
223.388	233.194	這個真的是讓人家光是聽這樣的描寫都覺得很疼痛。
233.194	255.832	你要不要試試看讓別人 用那個尖銳的東西在你的背上隨便劃一刀就受不了了。
255.832	271.061	何況從幼年以來屢次的讓人在你的背脊上用那個金屬的銳利的金屬插進去像耕田一樣在不斷的在傷害你。
271.061	314.633	那這也非常的傳神在他的背脊上因為以色列他主要的地區就是所謂的中央山地 那中央山地就是以色列的政治跟宗教最主要的一些城市都集中在這個中央山地就很像凸起來的那個背脊那個脊椎骨一樣那敵人常常就是佔領這些重要的中央山地的城市就會帶給以色列極大的打擊耶路撒冷也在這個中央山地上面第四節耶和華是公義的他砍斷了惡人的繩索 敵人從他幼年以來,屢次的苦害他,但為什麼終究都沒有生了他?
314.633	320.534	因為耶和華是公義的神,祂會出手的,會拯救祂的百姓。
320.534	324.675	其實神管教我們,不是祂最終的目的。
324.675	328.817	管教我們只是手段,目的是叫我們悔改。
328.817	334.658	我們悔改這位公義慈愛憐憫的神,就會出手拯救我們。
334.658	335.939	那祂怎麼拯救呢?
335.939	340.875	祂就砍斷了惡人的繩索, 什麼叫做惡人的繩索?
340.875	370.853	農夫他扶著梨在耕田他其實前面是有一頭牛牛他綁了一根繩子拖著拉著這個梨在往前前進所以耶和華就把那個牛拉著梨那個繩索一砍斷那惡人就沒有辦法繼續 在以色列的背脊上耕田。
370.853	375.917	第五節,愿恨恶习安的,都蒙羞退后。
375.917	382.141	愿他们像房顶上的草,为长成而枯干。
382.141	387.145	所以呢,他在这边就说,愿恨恶习安的。
387.145	391.048	恨恶习安,包含恨恶上帝的百姓。
391.048	420.920	而我们不要忘记,习安常常跟大魏的王权, 有關所以也代表就是說恨惡上帝所治理的以色列人的這些仇敵他們要蒙羞退後就是神一出手攻擊他們這些仇敵就會羞愧轉身逃跑那願他們向房頂上的草 為長成而枯幹。
420.920	449.885	以色列他們的房屋基本上就是用泥土的房屋所以很多都是石頭蓋起來可是上面就是會鋪一些草然後用泥把它固定這樣子所以在房頂上面它雖然有泥 所以就有一些雜草,一些雜草長在上面。
449.885	454.776	可是你知道房頂所鋪的那一層泥,其實不是很厚。
455.657	465.223	所以代表那些雜草,它生長出來之後,因為那個泥不夠厚,所以它的根沒有辦法扎得很深。
465.223	474.929	所以等到太陽一出來,或是熱風一吹的時候,它應該扎根不深,所以很容易就枯乾死亡。
474.929	480.613	所以就怨它們都像房頂上的草,還來不及長成,就枯乾了。
481.186	494.534	所以就是說,願這些惡人在以色列百姓生命中的掌權不長久,對他們的虐待傷害不長久,因為神會出手制止他們。
494.534	501.139	第七節,收割的不夠一把,捆合的也不滿懷。
501.139	561.873	這些惡人很像農夫扶著梨在以色列百姓的背脊上耕田, 因此詩人就咒詛他們,斥責他們說,你們這些惡人在我們的背脊上耕田,你們不會有什麼太多的收成的,所以收割的不夠一把, 第八節錄過的也不說 愿耶和华所赐的福归于你们,我们奉耶和华的名给你们祝福。
561.873	576.839	以色列人在收割的时候,在田旁边路过的路人,就会祝福收割的人,祝福他说,愿耶和华所赐的福归于你们,我们奉耶和华的名给你们祝福。
577.705	610.110	那這個在田裡面收割的人聽見路人這樣對他們祝福他們也會這樣子互相的祝福回去讓大家都有好的收成因為大部分人都會務農嘛所以其實你是路人祝福我這收割的人其實你回家之後你這個路人也是要去收割所以你現在祝福我奉耶和華的名祝福我有豐收我也要奉耶和華的名祝福你有豐收 這個場景我們曾經在《路德記》第二章第四節。
610.110	616.157	伯瓦斯他們的工人在這個田裡面收割。
616.157	621.624	然後伯瓦斯跟這些收割的人他們都會互相奉耶和華民的祝福。
621.624	623.246	他們有豐收。
623.246	627.317	所以就是說 這些仇敵,他們不會有豐收。
627.317	633.018	所以,路過的人,不會奉耶和華的名,祝福他們有大收成。
633.018	636.538	因為神會阻止他們繼續行惡。
636.538	639.659	我們就一起來禱告。
639.659	648.741	主,我們知道,我們悖逆,被祢管教的時候,管教中的苦難,不是祢的目的。
648.741	653.542	祂只是祢的手段,是要讓我們懂得回轉歸向祢。
654.411	657.294	離開惡行,離開惡道。
657.294	664.321	好叫我們回到祢面前,再一次被祢醫治,並且成為一個生命可以豐收的人。
664.321	668.946	奉主的名我們宣告,耶和華你是公義的神,慈愛的神。
668.946	684.650	你要砍斷敵人的繩索,禁止他們繼續在我們的背上, 我們要說,仇敵想要在我們生命中偷竊殺害毀壞,必不能得逞。
684.650	689.752	因為我們迴轉歸向神,神就必赦免我們,並且保護我們。
689.752	691.433	奉主耶穌的名祷告。
691.433	692.213	阿們。
692.213	693.354	願神賜福大家。
