start	end	text
19.087	23.289	弟兄姊妹平安，我們繼續按照每日言經事義的進度來思想。
23.289	28.132	詩篇第35篇11節到最後。
28.132	31.273	35篇講到人生像戰場。
31.273	32.714	這是大衛的詩。
32.714	36.536	對大衛來講,人生的戰場有軍事上的戰場。
37.227	39.989	也有政治上的戰場。
39.989	44.792	十一節以後要講到的是司法上的戰場。
44.792	48.554	還有這些信仰上的戰場。
48.554	51.796	這些都是屬於無形的戰場。
51.796	57.640	十一節兇惡的見證人起來,代表這一方面是司法問題。
58.404	113.423	二方面也是這個宗教信仰裡面的律法的問題就是有人用假見證而且是很可怕的假見證要用假見證要自我於死地的假見證這個涉及到司法不公義的問題也涉及到信仰群體裡面陷害人的問題 所以兇惡的見證人起來盤問我所不知道的事用一些我根本就不知道的這些捏造的事要來定我獻我於罪十二節他們向我以惡報善使我的靈魂孤苦那這個大衛覺得很痛苦靈魂孤苦的孤苦這個字是喪子就是如同兒子死掉一樣的痛苦 因為他們向我是以惡報善。
113.423	117.145	大會說我其實對這些人非常的好。
117.145	124.529	可是他們竟然是以惡報善,用捏造的事實要來控告我,要陷害我至於死地。
124.529	130.292	怪不得我的靈魂會孤苦,痛苦到好像死了兒子一樣的痛苦。
132.483	135.745	他們是這樣對我,那我以前怎麼對他們呢?
135.745	136.405	13節。
136.405	147.670	至於我,當他們有病的時候,我便穿麻衣,進食,刻苦己心,我所求的,都歸到自己的懷中。
147.670	154.774	大衛說,他們如此惡待我,可是以前他們有難的時候,我不是這樣對待他們的。
156.101	174.014	他們以前有病的時候,我如同是我自己生病一樣,我自己就穿上麻衣,為他們進食禱告,刻苦己心,希望他們的病可以得醫治,我所求的都歸到我自己的懷中。
174.855	197.490	他的意思是我向上帝所祈求的結果神沒有應允所以我所祈求的都這個原封不動的回到我自己的懷中就代表說神並沒有來應允我的祈求所以我就與這些哀哭的人同哀哭所以代表什麼?
197.490	233.052	大衛不僅是在別人有難的時候與他們一起迫切的尋求、禱告神 甚至在這個禱告沒有蒙神應允的時候他也跟他們一同來哀哭一同來面對這些生命中極大的患難出現第十四節我這樣行好像他是我的朋友我的弟兄我屈身悲哀屈身悲哀代表哀悼代表說 祷告沒有蒙垂聽,他們最後死了。
233.052	240.041	所以,我屈身哀悼,如同人為母親哀痛一樣。
240.041	276.648	不論祷告有沒有蒙垂聽, 我都真的是為他們進食禱告穿上麻衣刻苦己心如同是為我自己禱告一樣甚至是他們遇到災難了禱告沒有蒙垂聽過世了我也如同為我自己的母親舉哀一樣與他們一同來哀痛如同是我自己的家人過世一樣但如今十五節我在患難中他們卻歡喜 大家聚集,天啊,怎麼會這樣呢?
276.648	279.729	這個跟我之前對他們所做的差太多了。
279.729	284.371	所以大衛才會在十二節說,他們向我是以惡報善。
