start	end	text
18.985	26.451	弟兄姊妹平安，我們按照每日言經事義的進度,一起來思想詩篇第23篇。
26.451	33.596	詩篇150篇裡面,可能最多人最熟悉的就是這個詩篇23篇。
33.596	38.160	那他的詩題是大衛的詩,但是作者不一定是大衛。
38.780	43.483	但是詩體這樣寫,大衛的詩是後人加上去的。
43.483	57.230	代表說,這個詩的內容,我們可以透過大衛他的生平,能夠有更多的這些想像的空間,讓我們有更多的收穫。
57.230	59.912	第一節,耶和華是我的牧者。
59.912	63.074	原文沒有是,所以就是耶和華,我的牧者。
64.718	69.859	把上帝當作我們生命中的牧者,牧羊人。
69.859	75.641	在聖經裡面最早出現我們看見是《創世紀》第48章15節。
75.641	82.782	雅各他就說到這位耶和華是一位一生牧羊我的耶和華。
82.782	86.123	雅各自己是一個牧羊專家。
86.123	88.744	大衛也是一個牧羊專家。
89.428	96.151	他在還沒有當君王之前,他的職業就是牧人,是一個牧者。
96.151	101.774	所以四篇二三篇裡面,我們可以分成兩段。
101.774	115.340	第一段是一到四節,透過羊如何倚靠著牧羊人, 能夠讓他的生命不怕遭害反而得到神的保護。
115.340	143.052	然後呢就換到下一個場景五節和六節就是當這個大衛他在人生的道路上呼召成為國王過程當中經過許多兇險艱辛而最後怎麼樣蒙神的保守跟祝福的結局 我們繼續往下看,耶和華是我的牧者,我必不至缺乏。
143.052	148.256	缺乏的意思就是,變少或是變小。
149.394	194.989	我們現在在變少的時候我們好像比較容易還能夠忍耐相信耶和華是我的牧者雖然暫時這些供應資源變少了我在等候神應該神就會眷顧我使我不至缺乏但是變小我發現很多弟兄姊妹對於變小反而不能容忍和忍耐 變少,你好像可以忍耐,但變小,例如說你的地位變小了,你的影響範圍變小了,你的職位變小了,你的名譽變小了,你就很有感覺。
194.989	199.830	我們現代人很多時候,對於這個變小,比變少更在意。
199.830	214.428	但弟兄姊妹,如果你信得過耶和華是你的牧者, 那面對不論是變少或變小,其實你都應該繼續信靠耶和華,因為祂會繼續帶領你的。
214.428	222.893	第二節,耶和華祂使我躺臥在青草地上,帶領我在可安歇的水邊。
223.933	307.950	這邊讓我們看見青草地、溪水旁就是要去吃草、喝水這個是動態的然後呢躺臥、安歇這些是靜態的代表我們生命中不論是動態的還是靜態的需要耶和華都能夠帶領我們都能夠使我們得到滿足 所以弟兄姊妹不論是靜還是動不論是外在的需要肉體的需要食物的需要還是內心安靜的需要內心安息的需要內心被上帝擁抱的需要動態跟靜態的需要耶和華我們的牧者都要來滿足我們真是太棒了 大衛他自己是牧羊人他自己對這方面牧人可以怎麼樣來供應羊群的飲水吃草以及如何容易收到驚嚇的羊群可以躺臥 放下心來,因為有牧羊人的保護,羊就可以好好的休息睡覺,恢復體力,恢復心中的平靜。
307.950	317.733	大衛自己作為牧羊人,他非常有心得,他就把這樣的一個經驗,投射在他自己跟上帝的關係裡面。
317.733	322.295	第三節,祂使我的靈魂甦醒。
