start	end	text
4.138	10.343	弟兄姊妹平安，我們一起來思想,詩篇第119篇17節到32節。
10.343	19.030	詩篇119篇是一首智慧詩,希望我們得著真正的智慧,走義人的道路,不要走惡人的道路。
19.650	23.931	一人的道路,是上帝要使我們蒙福的道路。
23.931	28.132	二人的道路,是被上帝審判的滅亡道路。
28.132	42.276	它也是一首律法詩,所謂的律法詩就是,如果你真的想要過一個蒙福的人生,想要得著真正的智慧,你就需要來認識神的律法,並且遵行神的律法。
42.276	45.057	你這一生必定蒙神的祝福。
45.657	49.038	詩篇一百一十九篇也是一首字母詩。
49.038	64.561	字母詩的特色,就是每一節經文的第一個字的第一個字母,它是按照希伯來文的字母,Aleph, Bet, Gimel, Dalet,二十二個字母這樣排列下來的。
64.561	68.922	就很像英文的ABCD這樣把它排列下來。
68.922	81.996	那因為希伯來文有二十二個字母, 而這個詩篇一百一十九篇是整個詩篇九首字母詩裡面的最精華的。
82.824	88.367	那它的這個每一個字母,它連續用八節。
88.367	93.449	那因為有二十二個字母,所以二十二乘以八就是一百七十六。
93.449	96.970	所以它是最長的詩篇有一百七十六節。
96.970	101.733	我們今天就來看十七節到三十二節。
101.733	113.519	十七節到二十四節,就是用希伯來文字母的第三個字母Gimel來做每一節 的第一個字。
113.519	115.260	的第一個字母。
115.260	116.841	我們來看一下。
116.841	117.281	17節。
117.281	125.828	求祢用厚恩﹐待祢的僕人﹐使我存活﹐我就遵守祢的話。
125.828	133.113	希伯來原文裡面﹐的第一個字﹐是﹐待﹐就是﹐對待。
133.113	137.917	求祢用厚恩﹐對待祢的僕人﹐對待是這一句話的﹐原文的第一個字。
138.729	142.550	詩篇一百一十九篇真的很有意思也很有智慧。
142.550	153.854	他每八節的一個段落裡面的第一節的第一個字母就是那八節的這個關鍵字。
153.854	163.518	因此呢對待這個字呢就是十七到二十四節這八節經文裡面的關鍵字。
163.518	199.297	這裡呢 祂要告訴我們上帝以真理對待我們跟惡人用虛妄對待我們是截然不同也是截然不同的結局十七節說上帝是用祂極大的恩典對待祂的僕人使祂的僕人可以存活因此我們就要遵守神的話語因為神的話語是使我存活的 十八節,求祢開我的眼睛,使我看出祢律法中的奇妙。
199.297	208.516	當我們被惡人對待的時候,心中很愁苦,那時候常常看神的話語, 看不出到底神的救恩在哪裡。
208.516	210.477	看不出神的幫助在哪裡。
210.477	217.364	看不出神要怎麼樣透過祂的話語,使我可以存活,以至於我願意遵守神的話。
217.364	219.606	因此我們需要聖靈的工作。
219.606	240.083	我們要懇求真理的聖靈,開我們的眼睛,在我們焦慮、困難,甚至是抱怨的時候, 我們要懇求聖靈開我們心中的眼睛,看出神律法中的奇妙,看出神今天要對我說出什麼樣寶貴的話,使我們可以存活。
240.083	247.667	耶穌曾經說過,人活著不是單靠食物,乃是靠神口裡所說的一切的話語。
248.848	253.771	第十九節我是在地上做寄居的。
253.771	256.772	求祢不要向我隱瞞祢的命令。
256.772	258.753	詩人這邊說的真好。
258.753	283.898	我們在地上看起來一方面是這個弱勢的好像敵人比較強勢我們是漂流寄居的但是呢其實我們更是天上的神的百姓因此呢畫風一轉 我們這些在地上做寄居的,但其實我們是神的子民。
283.898	291.825	因此神啊,祢不會向我們隱瞞祢對我們的話語,祢不會向我們隱藏祢對我們的命令。
291.825	296.648	因此,不要只想到你是寄居的,你就哀聲嘆氣。
296.648	303.614	你更要想到,你真實的身分是屬神的子民,神就不會向你隱藏祂的旨意。
