start	end	text
3.746	5.267	弟兄姊妹平安，我們一起來思想。
5.267	30.166	路加福音第十七章第一節到第十九節耶穌又對門徒說半導人的事是免不了的所謂的半導人就是引人犯罪導致別人犯罪因為我們自己所行所說有一些不合宜的地方或是我們自己本身犯罪 引發了別人他也犯罪了。
30.166	31.907	這叫半導人的事。
31.907	35.049	耶穌說這種事是免不了的。
35.049	38.910	但是那半導人的卻有禍了。
38.910	43.832	也就是說我們要做門徒的要謹慎自己的言行舉止。
43.832	46.574	雖然半導人的事是免不了的。
46.574	51.906	但是不能以 他就是一定免不了,我又不是完美的聖人。
51.906	58.449	用這種藉口,就讓自己做門徒的言行舉止,常常不合宜。
58.449	61.610	耶穌說,那半導人的有禍了。
61.610	62.851	怎麼樣有禍呢?
62.851	65.852	上帝要怎麼樣來審判他呢?
65.852	74.394	就是把磨石栓在這個人的景象上, 什麼叫做那個磨石呢?
74.394	85.879	就是那個推那個墨,那個大石頭,遠遠的大石頭,綁在一個人的脖子上,然後呢,把它丟在海裡。
85.879	93.382	那這個是一定會沉到海的深處嘛,因為那個大石頭這麼重,所以要把它活活溺死。
93.382	129.649	他說呢,半島人的有禍了, 祂說就是把磨石算在這人的景象上丟在海裡還強如就是還比較好什麼意思呢還強如祂把這小子裡的一個絆倒了你們要謹慎也就是說一個絆倒人的而且常常不謹守自己或是故意常常去絆倒人的上帝對他的審判會比 把祂丟到海裡,讓祂沉到海裡,還要嚴厲的審判。
129.649	134.031	其實就是被丟到地獄裡面去。
134.031	142.415	祂說,你們要謹慎,若是你的弟兄得罪你,就勸戒他,他若懊悔,就饒恕他。
142.415	149.078	倘若他一天七次得罪你,又七次迴轉,說我懊悔了,你總要饒恕他。
150.213	156.115	1到2節告訴我們說要有一個門徒要有一個謹慎自守的心。
156.115	162.738	然後呢接下來3、4節告訴我們要有一個願意彼此饒恕的心。
162.738	176.324	7代表完全也代表說這個人他不斷的在得罪你可是他事後總是被聖靈提醒而願意來跟你悔改和好那你也要來饒恕他。
176.324	193.050	使徒對主說求主增加我們的信心 主說,你們若有信心向一粒芥菜種,就是對這一棵桑樹說,你要拔起根來,栽在海裡,祂也必聽從你們。
193.050	196.833	第六節告訴我們說,要有大的信心。
196.833	202.837	而大的信心是從像芥菜種一樣那麼小的信心開始。
202.837	206.680	也就是說,不要害怕環境的困難。
206.680	225.631	就算環境困難再大, 大到一個地步﹐對比你裡面的信心﹐你的信心好像很小﹐像一個小的芥菜種﹐像一隻小蚱蜢﹐但是你只要﹐有這樣的一點信心﹐做起點﹐然後繼續來仰望神﹐就足夠了。
225.631	231.335	都能夠讓神來動工﹐產生神蹟其事。
231.335	243.855	第七節﹐你們誰有僕人耕地﹐或是放羊﹐從田裡回來﹐然後呢﹐ 主人就對祂的僕人說,你快來坐下吃飯。
243.855	256.365	耶穌說,沒有一個主人會在祂的僕人做祂的本分去耕地或放養一回來之後,主人就急著跟他說,哎呀,你趕快坐下來吃飯。
256.365	259.027	耶穌說,不會有人這樣子。
259.027	268.054	第八節,豈不會對祂的僕人說,你給我預備晚飯,束上帶子伺候我。
268.609	272.950	等我吃喝完了,你才可以吃喝嗎?
272.950	285.933	耶穌說,就算你僕人在外面盡了本分,你回到家裡面,你還是得繼續盡你的本分,先讓主人吃喝完畢,你自己才可以吃喝。
285.933	291.974	第九節,所以僕人照所吩咐的去做,主人還謝謝他嗎?
291.974	303.683	這樣,你們做完了一切所吩咐的,只當說, 我們是無用的僕人,所做的本是我們應分做的。
303.683	312.992	這邊代表說我們服侍要有一個謙卑的心,不要好像以為我們為主做了什麼事情,就驕傲自大起來了。
312.992	320.719	我們要常常在主的面前說,我們是無用的僕人,我們所做的本來就是我們本分應該做的。
321.288	363.185	因為乃是主把我們從一個本來是在魔鬼罪惡死亡匣子裡面必要滅亡的罪人耶穌基督赦免了我們的罪使我們能夠有一個全新的生命得以來容神益人做上帝的僕人我們應該感恩存一個謙卑的心當然耶穌這是一個比喻祂不是說上帝像一個沒有憐憫心的主人這個比喻的重點是僕人們要有一個謙卑的心 耶穌帶領他們往耶路撒冷的路上,門徒不斷在爭執,互相競爭比較,誰的功勞比較大,以後誰可以坐在主耶穌的左邊跟右邊。
363.185	368.228	所以耶穌常常要糾正他們這樣的心態跟行為。
368.228	373.031	第十一節,耶穌往耶路撒冷去,經過撒瑪利亞和加利利。
373.031	375.493	什麼意思呢?
375.493	386.190	耶穌祂從北邊的加利利往南,然後呢,就會來到 加利利地區跟撒瑪利亞地區的交界處。
386.190	391.292	然後耶穌會經過一部分這樣交界的地區。
391.292	396.155	然後繞到加利利海的南邊。
396.155	398.897	然後呢,繼續往東邊走。
398.897	401.478	一直走到過了約旦河。
401.478	404.340	然後呢,就往南走。
404.340	407.822	然後一直走到耶利哥那一帶。
409.343	411.764	才會進到耶路撒冷。
