start	end	text
3.848	5.429	弟兄姊妹平安，我們一起來思想。
5.429	9.150	路加福音第九章十八節到四十三節。
9.150	13.793	耶穌自己禱告的時候,門徒也同祂在那裡。
13.793	19.615	耶穌禱告完之後,祂就問他們說,眾人說我是誰?
19.615	26.578	路加福音寫到這裡,已經多次的在提問,到底耶穌是誰?
26.578	46.246	其實這個答案大家早就知道,就是彌賽亞,可是當時代的人, 就算是連這些跟隨耶穌的十二使徒,他們心裡面也一直沒有辦法來接受或是很真的相信耶穌就是大家要等候的那一個明賽亞。
46.246	51.007	因此在這邊耶穌就問他們說,那別人都說我是誰?
51.007	59.710	門徒們就回答說,有人說是施洗的約翰,有人說是以利亞,還有人說是古時的一個先知又活了。
61.084	92.150	施洗約翰已經被希律安提帕王砍頭死了所以有人說你是施洗約翰復活有人說你就是馬拉基書舊約的最後一卷書馬拉基書的最後一章的最後所說的那個會有一個在彌賽亞來之前以利亞先知會先來開路有人說你就是古代的某一個先知如今又復活了耶穌說別人說 我是他們。
92.150	94.891	那你們說我是誰呢?
94.891	99.553	彼得回答說是神所立的基督。
99.553	105.135	彼得就承認你就是上帝所立的基督。
105.135	108.376	彼得終於說出了標準答案。
108.376	118.420	但是不代表彼得真的知道或是真的接受耶穌這位基督祂所要來執行的基督的任務。
118.420	154.725	基督就是受膏者 受膏者他的希伯來文發音叫做彌賽亞受膏者他的希臘文發音叫做基督那受膏者的意思就是神所設立的一個代表那在耶穌他們這個時代他們講受膏者的時候他們指的是一個特別的代表就是那位和神心意的大衛的後裔要來做彌賽亞君王要帶領他們 建立一個屬神的國度的國家。
154.725	159.108	他們都在等候這位彌賽亞來拯救他們。
159.108	164.992	耶穌就切切的祖父他們,不可將這件事情告訴人。
164.992	176.780	又說,人子必須受許多的苦,被長老、祭司長和文士棄絕,並且被殺第三日復活。
176.780	213.172	在其他的福音書讓我們看見,彼得聽見耶穌, 來回答有關於這位彌賽亞所要進行的一個最重要的任務竟然是去耶路撒冷被殺竟然是要先受苦受很多的苦然後在耶路撒冷被這些長老祭司跟文士棄絕也就是說耶路撒冷的這些領袖們會不承認耶穌是彌賽亞 然後把耶穌殺了。
213.172	244.705	而剛剛彼得代表門徒們承認耶穌是弥赛亞可是耶穌告訴彼得說我要做的那一種弥赛亞是一個為大家受苦的弥赛亞是一個會被耶路撒冷的領袖們公開拒絕不承認的弥赛亞而且他們會把我殺了我會死然後第三天我會復活 其他的福音書告訴我們,彼得聽見之後,就不能接受。
244.705	252.391	那二十三節,耶穌又對眾人說,若有人要跟從我,就當舍己。
252.391	259.237	舍己的意思,就是天天背起祂的十字架來跟從我。
259.237	278.982	耶穌如果祂要來當的受膏者,是這一種受膏者,是為世人受許多的苦,並且被 耶路撒冷的領袖公開拒絕祂是弥赛亚,并且把祂杀了,然后第三天祂才會從死裡復活。
278.982	292.148	那如果有人要跟從我这种弥赛亚,那他也要背起他自己的十字架,代表他也要有愿意 為了我所傳的這個天國的福音。
292.148	296.471	跟我一起死的這樣的一種決定。
296.471	299.514	那這是一種捨己的決定。
299.514	307.440	這個捨己不只是講可能會附上這個肉體生命被殺死的代價。
307.440	310.483	更要附上一種決定。
310.483	322.908	這種決定就是說他接受 耶穌真的就是這一種彌賽亞,而祂也真的就是上帝要派來的那一位彌賽亞。
322.908	332.032	因為這跟大部分的人,基本上祂跟所有的人所期待的要來那位彌賽亞,長得完全不一樣。
332.032	352.326	所以你如果願意跟從我這種彌賽亞,你不僅是要有隨時跟我一起被殺、受苦的這種心志, 你也要放棄舍己,放下你以前,你自己對於彌賽亞所希望的那一種願望。
352.326	356.689	你所認為彌賽亞該長成那樣,很抱歉,不是。
356.689	362.413	那你需要把那種想法也都放下,你才能真的來舍己,來跟隨我。
362.413	430.196	二次節,因為凡要救自己生命或是靈魂的, 這句話很吊詭就是說真正要救自己的生命而得著永遠的生命那你就先需要能夠放下或是捨得掉包含自己肉體的生命為了神的國神的道而死受苦也放得下自己 對於彌賽亞原本的想法和期待因為你原本想法的那種彌賽亞他無法讓大家得著真正的生命他只是一種政治上的彌賽亞他不是一個神國的彌賽亞因為神國的彌賽亞要成就的遠比政治上的彌賽亞還來得偉大還來得有價值跟意義所以呢二十五節人若賺得全世界卻 施上了自己,賠上自己,有什麼益處呢?
430.196	446.827	反把我和我的道當作是可恥的,仁慈在自己的榮耀裡,並天父與聖天使的榮耀裡,降臨的時候也要把那人當作可恥的。
446.827	464.862	耶穌說,我如果是這一種彌賽亞,傳這一種神的國, 傳這一種道,你們如果覺得很可恥,或是任何人覺得我這種道很可恥,他們不要這種彌賽亞,要拒絕我,甚至是殺了我。
464.862	478.066	他們要等候另外一種彌賽亞,要用自己的方式去拯救自己的生命,要用自己的方式去拯救自己的以色列國家,甚至是拯救世界。
478.729	568.011	那這樣的人他最後反而會失上了自己會賠上了自己他以為他賺到了全世界他用他自己的方式但是其實他是失去了一切那凡是把我跟我的道當作可恥的等到有一天我在我的榮耀裡面以及在天父上帝和天使的整個的榮耀彰顯的時候降臨的時候彰顯我就是那位 荣耀的弥赛亚的时候那我要把你们这些现在以我为耻的人我那时候也要不承认你们那时候换成是我要以你们为耻二十七节我实在告诉你们站在这里的有人在每一场死位以前必看见神的国耶稣就先宣告就是说你们现在当中有一些人在你们还没有死之前 就會看見神國的榮耀向你們彰顯因為耶穌剛剛是說有一天祂會再來祂是在祂的榮耀裡面重新降臨在地球上那時候所有的人就會知道也承認祂就是那位真正榮耀的彌賽亞但是呢在祂第二次降臨呈現祂的整個榮耀之前耶穌說你們這些門徒當中有一些人在你們還沒有死之前就會先 怎麼樣?
568.011	572.074	先看見神的國的彰顯。
572.074	581.821	28節說了這句話以後,大概有八天,大概就一個禮拜左右,耶穌就帶著彼得、約翰、雅各上山去禱告。
581.821	590.808	我們可以看見彼得、約翰、雅各這三個學生,是十二個使徒裡面,跟耶穌更為親近的學生。
590.808	593.830	然後他們就上到一座山去禱告。
593.830	596.652	正禱告的時候,他的面貌就改變了。
597.159	600.059	衣服就洁白放光。
600.059	604.440	這個就是很標準的,那個上帝的榮耀彰顯的時候。
604.440	607.581	耶穌登山變相。
607.581	612.142	耶穌彰顯祂自己,真正那個彌賽亞的榮耀的形象。
612.142	622.483	就回應了八天之前,耶穌說,站在這裡的有人在沒有長死位以前,必看見神的國。
622.483	688.318	忽然就有摩西、以利亞兩個人同耶穌說話, 摩西代表律法以利亞代表先知那這兩個人可以說是以色列人觀念裡面舊約時代兩位最重要的人物他們呢就在耶穌彰顯祂的榮耀登山變相的時候他們就跟耶穌來說話然後呢他們在這個榮光裡顯現跟耶穌說什麼話呢他們乃是 談論耶穌去世的事就是祂在耶路撒冷將要成就的事耶穌已經預告了祂會在耶路撒冷被這些宗教領袖公開拒絕公開否認說祂不是彌賽亞祂該死祂要被釘十字架而摩西跟以利亞這個時候就是要來跟這位登山變相榮耀的耶穌要來 談論有關於耶穌要被釘死在十字架的事情。
688.318	691.721	32節彼得和他的同伴都打盾。
691.721	695.644	既清醒了,就看見耶穌的榮光。
695.644	701.928	原來彼得他們不僅在最後科西馬尼園的時候在那邊睡著了。
701.928	706.031	原來在登山變相的時候他們也睡著了。
706.031	708.393	但是他們這個時候睡一睡就清醒了。
709.053	717.057	看見了耶穌的荣光,并同耶穌祂站着的那两个人,就是摩西跟以利亚。
717.057	730.764	33节,两个人正要和耶穌分离的时候,彼得对耶穌说,夫子,我们在这里真好,可以搭三座棚,一座为你,一座为摩西,一座为以利亚。
730.764	734.185	他却不知道所说的是什么。
734.185	740.677	彼得有一点就是在 不知道該講什麼,就胡言亂語。
740.677	743.979	他其實不是完全不知道要講什麼。
743.979	751.642	其實這邊在講三座棚,第一個不代表這個時候正是準備要過祝棚節的時候。
751.642	761.146	因為在舊約裡面,例如說在撒加利亞書十四章的十六到十九節,有講到一個末日的祝棚節。
761.146	771.857	就是說到末後的時候,天下的萬國萬民, 都要來耶路撒冷 過這個彌賽亞的祝朋節。
771.857	779.524	就如同我們在講 五秉二語的時候也是講到說在幕後日子的時候 有一個彌賽亞的天國宴席。
779.524	788.031	所以第一個代表彼得他認為那現在就是那個 幕後的榮耀時刻來臨了。
788.031	793.176	現在就可以來過這個 榮耀的幕後的祝朋節。
793.797	824.854	但是其實彼得的認知他是錯誤的認知但是我講說彼得不是隨便亂講話說要蓋三座棚彼得他希望或是彼得他認為現在就是耶穌要成就榮耀的時刻了耶穌就要做一個榮耀的君王因為彼得他還不接受耶穌真的會死在耶路撒冷十字架的事情因此他認為連摩西跟以利亞都顯現了 代表耶穌就要成就末日的荣耀。
824.854	832.762	因此是不是可以准备来过末日的祝彭节。
832.762	839.388	所以对于路加他就说彼得他其实不太知道自己在说什么。
839.388	840.550	说这话的时候有一朵云彩来遮盖他们。
