start	end	text
3.848	5.389	弟兄姊妹平安，我們一起來思想。
5.389	9.312	路加福音16章第一節到第13節。
9.312	20.540	耶穌又對門徒說,有一個財主的管家,別人向他主人來告發這位管家,浪費主人的財物。
20.540	27.405	主人就把他叫過來,對他說,我聽見你這件事,怎麼樣呢?
27.405	32.889	把你所精管的給我交代明白,因為你不能再做我的管家了。
34.309	70.717	路加這邊又繼續收錄耶穌所做的一個比喻在第15章裡面曾經提到那個浪子他分了家產之後就到遠方去浪費資財耗盡一切因此16章這邊又講了一個財主的管家他也浪費主人的財物但是呢這是一個不對的行為因為他是一個不義的管家第三節 那個管家心裡說,主人要把我辭退,不用我再做他的管家。
70.717	73.718	那我將來要做什麼呢?
73.718	75.678	要去除地嗎?
75.678	76.859	我沒有力氣。
76.859	78.319	要去討飯嗎?
78.319	81.000	我怕羞,不好意思。
81.000	83.261	我知道怎麼行。
83.261	88.742	好叫人在我不做管家之後,接我到他們家裡去。
88.742	95.030	什麼叫做我不做管家以後, 別人會把我接到他們家裡去做什麼呢?
95.030	107.512	他的意思很可能是指著說,什麼樣用一個方法,讓我被這個主人開除之後,有別的人,會請我到他家去做管家。
107.512	116.494	第五節,於是把欠他主人債的,一個一個地叫來,開頭一個說,你欠我主人多少?
116.494	119.575	他說,一百樓油。
119.575	148.447	哇,那代表這個, 欠債的人也不是一般人,代表他也是相當有錢有勢的人,不然怎麼可能過去曾經跟這個有錢的主人借的,欠了他一百樓油,代表跟他有生意往來的另外一個商人,他欠了這個有錢的主人一百樓油,代表他本身也是一個商人,也是一個實力派。
148.447	154.673	因此這個管家就說,拿你的帳, 快坐下,寫五十。
154.673	160.717	這個不義的管家,腦袋其實是蠻精明的,蠻詭詐的。
160.717	167.802	他就說,那不用了,把你的這個帳改成,只欠我主人五十樓由。
167.802	173.346	他就是要巴結施恩惠給這個欠債的人。
173.346	185.801	他希望說有一天,我如果真的被我主人開除了,搞不好你會念在我曾經幫你減免了一半的欠債, 就聘請我,到你家裡面去,做你的管家。
185.801	189.104	第七節,又問一個說,你欠多少?
189.104	190.746	他說一百袋麥子。
190.746	192.748	哇,這也是一個天文數字。
192.748	199.396	一百裸遊,一百袋麥子,都是一個人做工,做好幾年的薪水。
199.396	202.459	管家說,拿你的帳,寫八十。
202.459	215.803	他也希望說, 如果哪一天做不了祖人的管家,可以去你下一個人這個家裡面,因我有恩惠於你,你可以請我做你的管家。
215.803	220.847	祖人就誇獎這個不義的管家,做事聰明。
220.847	239.432	祖人就誇獎,或是稱讚說,我這個管家有夠精的,有夠會精打細算的, 有個會運用這個錢財,為他自己安排他的後路。
239.432	254.818	所以他誇獎是說,或是有一種這種說,你真的是太精明了,雖然你是在亂搞我的財務,但是說真的, 我還真的不得不佩服祢,祢的腦袋還是滿精明的。
254.818	265.660	所以是這個意思,不是誇獎他做了這個不義的事,是說,你這個人真是會算,真會打算盤,我真的服了你。
265.660	276.721	因為,這個主人說,因為,耶穌說,因為今世之子在世事之上,較比光明之子更加聰明。
276.721	290.153	這句話有一點拗口,它的原文意思是, 這世代之子,面對自己的世代,是比光明之子更為精明。
290.153	302.843	耶穌說,這個不義的管家,就是這個世代裡面,一個頭腦精明,一個非常熟悉這個世界運作規則的一個人。
302.843	321.712	因此,今世之子,面對屬於他們自己的這個世界,面對屬於他們自己這個世代, 他們是很精明的,很知道怎麼樣去運用一些資源,為自己的將來做更好的安排跟打算。
321.712	327.316	所以呢,這個反而是光明之子,代表就是說門徒。
327.316	337.522	你們反而常常對於怎麼樣運用今生今世,神給你們的一些機會、資源,然後去做討神喜悅的事。
338.985	343.847	去榮耀神,為神國來擺上。
343.847	353.071	反而光明之子,比較愚笨,在這一些事情上,如何運用神給你的資源,去榮神益人。
353.071	356.992	反而光明之子,這方面比較沒那麼精明。
356.992	363.515	耶穌繼續說,我又告訴你們,要藉著那不義的錢財結交朋友。
363.515	369.555	不義的錢財指的就是,這些, 今世之子的錢財。
369.555	401.645	也就是說要使用屬於這個世界上的這些帶不走的這些錢財資源然後呢結交朋友就是說來這個傳揚福音來做容神益人的事情到了錢財無用的時候就是說到了天上的時候上帝要這個來獎賞你的時候 他們可以接你們到永存的帳目裡面去。
