start	end	text
0.469	64.936	這個時候我們就必須要從神的話語來理解到底獨處跟寂寞的根本的原因是什麼為什麼獨處跟寂寞那麼的重要為什麼必須要把獨處跟寂寞放在你和我的生命的生活的這個當中這個時候我們看到說其實 獨處跟靜默的一個需要是在於我們需要笑話耶穌基督的榜樣在耶穌的生命當中裏面祂有獨處有靜默更何況你和我我們要笑話祂的生命榜樣也需要有獨處跟靜默的時刻作為上帝的兒子祂留下這個生命的榜樣你和我應當學習這樣一個生命的榜樣在新約的聖經當中裏面多次提到基督耶穌祂是那位善於獨處 善以靜默的那位主耶穌基督,在祂靜默當中裡面,祂聽到神的聲音,聽到神的領導。
64.936	74.706	所以這個是我們來看一下馬太福音這邊的第四章的第一節,這裡提到說,當時耶穌被聖靈引到曠野,受魔鬼的試探。
75.674	142.145	那麼這裡我想大家對這個經文的背景非常的熟悉在耶穌基督的服事的開始我們看到說聖靈引導祂到曠野做什麼呢受魔鬼的試探這裡沒有看到說聖靈引導耶穌說方言這裡沒有說聖靈引導耶穌基督說預言這裡沒有聽到說沒有看到說聖靈引導基督耶穌行神蹟啟示沒有這裡看到說耶穌被聖靈引導到曠野受魔鬼的試探 所以很多時候這個試探本身在這裡很明顯的看到說我們對聖靈的理解工作的理解非常的薄弱聖靈也甚至於在耶穌的生命當中裡面引導祂進入這個試探的這個狀態當中裡面對約伯來講我們看到說祂的試煉也可以成為祂的試探很多弟兄姊妹在祂的試煉當中裡面因為受試探導致祂跌倒導致祂遠離神 基督耶穌本身在祂的服事的開端的時候,神的靈引導祂到曠野裡面,那邊有四十天,基督耶穌過著獨處跟靜默的生活。
142.145	147.986	在祂服事的開始,基督耶穌就馬上進入這種獨處跟靜默的生活。
147.986	155.611	同時,在路加福音第四章的第一節又提到, 類似的這個教導,也是在弗雷福音裡面所提到的。
155.611	162.857	耶穌被聖靈充滿,從約旦河回來,聖靈將祂引到曠野,試天受魔鬼的試探。
162.857	169.002	再次提到說,耶穌被聖靈充滿,不是說方言,不是說預言,乃是什麼呢?
169.002	172.624	被聖靈引到曠野裡面,祂再次有試天的。
173.285	177.766	不但受魔鬼的試探,同時祂視天,祂獨處與靜默。
177.766	181.207	弟兄姊妹,獨處跟靜默是不容易的地方。
181.207	187.869	在耶穌的生命上,看到說獨處跟靜默會面對魔鬼的試探。
187.869	197.912	不容易,很多時候沒有辦法留在那邊,但是如果你學會留在那邊的時候,其實你在那個生命的時刻當中裡面, 會有很大的突破。
197.912	201.193	好,這個是耶穌的這個生命的例子。
201.193	210.135	同樣的,在路加福音的第4章的第14節提到說,耶穌滿有聖靈的能力回到加利利,祂的名聲就傳遍了地方。
210.135	217.737	不過大家看這個經文的脈絡的時候就知道說,這個經文前面提到基督在礦裡面有四天的獨處跟寂寞。
217.737	223.759	祂獨處跟寂寞之後,路加告訴我們說,祂滿有聖靈的大能。
224.787	236.214	回到佳利,他這個四天的獨處,沒有吃,沒有喝,但是回到這個城市裡面就要開始, 服侍神,祂蠻有能力的來服侍神。
236.214	244.920	就告訴我們說,獨樹根寂寞是一個賜能力的一個地方,是一個讓我們可以被神的靈充滿的地方。
