start	end	text
0.486	14.959	讓我跟大家先做個禱告。
14.959	19.883	這禱告本身不是我的禱告,是另外一個人的禱告。
19.883	25.749	那麼,你和我一般在我們的這個信仰傳統裡面,我們禱告是比較即興的。
27.073	30.775	我們很多時候是想到什麼就說什麼,不是嗎?
30.775	33.597	很少我們把我們禱告把它寫下來。
33.597	36.039	我會鼓勵弟兄姊妹把你禱告寫下來。
36.039	43.603	很多時候我們的禱告本身沒有經過一些比較深刻的生命的反思,我們就把它說出來。
43.603	50.868	所以因此這個禱告是一位希臘小說家的禱告,這位小說家叫做尼古斯卡桑扎基斯。
51.530	84.469	他寫過本書叫做Zobra the Greek就是希臘佐巴不是你們這邊附近的那個希臘佐巴他是個挺有名的一位小說家那麼他的這個禱告本身每次我禱告的時候都非常的感動我但願這個禱告也感動大家這禱告本身提醒我們應該對神我們所信的神更多的開放讓祂在我們生命上有祂獨特的作為這個禱告怎麼說呢祂說主啊我是祢手上的弓啊 主啊,我是祢手上的弓。
84.469	89.113	把我拉開,不然我會腐爛。
89.113	95.017	不要拉得太過分,不然我會被拉斷。
95.017	97.439	哎呀,要拉就盡量拉吧。
97.439	100.241	主啊,斷又怎麼樣呢?
100.241	103.663	弟兄姊妹,這個滿精彩的一個禱告不是嗎?
103.663	106.505	容許我再跟大家慢慢再說一次。
106.505	108.427	主啊,我是祢手上的弓。
110.930	115.431	把我拉開,不然我會腐爛。
115.431	119.953	不要拉得太過分,不然我會被拉斷。
119.953	124.554	哎呀,要拉就盡量拉吧,主啊,斷了又怎麼樣呢?
124.554	127.255	如果神要拉我們,斷了又怎麼樣呢?
127.255	131.856	但願你和我是神手中所使用的器皿。
131.856	136.558	當神在拉我們的時候,其實祂拉斷又怎麼樣呢?
136.558	149.499	但願從這個禱告做我們今天晚上學習的一個出發點, 那麼今天我們來到就是我們的這個第三個部分,就是跟大家來思考四種不同的靈修學的這個形態。
149.499	155.082	那麼我要幫大家分析一下,其實我們的靈修傳統非常的豐富。
155.082	165.528	那麼在我們的教會當中裡面,可能我們只是中間的一個傳統而已,我們需要 融入其他不同的傳統。
165.528	174.150	談到四種不同的靈修學的形態,大綱本身應該在網路上可以直接的下載。
174.150	182.653	我們就跟大家來思考,在整個神學的領域當中,其實有兩種不同的神學的進入。
183.353	185.955	兩種不同的神學進入。
