start	end	text
0.520	49.646	再次回來聽說那個什麼過去的這個講座的傳統就是越講以後面人越少所以可能最後就有十二個門徒跟著我所以那個什麼但願那個什麼大家有恆心 因為它這個是有一個脈絡在那邊所以我們上禮拜是跟大家談到就是對靈修靈修學的認識所以那個也跟大家談到就是關於屬靈的塑造的這個部分的一個了解那麼今天我們跟大家來了解就是 讓大家跟我走一趟旅程,這個旅程就是關乎靈修的這個神學的發展史。
49.646	53.987	那麼我想這個背景,這個歷史背景,對大家有極大的幫助。
53.987	62.310	那麼你和我都佛在傳統的當中,我們是承襲過去兩千年的這個非常豐富的這個傳統。
62.310	67.491	所以因此, 今天你看我怎麼靈修,其實不是我們想出來的。
67.491	76.013	今天臺灣教會本身有導讀,我想新友堂可能沒有導讀,在附近的一些教會本身他們是有導讀的。
76.013	80.814	這個導讀本身也是承襲過去的這個靈修傳統。
80.814	95.538	我們所用的這個活泼的生命也好,或者是每日靈良,或者是這個還有什麼這個最近好幾本這種所謂的靈修的這些的作品, 天父上帝,我們感謝祢,我們為這個教會感謝。
111.408	111.608	阿們。
132.688	141.214	那麼我們就跟大家來思考一下過去這2000年的豐富的這個什麼這個靈修的這個傳統跟靈修的這個歷史。
141.214	146.679	那麼優先的我們當然就是回到2000年前最早教會的那個靈修。
146.679	151.923	那麼跟大家了解一下最早教靈修本身叫做殉道的靈修。
152.483	156.844	訓道本身對你和我來講是非常陌生的。
156.844	167.488	在我們臺灣教會本身基本上不談訓道,我們比較談的就是財富轉移,或者是你信耶穌就會讓你發大財。
167.488	174.610	所以在臺灣教會本身我們對這個訓道非常陌生,我們的孩子本身也對訓道非常的陌生。
175.230	181.995	早期教會的父母親對死亡有不同的瞭解,對生命有不同的瞭解。
181.995	187.179	今天我們的醫學發達,我們想盡辦法要守住一個生命。
187.179	193.964	所以傅達仁他選擇所謂的安樂死,我們就覺得說這個合適嗎?
194.258	198.822	因為新耶穌人祂怎麼可以選擇把祂自己生命做結束呢?
198.822	202.164	所以在倫理學裡面有很多方面的討論。
202.164	210.030	臺灣教會本身一些年輕人也看到這個問題也想了解說到底按照我們的基督教倫理學本身這個是何以嗎?
210.030	215.173	所以因此看到說其實在我們這樣一個 發達的這個醫學的這個裡面。
215.173	217.354	我們其實我們的生命觀本身。
217.354	219.815	就是要怎麼去延長生命。
219.815	221.756	怎麼讓生命活得更好。
221.756	222.716	所以像大家。
222.716	223.756	中產階級的弟兄姊妹。
223.756	225.377	我們知道說其實大家。
225.377	228.078	很知道要怎麼把自己養生。
228.078	229.819	不管是喝什麼東西。
229.819	231.119	或吃什麼東西。
231.119	233.140	或有什麼樣的運動。
233.140	234.901	幫助我們可以養生。
234.901	236.941	幫助我們可以過得非常好的生活。
236.941	239.162	但是早期教會的這些的信徒們。
239.162	240.603	他們對生命的了解。
241.203	244.885	跟我們不同的,他們覺得生命不重要。
244.885	250.167	他們覺得說生命不重要,他們覺得說跟隨耶穌比較重要。
250.167	257.351	因此當初最早的教會裡面,他們父母親帶著孩子去為主而殉道。
257.351	263.593	那麼殉道本身我們知道說其實可以了解, 最早的教會本身其實他們是受逼迫的教會。
263.593	267.374	但是談到逼迫的時候,弟兄姊妹也不應該有個錯誤的理解。
267.374	270.455	覺得逼迫本身是持續性的。
270.455	272.556	沒有,是間斷性的。
272.556	276.817	然後也是看地區,有的地區本身逼迫比較強烈。
276.817	282.259	也要看那個羅馬的皇帝,在一些皇帝的當中裡面,逼迫比較激烈。
282.259	292.982	比如說尼羅王的這個逼迫,比如說戴克黎先的這個逼迫,都是在這些逼迫之下,我們看到說教會得到極大的 傷害跟衝擊。
292.982	299.925	所以因此對逼迫理解我們知道說其實不是一個全面性不停的逼迫。
299.925	305.167	但是我們知道說最早教會本身是一個不能被羅馬帝國所接納的那個教會。
305.367	311.110	因此當時候逼迫可以說是很平緩的事情。
311.110	315.852	所以當時候最早的教會本身就發展出所謂的殉道的靈修。
315.852	318.494	那殉道靈修在講什麼呢弟兄姊妹。
318.494	324.157	殉道靈修本身就是非常強調跟基督耶穌的生命認同。
324.157	327.599	跟基督耶穌的生命跟受難認同。
327.599	336.356	所以因此 從一開始的時候,我們看到說,靈修所關心的就是怎麼效法主耶穌基督的生命的榜樣。
336.356	346.962	就如同我們上禮拜跟大家提到,在《羅馬書》的第八章裡面,保羅就告訴我們,其實從這個太古,從創造以先,神對你和我的安排,就是什麼?
346.962	351.306	要你和我效法, 耶穌基督生命的這個模樣。
351.306	354.729	那麼一位殉道者本身,弟兄姊妹,就是一位見證者。
354.729	368.163	那個殉道,馬吐瑞亞,就是一個見證者,就如同在新約的路加所記載的那個使徒行傳裡面的第一章第八節,就是我們要為主做見證人, 直到這個地級。
368.163	372.427	所以我想在新友堂多年有這個宣教週。
372.427	379.993	我不曉得過去宣教週的這些,接下來分享的這些宣教士本身,有沒有告訴他說,做見證很要命。
379.993	382.615	為主做見證,為主宣教很要命。
382.615	385.657	有可能沒有,可能會威脅到我們的生命。
385.657	391.141	但是我們看到說,其實我們還是對這樣的信息本身非常的陌生。
391.141	395.605	一個最經典的一個宣道靈修的一個典範,就是來自於史蒂凡。
395.845	404.352	大家都知道這位為主殉道的那位史蒂凡,旁邊也看到說保羅也見證這個史蒂凡為主而殉道。
404.352	406.974	史蒂凡當時候是被石頭打死的。
406.974	411.397	弟兄姊妹這個是非常恐怖的,非常痛苦的。
411.397	417.982	這個石頭據我了解不是大石頭,不是一個大石頭把你一扎就把你扎死,不是這樣子。
417.982	420.664	是小的石頭,中型的石頭慢慢的把你打死。
421.305	451.059	那你整個身體骨頭都碎了是這樣子一個方式讓一個人來死所以史蒂凡本身留下一個非常美的榜樣他代表一位真正跟隨耶穌基督的門徒他在他的殉道裡面以他的主耶穌的生命認同當他殉道的時候最早的殉道本身其實發展出三種的殉道第一種殉道叫做白色殉道 第二種訓道叫做所謂的紅色訓道。
451.059	455.102	第三種訓道就是所謂的藍色訓道。
455.102	456.824	那麼白色訓道是什麼呢?
456.824	466.773	白色訓道本身就是天天過所謂的敬意或者敬戒的生活。
466.773	470.436	為了基督耶穌的緣故, 繁體中文，臺灣國語。
470.436	472.538	繁體中文，臺灣國語。
472.538	473.598	繁體中文，臺灣國語。
490.930	496.731	悔罪的生活,這個就是所謂的藍色的殉道。
496.731	500.452	還有第三種殉道,就是紅色的殉道。
500.452	505.754	紅色殉道本身也被稱為是血洗,就是流血的血洗。
505.754	508.434	你看我都知道說有水洗。
508.434	510.415	在座的弟兄姊妹,你們應該都說過洗吧。
511.118	521.484	這個是每一個相信耶穌基督的人都需要在公開的場合裡面跟大家宣告說,我不再屬於魔鬼,我是屬於主耶穌基督的。
521.484	527.207	所以那個洗禮本身是非常的隆重,也非常的嚴肅。
527.207	527.547	為什麼?
527.547	531.880	因為你下到那個水墳墓,弟兄姊妹, 我们了解水洗。
531.880	534.844	我们看到说,其实圣经上也提到另外一种洗,叫做灵洗。
549.462	554.946	我想,我猜,在某些教會裡面,他們比較多談到聖靈的洗。
554.946	560.871	我不曉得在信仰堂,會不會你們的長老教導你們關於這個聖靈的洗。
560.871	567.115	那麼在新約裡面就記載說,約翰說,那個以後要來的,能力比我更大。
567.115	574.661	我淋解他的鞋帶都不配,我是用水給你們施洗,但是他用聖靈以火給你們施洗。
575.691	580.714	那麼這一條說是耶穌基督用聖靈給我們施洗。
580.714	583.416	那到底基督耶穌什麼時候用聖靈給我們施洗呢?
583.416	594.403	如果大家仔細讀這個新約的這個書卷的時候就知道說其實在五神集的時候當基督耶穌升天之後祂就把聖靈導入在教會的裡面。
594.403	597.966	那談到這個靈洗本身其實非常重要。
597.966	598.686	為什麼重要呢?
598.686	605.471	因為在我們的教導裡面其實在我們重生得救的時候我們同時也受了聖靈的洗。
605.691	627.046	那麼我們就進入了有聖靈內住的這種的生命所以在住的每一個弟兄姊妹在你重生得救的時候你有得到這個靈洗那麼同時也得過這個水洗 那這點其實很重要,因為這點本身跟傳統的五純潔派的教導,弟兄姊妹是不同的。
627.046	635.112	在五純潔派裡面的教導本身基本上,就是說領洗是後來的,你先有重生得救,再有後來有領洗的這個經歷。
635.112	644.178	領洗本身是可以說是第二次的那個祝福,第一次的祝福本身就是我們重生得救,第二次的祝福本身就是我們的聖靈的洗。
644.178	646.679	那麼在五純潔派裡面他們怎麼教導呢?
646.679	649.941	當你領洗的時候一定要有一個證據,叫做什麼呢?
649.941	650.442	叫做方言。
651.732	656.399	方言被稱為是領洗的一個最重要的見證。
656.399	662.086	所以你會發現到在臺灣可能這些牧師們他們會鼓勵弟兄姊妹說方言。
662.086	668.195	但是那個神學本身應該是根據在五十年中派的那個對於領洗的這個理解。
668.916	671.097	那麼談到五十年宗派,大家理解嗎?
671.097	689.790	在臺灣有好幾個很大的五十年宗派的教會,像神昭會,像這個四方教會,或者這個所謂的聖結會,包括其實那個什麼,還有一個教會從加拿大來,我現在稍微想不起來那個教會,那個在台中。
690.350	697.392	他們有一個滿大的宗派本身,他們也是屬於五十九宗派的那個教會。
697.392	701.173	所以這個是五十宗派本身他們對靈洗的教導。
701.173	706.474	所以這裡我們談到第三個洗,就是學洗,就是紅色的殉道。
706.474	707.434	那麼就是什麼呢?
707.434	712.353	在耶穌基督的死上, 跟基督耶穌全然的認同。
712.353	724.484	他如同基督耶穌這個受死,一位殉道者本身也看到說也同時也因為殉道緣故,就為基督耶穌的緣故而死。
724.484	733.051	那麼談到這個殉道的時候,看到說紅色的殉道,談到這個殉道的靈修的時候,其實有幾個非常重要的早期的殉道者。
733.051	746.482	不好意思,今天晚上我所講的就是這幾個,其實有一個殉道使, 過去在教會裡面,其實很多弟兄姊妹會,很多教會的牧師會教導弟兄姊妹關於這個殉道的這個豐富的傳統。
746.482	751.566	在臺灣沒有這個,在美國這幾年也沒有這個,在過去其實有。
751.566	759.072	我記得我在高中時候裡面,就會在教會當中裡面,牧師會談到,或者鼓勵我們看一些殉道史的這個東西。
759.072	764.796	那麼最早的教會本身,其實有幾個非常重要的殉道者,這裡就提到說那位誰呢?
764.796	785.912	這個安提亞的伊格納丁, 那麼這位易格納丟本身是一位很早的一位當時候的一位主教在安提亞木會的那位牧師那麼易格納丟本身今晚上我們稍微跟他了解一下他大概在主後107年他就 就是被神接回天家。
785.912	787.893	當時我們知道說他被抓。
787.893	791.795	被抓的時候,我們看到說就被押到這個羅馬去。
791.795	795.638	那麼在羅馬受審,如同保羅的經驗一樣。
795.638	799.040	那麼在這個路上的時候,他就留下這個十封信。
800.981	804.767	就談到他的這個靈修觀念,談到他的神學。
804.767	810.615	那麼伊格納帝歐本身,他留下一個非常棒的一個立場。
810.615	815.863	當他在談到他的這個什麼,這個殉道的時候,他就渴慕。
816.544	819.205	科穆他把自己說成什麼呢?
819.205	822.645	就是神的脈子。
822.645	824.986	他就描繪自己為神的脈子。
824.986	833.648	他情願這個脈子放在野獸的嘴巴,被咬碎磨成粉,做成奉獻給神的麵包。
833.648	840.289	弟兄姊妹,不要用麵包店當作他們的廣告。
840.289	850.948	我是神手中的脈子,我情願讓野獸 把我這個麥子咬碎磨成粉,然後給烘焙成麵包奉獻給神。
850.948	854.369	這個是讓我們印象非常深刻的那位伊格納丟。
854.369	859.291	伊格納丟本身就讓我們看到最早教會的那個出行。
