start	end	text
0.691	19.297	繁體中文， 祷告本身看到說是神與人的一種生命的一種的交融、交通的這個關係。
19.297	28.668	那麼剛才我提到說,給大家提了好幾個原則,幫助我們去辨識,到底是否是來自於神的這個聲音。
28.668	31.231	那這個時候再跟大家分享約翰福音。
31.852	36.955	約翰福音的這個經文關於聆聽神的這個部分。
36.955	45.160	大家看一下約翰福音的第十章,我們來看這邊的第四節跟第五節跟這邊的第十四節。
45.160	52.904	我們來看約翰福音的第十章,那麼這邊的第四節、第五節和這邊的第十四節。
52.904	57.937	那這個經文告訴我們說其實, 怎麼聆聽神?
57.937	60.379	怎麼知道這個聲音是來自於神呢?
60.379	64.363	我們再次跟大家強化這個概念。
64.363	67.886	請大家看這邊第十章的第四節。
67.886	72.170	既放出自己的羊來,就在前頭走。
72.170	76.294	羊也跟著牠,因為認得牠的聲音。
76.294	80.898	羊不跟從牲人,因為不認得牠的聲音,必要逃跑。
81.971	89.795	所以這裡耶穌告訴我們說,屬於祂的羊,祂認識牠牧人的聲音。
89.795	93.357	那麼這個羊怎麼對牧人的聲音熟悉呢?
93.357	97.780	因為牠常常聽到牧人對牠說話。
97.780	108.506	如果今天哪一個詐騙集團要打電話給我的話,我知道說這個不應該是我太太打來的,因為我認識我太太的聲音。
108.933	114.117	知道說那個不是我太太的聲音,是這個詐騙集團的聲音。
114.117	118.440	如同一般的基督徒本身,怎麼知道這個是來自於神呢?
118.440	121.222	他熟悉神的聲音。
121.222	130.168	所以這裡原則其實很簡單,我們越熟悉神的聲音,我們越可以辨識這個是不是來自於神。
130.168	137.033	再看這邊的第14節,這邊說我是好牧人,我認識我的羊,我的羊也認識我。
138.507	164.100	所以這裡很明顯的看到說,其實我們這些屬於神的人,不但神認識我們,我們也認識這位牧羊人,認識他說話的方式,認識他的這個聲音,所以我們會期待跟他常常有這種的生命的 有這種所謂的交融的關係。
164.100	168.583	這個是跟大家提到禱告的重要性。
168.583	217.114	我們來到我們講義的第三頁,下面所提到的禱告本身,前面禱告是一種所謂的嘴唇的禱告, 這個時候看到說禱告本身是一種交融一種生命的交融不曉得這個翻譯好不好那麼這裡看到說禱告是一種共融一種交融的這個關係這邊跟大家分享三種不同的禱告那麼當然你看我最熟悉的禱告方式就是這邊的第一種就是口禱的方式剛才稍早我們已經提到這個部分口禱的這個部分那麼 這裡看到說口禱本身也被稱為是嘴唇的這個禱告。
217.114	224.702	那麼口禱本身其實很多時候我們這樣禱告的時候是想到什麼就說什麼。
224.702	231.128	很多時候我們禱告本身就是我們有什麼需要我們就跟神來做這個報告。
234.343	238.466	把我們的需要向祂來呈現,呈現。
238.466	242.710	那這個是一般我們最熟悉的那個口禱的這個部分。
242.710	245.292	那麼這個是第一個部分。
245.292	245.993	第二個部分是什麼?
245.993	248.415	就是理性的禱告。
248.415	251.558	默想也是一種禱告的方式。
251.558	255.621	這是第二個,第二個這個,可以說第二個層次。
255.621	261.845	這個可以說是更深的 可以說是超越那個口禱的部分。
261.845	265.807	那麼你進入神話語的世界。
265.807	270.650	那麼在神話語的世界裡面找到你生命的這個定位。
270.650	276.573	你在神話語的這個故事當中裡面找到你的故事的這個方向。
276.573	315.135	所以這邊的第二個種禱告,這個默想式的禱告本身是超越前面的那個什麼 口禱的這個部分那麼第三個部分本身什麼就是那個心靈的禱告就是這邊所說的末關的這個禱告那末關的禱告本身我們上禮拜跟大家稍微已經提過這末關式的這個禱告那麼這裡其實跟大家再次的強化這個所謂的末關的這個禱告這裡來看一下我們講義上所跟大家所提到的這個部分請大家看一下 這邊的講義上所說的。
315.135	326.197	那麼在講義上所提到的什麼就是,如同我們在引用一位學者,一位靈修學者他對禱告的這個教導。
326.197	338.160	祈禱就是將你的頭帶進你的心,示力在內住你心中的那位無所不在、無所不知的神面前。
338.660	370.617	祷告本身不只是在嘴巴上,不只是在我們的頭腦上,我們前面提到口禱,提到這個理性的默想式的這種禱告,但是這邊的那種所謂的默觀本身是更深刻的禱告,不只是在理性上面,在嘴巴上面,但是心跟心的一種神的生命的互動,如同這位Theophon所說的, 祷告本身是將頭帶進你的心,將思帶到你的心。
370.617	375.801	有人說從思想到心裡面是全世界最遠的地方。
375.801	383.846	那麼我們很善於思想,但是我們看到說我們心跟心,我們跟神沒有心跟心的這種的生命的關係。
384.326	392.929	然後在這裡跟大家來了解這種的禱告,這種末關式的禱告,這個新禱本身,其實它有幾個意義在這邊。
392.929	401.593	其實大家看這邊的第一個部分就是,它是一種愛的專注在神的身上,以在神裡的安息。
402.073	417.367	那麼上禮拜我們跟大家提到,末關這個字本身,如果從那個字根來了解的話,那個字contemplation,我們知道說它有兩個部分,如同那個字compassion,有兩個部分,com就是所謂的一起的意思。
417.807	426.472	那麼passion就是受難受苦的意思,因為有憐憫的人,弟兄姊妹就是願意那些受難受苦的人在一起。
426.472	442.300	那麼這個字contemplation本身就是在temple,在神的聖殿中跟神在一起,在那裡瞻仰祂的榮美,在那裡等候祂,在那裡享受祂的寶寶,享受祂給我們的那種安息。
442.300	444.702	弟兄姊妹,這個就是末關的這個部分。
445.282	467.438	那麼我再次跟大家引用那個經文,就是來自於詩篇27篇的第四節,我讀給大家聽,詩篇27篇的第四節,那裡詩人說,有一件事情我曾求耶和華,我乃要尋求,就是一生一世住在耶和華的殿中,瞻仰祂的榮美,在祂的殿裡求問。
467.438	482.488	這也很明顯的,就是在祂的殿裡求問, 就那個字contemplation在店裏面跟神在一起看 仰望、瞻仰祂的榮美。
482.488	493.215	海節經文本身可以考慮就是詩篇六、三篇的第二節,我在聖所中曾如此瞻仰祢,為要見祢的能力和祢的榮耀。
493.215	502.121	詩人又說祂期待在神的聖所當中,在神的面前,在聖殿當中裡面跟神在一起瞻仰神。
503.422	511.008	那這個時候我們就來看前面有經文上的教導,同時我們來看如營怎麼說關於這個末關的這一個部分。
511.008	514.071	請大家看一下在我們講義上所呈現的。
514.071	528.642	他說,這裡提到說,使天父最無法抗拒的,往往是小孩子那簡單重複的話,遂理口中的一句話,就是以贏得神的憐憫。
529.343	536.849	強盜出自信心的一句謙卑的祈求,就是以使他得救。
536.849	546.216	祈禱時化太多,使心思分散,簡單地自拒,使心思專注。
546.216	552.941	所以提到這種所謂的默觀的時候,那個禱告是越簡單越好。
552.941	576.587	我發現很多時候在教會越久的 基督徒,禱告越來越長,我們覺得精采的禱告越來越長,但其實禱告越簡單越好,因為如同奴隱所說的,要常禱告的話,你不但用你的這個思想, 你要想盡哪一句經文,哪一句好聽的話,來禱告。
576.587	585.890	在這裡,如云提醒我們說,祈禱時話太多使心思分散,簡單的字句使心思專注。
