start	end	text
4.258	7.545	弟兄姊妹平安，我們一起來思想馬可福音第一章一到八節。
7.545	9.930	我們先來介紹馬可福音。
9.930	13.618	馬可福音他是四福音書裡面篇幅最短的。
13.618	14.400	他只有十六章。
15.742	49.791	再來呢馬太、馬可、路加這三選福音書他們的結構跟他們的方向很類似跟另外一個叫約翰福音差異性比較大所以這三選福音書被稱為福類福音書就他們的類型比較符合叫福類福音書再來他們也被稱為對關福音書 也就是說他們這三卷書的內容﹐很多有重疊的地方﹐也有很多可以互相補充的地方﹐所以可以對照著來觀看。
49.791	55.053	在馬可福音書呢﹐他在過去一千多年的教會歷史裡面﹐比較不被看重。
55.053	56.074	為什麼?
56.074	64.077	因為他被認為是﹐馬太福音和路加福音的﹐濃縮版﹐比較精簡的版本。
64.077	65.318	因此他比較不被看重。
67.056	75.100	但是在十九世紀﹑二十世紀的﹐興起的所謂的經文鑑別學裡面﹐就產生新的想法。
75.100	82.384	經文鑑別學它推論﹐這個路加跟馬太應該是參考馬可福音的。
82.384	89.448	所以馬可福音可能更接近﹐耶穌時代跟使徒時代﹐他們很多對耶穌的看法。
89.448	93.650	所以馬可福音在過去這一百多年來﹐他的地位忽然就提升很多。
95.452	103.076	再來我們談到馬可福音的作者教會傳統大部分都認為他是屬於馬可來寫的。
103.076	110.659	馬可是巴拿巴的表弟在這個使徒行傳裡面出現很多次。
110.659	115.156	教會傳統也認為 在這個使徒行传第一章裡面。
115.156	117.357	圣灵在五旬节大大浇灌。
117.357	119.478	在一百二十位基督徒。
119.478	121.439	他们聚集在一起。
121.439	122.299	祷告等候圣灵浇灌的地点。
122.299	122.800	教会传统认为就是在。
122.800	123.380	马可他妈妈玛利亚。
128.114	132.239	的房子裡面,所以也被稱為馬可樓。
132.239	152.469	再來呢,在這個使徒行傳第12章的時候,當彼得他在監獄裡面,因為天使去拯救他,使他神奇的出了監獄之後, 他第一件事情就是到這個馬可的媽媽瑪莉亞他的家裡面去。
152.469	160.291	因為他知道弟兄姊妹都是聚集在那個地方為他能夠得救來禱告。
160.291	174.975	所以我們可以看見就是說其實馬可他跟這些使徒們還有初代教會這些領袖可能非常的熟悉彼得自己也在這個彼得前書5章13節裡面稱呼馬可是他屬靈的兒子。
175.435	187.101	所以教會一般的傳統就會認為彼得把他親自對耶穌的所見所聞告訴了馬可由馬可來寫出馬可福音。
187.101	212.735	馬可這個人呢他的生命也有戲劇化的轉變一開始在使徒行動裡面記載他的表哥巴拿巴要栽培他訓練他所以就帶著他跟保羅一起去宣教之旅想不到走到了一半馬可就走人了 這件事情也引發了後來馬可、巴拿巴跟保羅之間意見不合,他們就分開了。
212.735	218.839	但是經過若干年之後,看來馬可成熟很多,保羅也重新接納他。
218.839	225.884	保羅在《哥羅西書》第四章第十節的時候稱呼馬可為他親愛的同工。
225.884	227.465	我們就來看一下馬可福音的內容。
228.848	233.712	馬可福音第一章第一節,神的兒子耶穌基督福音的起頭。
233.712	236.614	這句話是整個馬可福音寫作的重點。
238.148	243.814	第一節他的希臘文的原文,跟中文的編排次序不一樣。
243.814	252.062	希臘文的原文是起頭,然後是福音,再來是耶穌基督,最後是神的兒子。
252.062	258.369	所以呢,馬可福音就是要從福音的起頭開始講起。
258.369	259.250	那什麼叫福音?
260.486	272.916	福音我們現在都說叫做好消息可是呢在耶穌時代在馬可時代他們對於福音的理解可能跟你我現在的理解的深度會差很多。
272.916	280.601	第一個在希臘羅馬社會裡面使用福音這個字的時候因為馬可福音是用希臘文寫的。
