start	end	text
4.019	5.660	弟兄姊妹平安，我們一起來思想。
5.660	9.382	馬可福音第十二章的二十八節到最後。
9.382	12.744	繼續來看耶穌的聖殿講論。
12.744	19.809	祂在聖殿裡面接受這個連番上陣的不同團體對祂的盤問。
19.809	23.871	對祂的設下一些陷阱問題故意要來考導耶穌。
25.213	31.301	讓耶穌可以答錯,以至於可以抓住耶穌的把柄,把耶穌除掉。
31.301	38.911	那28節有一個文士來聽見他們辯論,曉得耶穌回答的好。
38.911	45.833	就問他說,誡命中, 哪一個是第一要緊的呢?
45.833	51.956	有一個文士在旁邊聽見 耶穌剛剛跟撒都該人在辯論。
51.956	56.039	文士基本上跟法利塞人是同一派系的。
56.039	66.465	法利塞人跟撒都該人針鋒相對,特別是撒都該人不相信復活,不相信有天使,不相信真的有一個彌賽亞會來。
67.005	71.074	薩都該人認為就是人死了就什麼都沒有了。
71.074	72.557	有沒有永生什麼都沒有。
73.677	80.183	那這個後來這個耶穌的回答讓撒都該人答不出來。
80.183	83.025	撒都該人就敗下陣來。
83.025	87.029	這時候在旁邊有一個文士他是屬於法利賽人這邊陣營的。
87.029	89.971	他看見耶穌剛的回答真是回答得好。
89.971	96.397	因此呢就打從心裡面就覺得耶穌真的是打得太棒了。
96.397	101.521	因此他就很 很誠懇也很謙卑的問了耶穌一件事情。
101.521	104.163	就是說誡命有這麼多條。
104.163	106.205	猶太人整理舊約。
106.205	110.668	這個摩西五經的這個誡命綠綠典章。
110.668	113.631	總共整理出613條誡命。
113.631	116.493	因此他就說613條誡命裡面呢。
116.493	119.395	哪一條是最重要的呢?
119.395	120.976	耶穌就回答說。
120.976	123.338	第一要緊的就是說。
123.338	123.818	以色列啊。
124.684	129.185	你要聽,主我們的神是獨一的主。
129.185	134.006	你要盡心、盡信、盡意、盡力愛主你的神。
134.006	137.987	其次,就是說,要愛人如己。
137.987	141.728	再沒有比這兩條介面更大的。
141.728	147.250	基本上耶穌回答的是完全正確的一百分的答案。
147.250	150.231	耶穌回答的第一要檢的是,以色列啊,你要聽。
152.363	158.107	主我們的神是獨一的主,要盡心、盡信、盡力、盡意愛主你的神。
158.107	161.890	這個是在申命記第六章的第四到第五節。
161.890	173.139	這一段,這個申命記六章四到五節,是以色列人早上跟晚上禱告的時候,一定要誦讀的一段這個經文。
173.139	173.359	他們叫Shema。
174.480	177.842	Shema的意思呢就是聽啊。
177.842	183.844	因為生命記第六章第四節的這個原文希伯來文第一個字就是聽啊。
183.844	186.466	就是你們以色列要聽啊。
186.466	187.346	聽什麼?
187.346	190.828	要聽主我們的神是獨一的神。
191.408	201.091	那面對這位獨一的神,我們唯一要做的就是,盡心、盡心、盡力、盡意去愛主我們的神。
201.091	205.372	因此呢,這是一個誡命裡面最重要的一條。
205.372	212.174	第二個呢,愛人,要愛人如己,這是在立位記19章第18節裡面。
212.174	221.197	那耶穌就回答這文是說,誡命裡面最重要的就是,盡你的一切的力量去愛上帝。
222.568	227.332	同時也盡你一切的力量去愛人。
227.332	260.185	那這個三十二節那個文士就對耶穌說夫子說神是一位實在不錯除了祂以外再沒有別的神並且盡心盡智盡力愛祂又愛人如己就比一切繁祭和各樣的祭祀好得多 耶穌見他回答的有智慧,就對他說,你離神的國不遠了,從此以後沒有人敢再問他什麼。
260.185	269.588	耶穌為什麼稱讚這位文士回答得很好,而且說,你這樣回答真的是得著智慧了,而且真的你離神的國很近了。
271.391	286.255	因為這個文士所回答的就是說﹐內在對神﹐跟對人的態度﹐遠比外在﹐對神﹐或對人的外在形式﹐儀文﹐來得重要得多。
286.255	292.457	因為這個時候他們在聖殿﹐那旁邊就是一堆以色列人在獻祭。
292.457	303.961	因此這個文士說﹐就是我們盡我們切的力量來愛神﹐ 也盡我們一切的力量來愛別人,如同愛自己。
303.961	308.104	這個是比去獻更多的祭還要重要。
308.104	316.190	不是獻祭不重要,而是內心對神跟對人都有一個真誠愛的態度。
316.190	325.177	這個比獻祭、比教人律法、辯論律法都還來得有意義。
326.271	335.336	那也透過這樣,真正去愛人的話,真正去愛神的時候,你就不會去恨人。
335.336	344.260	你就不會像前面這些輪番上陣,要跟耶穌踢館,要考倒耶穌,要陷害耶穌的人。
344.260	348.505	他們都很有學問知識, 也很有社會地位。
348.505	351.346	可是他們心中充滿了仇恨。
351.346	354.827	他們沒有辦法愛耶穌如同愛自己。
354.827	360.449	因此他們看起來是這麼有這個學問知識。
360.449	363.490	在猶太教裡面這麼有身份地位的人。
364.070	365.952	看起來好像很愛神。
365.952	368.375	可是他們心中沒有愛人的心。
368.375	369.596	因此呢。
369.596	372.820	他們就要來想要殺害耶穌。
372.820	375.342	因此他們就不可能真正的愛神。
375.342	378.446	我想這是耶穌給這個文士非常好的教導。
379.394	384.957	那經文說從此就沒有人敢再來挑戰耶穌了。
384.957	389.660	在聖殿裡面,耶穌都一一把他們擊退。
389.660	393.222	這個時候三十五節,換耶穌來問大家了。
