start	end	text
4.445	5.946	弟兄姊妹平安，我們一起來思想。
5.946	10.507	馬可福音第一章的21節到最後,到了加百農。
10.507	27.294	加百農是在加利利湖或是加利利海的西北邊,算是在加利利海這個地區一個中等的城市,不是最大的城市,但是也算是非常重要的一個城市。
28.285	34.167	那到了加百農呢,耶穌就在安息日進了會堂教訓人。
34.167	39.790	加百農這個地方很顯然是彼得他們平常居住的地方。
39.790	45.312	那在安息日的時候,大家都到會堂去聚會。
45.312	51.755	耶穌這時候可能已經被大家看待為一個拉比。
51.755	54.576	以至於祂能夠在會堂裡面被邀請。
55.520	60.502	這個教導大家律法。
60.502	102.008	22節聽見的人眾人就很稀奇祂的教訓因為耶穌祂教訓他們正像有權柄的人不像文士文士就是熟悉律法教導的這些拉比就是老師但是文士們他們在解釋律法的時候 很多時候比較是在解釋說﹐我們如何不要犯律法﹐因此有很多的教導﹐就是告訴我們一些很小的細節﹐然後告訴我們說﹐你不可以做那個﹐不可以做那個﹐不可以做那個﹐以免你幹犯了律法。
102.008	113.931	但是耶穌祂教導律法的時候﹐跟這些文士的傳統很不一樣﹐他經文說他是帶著權柄﹐ 能力。
113.931	115.151	其實我們不要忘記。
115.151	117.113	他是來做彌賽亞的。
117.113	119.474	他來是要來傳揚福音。
119.474	121.555	我們還記得什麼是福音。
121.555	125.277	就是皇帝或是君王登基了。
125.277	126.979	或是君王得勝了。
126.979	129.660	或是神來做王了。
129.660	133.202	神的,神拆派來的彌賽亞來做王了。
133.202	136.444	因此這邊強調是他的信息裡面。
136.444	138.385	他解釋律法的時候。
138.385	141.127	是帶著上帝的權柄。
141.127	142.428	來解釋這個律法。
143.439	148.422	二三節在會堂裡﹐有一個人被污鬼附著。
148.422	160.811	這個人就喊叫說﹐拿撒勒人﹐耶穌﹐我們與你們﹐我們與你有什麼相干﹐你來滅我們嗎﹐我知道你是誰﹐乃是神的聖者。
160.811	164.714	第一個認出﹐耶穌是誰的﹐不是人﹐反而是鬼。
166.271	193.246	那在這個會堂裡面當鬼遇見了耶穌在用拳柄宣講神的話語的時候魔鬼在人裡面就隱藏不住了就彰顯了並且向耶穌討饒二十五節耶穌就責備他說不要作聲從這人身上出來吧 污鬼叫那人抽了一陣風。
193.246	194.507	大聲喊叫。
194.507	195.787	就出來了。
195.787	198.949	耶穌就把用拳柄。
198.949	200.790	吩咐鬼離開那個。
200.790	201.890	祂所。
201.890	203.551	佔據的那個人。
203.551	204.752	裡面出來。
204.752	205.872	結果呢。
205.872	208.093	鬼就被趕出來。
208.093	208.634	二七節。
208.634	211.015	眾人都驚訝。
211.015	212.956	以致彼此對問說。
212.956	214.636	這是什麼事啊。
214.636	216.277	是個新道理啊。
216.277	217.078	祂用拳柄吩咐污鬼。
218.814	221.095	連污鬼也聽從他了。
221.095	225.276	耶穌的名聲就傳遍了加利利的四方。
225.276	236.920	大家非常的驚訝,從來沒有,他們沒有遇見過就是說,一個Lobby,在那邊只是用命令,用權柄命令就把鬼趕出去。
236.920	241.782	因此他們說這是一個新的道理,原文是,這是一個新的教導。
241.782	250.386	原文他其實蠻細膩,他說這是一個, 根據權柄而來的一個新的教導。
250.386	263.094	原本是這個kata,kata就是英文的according to,這個新的教導是一種根據他所擁有的權柄, 而發出來的教導。
263.094	267.216	那因此呢在這邊就讓我們明白。
267.216	272.239	耶穌的權柄連魔鬼都不得不潰逃。
272.239	276.581	因此耶穌的名聲就傳遍了加利利的四方。
276.581	279.743	那他們一出會堂就同著雅各、約翰。
279.743	283.745	進了西門和安德烈的家。
283.745	286.006	西門的岳母正害熱病躺著。
286.715	289.036	這地點是在加百農。
289.036	293.978	就有人告訴耶穌,熱病我們不要以為祂只是感冒。
293.978	300.941	在聖經的一些記載裡面,這個有時候這些熱病甚至會奪走人的性命。
300.941	309.565	那耶穌知道這件事情之後,祂就進前拉著彼得岳母的手,扶祂起來。
309.565	313.007	一把祂扶祂起來之後,熱就退了。
313.007	315.428	那彼得的岳母就服侍他們。
316.664	319.066	可能是做飯給他們吃。
319.066	322.389	這邊讓我們看見耶穌祂非常的親切。
322.389	324.631	耶穌跟人沒有距離。
324.631	327.013	耶穌充滿慈愛。
327.013	329.895	剛剛耶穌用祂的權柄趕鬼。
329.895	333.338	耶穌現在用祂的權柄,醫治人的疾病。
333.338	343.827	因此耶穌用祂的權柄,不僅宣揚神國的福音,神國已經來到,君王已經要登記了。
344.599	349.202	耶穌用祂的權柄﹐來醫病﹐來趕鬼。
349.202	359.410	因此,肉體的疾病﹐以及魔鬼的權勢﹐在上帝的面前﹐在主耶穌的面前﹐都需要順服。
