start	end	text
4.258	6.239	各位姊妹平安，我們一起來思想。
6.239	9.001	馬可福音第十章的一到十二節。
9.001	16.405	第一節,耶穌從那裡起身,來到猶太的境界,並約旦河外。
16.405	27.892	這個耶穌離開了北部的加利利地區來到南部的 猶太地區以及南部的約旦河以東的地區。
27.892	35.457	馬可福音有16章,那1到8章主要的場景是在這個加利利地區。
35.457	43.250	而那邊的整個馬可福音的一個佈局的重點, 就是所謂的彌賽亞的秘密。
43.250	55.920	到第八章的三十節之前,最後解開了這個彌賽亞的秘密,就是門徒承認也宣告,耶穌祢就是那位已經來的彌賽亞。
56.749	78.550	而從8章31節以後一直到16章結束後面這8章主要是進入下一個叫做死裡復活的秘密其實都是公開的信息關於耶穌就是彌賽亞或是耶穌要受死然後從死裡復活 這些都是耶穌公開宣講的信息。
78.550	84.172	但因為門徒跟百姓心裡面剛硬不信,拒絕這個信息。
84.172	87.073	所以聽是聽見了,卻不明白。
87.073	90.155	看是看見了,卻不能領受。
90.155	95.416	那所以呢,公開的信息,變成是公開的秘密。
95.416	99.438	就是知道了,領受了,卻不知道。
99.438	101.759	或是聽見了,卻不領受。
102.790	109.392	那因此呢,後面八章,場景就是耶穌要去耶路撒冷上十字架。
109.392	114.893	所以後面八章就開始往南部耶路撒冷出發,來到猶太地區。
114.893	120.994	那來到猶太地區呢,這地方就是不一樣,跟北部加利利不一樣。
120.994	128.076	那邊有很多的文士、法利塞人、沙都該人,各種的領袖、派系。
128.076	129.356	那他們都認為耶穌是要來踢館的。
131.817	150.132	所以他們對耶穌就設下各種圈套、陷阱,要盤問耶穌,讓耶穌在回答過程中,回答左也不是,回答右也不是,讓耶穌回答得不好的時候,就可以抓住耶穌的把柄,證明耶穌是個騙子。
150.913	154.635	那因此呢,接下來就有很多的盤問。
154.635	159.378	經文說,眾人又聚集到祂那裡,祂又照常教訓他們。
159.378	167.302	由法利塞人來問祂說,人修妻可以不可以,意思要試探祂。
167.302	170.384	耶穌就回答說,摩西吩咐你們的是什麼?
170.384	177.528	他們說,摩西許,就是允許,人寫了修書,便可以修妻。
178.814	206.884	法利賽人在耶穌時代分成兩派,一派是鴿派,一派是鷹派,就是他們對於律法的解釋,比較寬一點還是比較鬆一點,也包含他們對於彌賽亞的,預備迎接彌賽亞的來臨, 他們應該採取態度﹐是比較激烈的態度﹐還是比較平和的態度﹐因此分成鷹派跟鴿派兩種。
206.884	218.909	那法利塞人認為﹐從加利利北邊這個落後地方﹐要來到南部耶路撒冷踢館的耶穌來了﹐他們就要﹐就是要好好的給他討教一下。
218.909	223.471	其實耶穌不是來踢館的﹐耶穌是來為這些法利塞人上十字架的。
224.718	227.359	我們以前還沒有信主的時候﹐也是這麼驕傲。
227.359	234.300	常常想要辯論﹐贏過一些基督徒﹐所講的福音內容﹐證明我們高人一德。
234.300	243.422	其實我們那時候還不明白﹐這位耶穌不是來跟我們辯論的﹐這位耶穌是為我們的罪﹐上十字架替我們死。
243.422	250.904	那基本上在那個時候﹐不論是鴿派還是鷹派的法利賽人﹐他們對於離婚都是同意的。
251.664	260.794	他們的差別在於,修書裡面要記載的這個婦女,被她的丈夫修掉了。
261.630	264.531	原因哪一些原因才可以成立?
264.531	266.352	哪一些原因不可以成立?
266.352	303.355	因此不同派系的法利塞人是針對離婚的條件是很嚴格還是很寬鬆這是他們之間的差異所以他們就也問了耶穌這個問題但是耶穌提醒他們一件事情這也是耶穌一貫的面對法利塞人或文士的挑戰的時候耶穌會要他們回到 這一條律法,當初神為什麼要設立這一條律法的最基本的動機,最原始的出發點,而不是淪落到你們現在在討論這些外在形式的問題。
303.355	308.417	怎麼樣才不叫做乾犯安息日,不可以做這個,不可以做那個,不可以做那個。
308.417	321.264	反而失去了神當初設立安息日,是要人在安息日裡面放下自己的努力, 好謙卑的領受神而來的拯救、醫治跟赦免。
321.264	326.268	所以耶穌也要他們回到安息日,神設立安息日的宗旨。
326.268	344.281	這邊也是一樣,耶穌要他們回到這個神對婚姻的看法,這個原始的出發點,而不是流於在那邊爭論,哪幾種條件可以離婚,哪幾種條件不可以離婚,這已經失去了原本的那個精神跟目的。
345.350	352.934	那法利撒冷就說,摩西祂允許我們人只要寫了修書便可以修妻。
352.934	360.658	寫了修書可以修妻,代表這個妻子她並不是因為犯了姦淫而被她的丈夫離婚。
361.374	368.817	所以一個婦女﹐被她的丈夫寫了修書之後﹐對她其實也是一個保障。
368.817	376.879	讓人家不會閒言閒語說﹐啊,她一定是在外面跟別的男人亂搞﹐被她丈夫抓到﹐所以她丈夫不要她了。
376.879	382.842	所以修書基本上﹐它是一個對﹐被丈夫修掉的婦女的一個保障。
382.842	389.867	同時也是﹐摩西時代﹐也是透過這個來﹐ 限制跟提醒。
389.867	392.691	男人不可以隨隨便便找一個理由。
392.691	393.993	就撇棄自己的妻子。
395.520	399.503	第五節耶穌就進一步來,更深的回到動機來說明。
399.503	405.108	耶穌說摩西是因為你們的心剛硬,所以才寫這條條例給你們。
405.108	409.792	就是說,因為你們,就是不要你們太太了。
409.792	413.274	你們嫌棄你們的妻子,那你們勸不聽。
413.274	420.880	那摩西是因為你們心裡剛硬,才允許你們說,你們在修書上,寫下合理的理由。
421.664	426.349	證明你們兩個真的不適合在一起。
426.349	429.292	而不是你太太犯了姦淫或怎麼樣。
429.292	431.575	那基本上你寫不出合理的理由。
431.575	435.499	在修書上你就不可以把你太太離棄。
435.499	437.020	所以這是因為你們心硬。
437.020	439.383	你們一心不要你們的太太。
439.383	441.805	你們一心不想在婚姻的事情上繼續努力。
442.346	452.631	所以為了防止你們 任意的拋棄你們的妻子,所以才要你們在修書上面 寫下修書的原因,並不是因為你的妻子 犯姦淫的緣故。
452.631	467.099	這限制男人隨意的離婚, 也是保障被丈夫離婚的妻子,他有機會能夠保護他自己的人格, 甚至尋找下一段美滿的婚姻。
468.029	474.111	那因此耶穌就說,這是因為你們心硬,才有了這樣一個權宜之計。
474.111	486.635	並不是告訴你們說,好像摩西說你准許你們寫了修書,並可以修期,不代表摩西在倡導人來離婚,不是這個意思。
487.295	497.465	那第六節,但從起初創造的時候,神造人是造男造女,因此人要離開父母,與妻子聯合,二人成為一體。
497.465	505.312	既然如此,夫妻不再是兩個人,乃是一體了,所以神配合的,人不可分開。
505.312	512.399	耶穌一開始第一個要他們回到摩西的律法,去看看摩西當初是怎麼跟你們說的。
513.268	517.873	第二,耶穌再往前推進,到創世紀。
517.873	521.797	創世紀的時候,神還沒有透過摩西頒布律法。
521.797	533.690	也就是說,耶穌要帶領這些法利塞人,更回到婚姻,當初被神設立,神對婚姻的心意是什麼,來探討為什麼會有婚姻。
534.377	539.402	然後再來去思想,為什麼你要跟你太太離婚?
539.402	556.918	因此這邊耶穌就回到《創世紀》第一章裡面,神創造的時候是造男又造女,然後讓他們男跟女,丈夫跟妻子聯合離開他們父母, 然後呢,成為一個新的生命共同體,是成為一體。
556.918	560.321	因此夫妻不再是兩個人,乃是一體的。
560.321	567.567	所以呢,要去了解為什麼神會讓你跟這個妻子來結婚,你們要合而為一。
567.567	569.509	那是什麼原因讓你們不能合而為一?
569.889	573.152	這才是我們真正要來面對跟解決的。
573.152	577.276	而不是說,你不開心就把你妻子休了。
577.276	584.222	因此,這個耶穌就開始講了一個神最初的觀點,是神所配合的人不可分開。
585.043	588.505	當然祂不是講說都不能離婚。
588.505	596.050	我們要去了解,我們常常透過耶穌在跟法利塞人文士他們辯論的過程當中。
