start	end	text
4.172	5.753	弟兄姊妹平安，我們一起來思想。
5.753	30.924	馬可福音第一章的十六節到二十節,在之前十四節裡面,我們已經討論過,當施洗約翰被抓到監牢之後,那耶穌也離開了約旦河地區,從此就專心的在祂的家鄉那裡,加利利海地區,其實是加利利湖,在以色列的北部加利利地區,繼續來傳揚神國的福音。
31.664	34.465	那我们来看16节这里。
34.465	43.909	耶稣顺着加利利的海边走,看见西门和西门的兄弟安德烈在海边撒网,他们本是打鱼的。
43.909	45.710	西门就是西门彼得。
45.710	50.032	那彼得是希腊的名字。
50.032	54.254	那他另外还有一个希伯来的名字叫做基法。
55.094	58.777	那其實嚴格來講應該是雅蘭文的名字。
58.777	62.860	但是因為雅蘭文跟這個希伯來文很接近。
62.860	67.543	那當時候他們的日常生活語言是雅蘭文。
67.543	70.865	那所以呢彼得跟安德烈他們是兄弟。
70.865	73.988	那他們的職業是漁夫。
73.988	76.189	17節耶穌對他們說來跟從我。
76.189	79.532	我要叫你們得人如得魚一樣。
79.532	81.513	他們就立刻捨了網跟從了祂。
82.534	93.147	19節,耶穌稍稍往前走,又看見西比泰的兒子,也是一對兄弟,雅各,還有雅各的兄弟約翰,在船上捕網。
93.933	104.457	那耶穌隨即呼召他们,他们就把父亲西比泰和故宫人留在船上,跟从耶穌去了。
104.457	116.602	看起来可能约翰兄弟他们的船队可能比较大一点,那彼得兄弟他们的船可能就只有他们自己那一艘。
116.602	132.130	那我们看见这段经文呢, 就是耶穌呼召这些渔夫﹐来跟随祂﹐祂们立刻就舍下了网﹐舍下了船﹐甚至舍下了船队﹐舍下了父亲去跟随耶穌。
132.130	135.692	看起来是﹐非常快速果决的回应。
135.692	160.425	但如果我们也参照其他的福音书﹐ 並且我們如果也認為﹐其他的福音書在記載上﹐應該也不會有錯誤的話﹐那我們把這幾個福音書整個合起來﹐就會發現﹐其實呼召這些漁夫﹐來跟隨祂做門徒﹐並不是一次就完成的事情﹐它是經過一段過程。
160.425	170.391	這可以讓我們去學習﹐上帝在我們生命中﹐對我們的呼召﹐讓我們願意全心全意來跟隨祂﹐ 它是需要一個過程的。
170.391	177.736	因此我們有時候不要把這些﹐看起來是很戲劇化的一個描述﹐當作是唯一的版本。
