start	end	text
19.804	23.667	弟兄姊妹平安，我們按照每日嚴經事宜的進度,一起來思想。
23.667	27.631	《馬太福音》第21章的第一節到第11節。
27.631	32.034	第一節,耶穌和門徒,當然還有相當多的群眾也在一起。
32.034	42.623	他們將要靠近耶路撒冷,他們是從耶利哥往耶路撒冷前進,到了伯法奇,伯法奇是一個小村莊,他位於橄欖山那裡。
44.104	77.162	我們可以來看幾張照片第一張照片是耶穌時代耶路撒冷城的一個復原的模型我們可以看見這個照片上面耶路撒冷城的東北角就是聖殿區耶路撒冷城是蓋在一個小山上面然後它的東邊就是吉倫西的溪谷吉倫西溪谷再往東邊過去又要開始爬山了那就是橄欖山 橄欖山顧名思義,就有很多橄欖樹。
77.162	80.443	我們看第二張照片,這就是橄欖樹。
80.443	89.566	而橄欖山要往耶路撒冷前進,它就下坡,快靠近吉倫西谷的時候,就會來到科西馬尼園。
89.566	94.748	科西馬尼園,它就是壓榨橄欖油的一個地方。
94.748	98.109	我們看第三張照片,就是今天的耶路撒冷。
98.609	144.798	可以看見有一個金頂清真寺就是一個金色的屋頂的清真寺那個地方祂的下面地底下就是以前的聖殿區相傳耶穌時代的聖殿就在這個金頂清真寺的下面或是祂的旁邊的下面好,第二節耶穌就打發兩個門徒 對這兩個門徒說,你們往對面村子裡去,就是到伯法齊這個村子裡面去,必看見一批驢酸在那裡,另外還有一個驢居,就是這隻母驢的小驢子,驢居也同在一處。
144.798	164.530	你們就解開這個驢跟驢居,遷到我這裡來, 第三節,若有人對你們說什麼,你們就說主要用他,那人,就是這個驢子跟驢居的主人,那人必立時讓你們遷來。
164.530	171.158	那個人不僅不會反對,還會立刻雙手奉上,讓你們把驢子跟小驢居遷過來。
171.988	174.190	大概有幾種可能性。
174.190	182.816	第一個,耶穌有使用祂的超自然的能力,祂知道那邊有驢子,所以祂可以使用。
182.816	191.121	第二個可能就是,耶穌之前跟人有約定,要使用這個驢子。
191.121	213.365	我個人覺得第三個可能性是最高的,因為很多人都知道耶穌準備要進耶路撒冷,而他們都認為耶穌進來要作王, 所以看見耶穌的門徒來,要牽驢子使用,基本上每個人都說OK,沒有問題的,牽去用吧,於有榮焉。
213.365	222.049	第四節,這件事情會成就,就是耶穌要使用小驢子這件事情,這件事情要成就。
222.049	237.521	馬太樂告訴我們,是要應驗先知的話,說,他就引用了撒加利亞書第九章第九節, 要對錫安的居民說,看啊,你的王來到你這裡。
237.521	239.801	錫安指的耶路撒冷。
239.801	251.744	所以馬太說,其實在撒加利亞書早有預言,要對錫安的居民說,看啊,你的君王來到耶路撒冷這裡。
251.744	258.666	他是溫柔的,又騎著驢,而且騎的是驢驅子,就是小驢驅。
259.770	265.675	所以馬太特別強調,耶穌是一個和平君王。
265.675	270.118	祂不像一般的君王騎著馬進城做王。
270.118	275.223	祂反而是謙謙卑卑的、溫柔的和平君王。
275.223	281.428	不僅只是做驢,甚至是做這個小驢驅進到耶路撒冷裡面去。
281.988	316.478	祂並不是要推翻羅馬政府建立一個地上的政權祂乃是要成為一個拯救世人為世人上十字架的君王跟救主第六節門徒就照耶穌所吩咐的去行然後牽著驢跟驢鞠來把自己的衣服門徒把自己的外衣脫下來搭在這個驢的上面驢鞠的上面耶穌就騎上去 第八節,眾人多半把衣服鋪在道路上。
316.478	322.121	在這個橄欖山要往下坡,然後要往耶路撒冷前進。
322.121	327.304	那百姓就把衣服脫下來,鋪在這個道路上。
327.304	330.886	還有人砍下樹枝來,也鋪在路上。
330.886	335.529	我們到約安福音12章知道,很多人砍下棕樹枝,鋪在路上。
336.647	342.908	前行後遂的眾人就大聲呼喊著。
342.908	364.132	這個場景讓人想起兩百年前馬加比王朝就是有一群猶太人他們推翻了那個時候統治他們的希臘帝國的統治兩百年前馬加比王朝打勝仗了 把希臘人趕走了。
364.132	365.033	然後呢。
365.033	368.295	百姓就是用這一種方式。
368.295	371.158	歡迎馬加比王朝的君王。
371.158	372.899	進入耶路撒冷。
372.899	374.441	捷徑聖殿。
374.441	376.682	因為希臘帝國的國王。
376.682	379.525	把聖殿弄得污穢不堪。
379.525	383.048	這就是這個修殿節的由來。
383.048	385.850	現在以色列人稱為光明節。
385.850	387.211	所以代表怎麼樣?
387.211	388.693	百姓其實期待耶穌。
389.582	393.626	能夠像兩百年前馬加比王朝的國王一樣。
393.626	398.731	帶領他們推翻現在羅馬政府對他們的統治。
398.731	400.092	但耶穌卻不是這樣。
400.092	405.017	耶穌是騎著柔和謙卑的小驢驅進來做王。
406.237	409.018	那百姓就大聲喊著說什麼呢?
409.018	414.480	他們就喊著說,和善納,歸於大魏的子孫。
414.480	428.505	百姓就是使用詩篇118篇的經文,118篇的26節這邊的經文,來稱讚這位彌賽亞君王。
