start	end	text
19.735	25.117	弟兄姊妹平安，我們照國際讀經會所發行的《每日言經》是一讀本的進度。
25.117	26.358	一起來思想。
26.358	31.060	《馬太福音》第24章的15節到26節。
31.060	39.184	你們看見先知但以理所說的那行毀壞可證的,站在聖地。
39.184	42.846	讀這經的人需要會議。
42.846	44.286	這個稍微解釋一下。
44.286	47.368	耶穌繼續講有關於末世的預兆。
49.104	70.334	所以耶穌說你們如果真的看見了先知但以理曾經所預言說過的這個在但以理書9章27節11章31節跟12章11節都有提到那行毀壞可證的指的就是外邦人 進攻外邦人,毀壞聖殿這件事情。
70.334	78.037	這件事情,其實是在歷史上,它是會多次應驗的。
78.037	161.218	第一次已經應驗的是在祖前167年,希臘帝國的安提阿古四世,他就是殿屋毀壞 在這個聖殿裡面獻豬一般都獻牛羊因為豬是不潔淨的安提亞古就故意獻不潔淨的豬然後呢在這個聖殿裡面還設立這個宙斯的神像所以就玷污了這個聖地聖地這邊指的就是聖殿 第二次是在耶穌十里復活聖天之後會發生的就是主後七十年羅馬帝國的提多將軍攻陷耶路撒冷並且把聖殿移為平地所以他也是那些毀壞可證的人第三個指的就是在末日的時候敵基督也會在這個 聖地然後行那毀壞可證的事情所以讀這一段經文的時候馬太提醒我們要會議要去思考他多層的意思十六節那時在猶太的 應當逃到山上。
161.218	209.088	那十六節開始耶穌特別指的應該就是說主後七十年即將要發生的那一次聖殿被提多將軍以為平地的那件事情那時在猶太的應當要逃到山上山上可以躲避而且有山洞可以躲起來在房上的 指的是這個以色列人他們房子是石頭蓋的房上有平頂就是說你本來是在這個房屋上的平頂休閒的忽然看見災難來的時候你呢 立刻下來,然後不要先進一樓家裡面去拿東西,直接逃走,因為不然會來不及。
209.088	215.532	而且在田裡面工作的,也不要先去回家拿衣裳,你要直接逃走。
216.032	230.743	當那些日子,懷奶,懷孕跟奶孩子的,就是懷孕的孕婦,或是孩子還很小,正在乳養孩子的母親有禍了,因為那時候要逃難,就非常的不方便。
231.203	259.892	你們應當祈求禱告叫你們逃走的時候不遇見冬天冬天會是雨季雨季下雨路很泥濘很難逃走然後也不要遇見剛好是安息日因為安息日基本上城門會關閉然後你安息日你要你事先已經神已經 告訴你戰爭要來,你要逃走。
259.892	273.502	那個硬心不信的人,他不僅是關上城門,後來我們真的發現,以色列人真的就關上城門,來抵抗羅馬人的進攻。
273.502	320.248	所以安息日會產生就是城門被關閉,而且以色列人規定安息日,你不可以 遠行或旅行甚至有些拉比會規定安息日不可以走超過一千公尺的路程所以安息日的話你們要逃走就有很多的攔阻因為那時必有大災難很大很大的一個災難從世界的起頭到如今就到這個耶穌的時代沒有這樣的災難後來也必沒有這樣的災難 如果這個事情指的就是主後七十年,耶路撒冷曾被攻陷,然後聖殿被夷為平地那件事情。
320.248	335.216	根據那個時代的歷史學家約瑟夫他的記載,那一次的戰爭,光是在耶路撒冷,死亡的人數就高達一百萬。
