start	end	text
18.763	22.847	弟兄姊妹平安，我們按照《每日言經事義》的進度一起來思想。
22.847	42.626	《馬太福音》第三章的十三節到最後十三節當下耶穌從北方的加利利來到了南方的約旦河這一帶然後見了施洗約翰 世襲約翰是他的表哥,然後要接受世襲約翰的洗禮。
42.626	47.532	14節約翰想要攔住他說,我當受你的洗。
47.532	51.057	怎麼會今天是你反倒要上我這邊來呢?
52.329	63.395	之前世襲約翰就說,彌賽亞來的時候,他連幫他提鞋都不配,代表他們之間身份懸殊。
63.395	67.617	世襲約翰他說,我只是個開路先鋒,我並不是基督,並不是彌賽亞。
68.404	76.928	到後來,當耶穌來的時候,上帝就感動他,讓他知道說,這個耶穌就是彌賽亞。
76.928	84.731	我不知道他們多久沒有見面,但是這個時候,這個世襲人才明白,他就是預言要來的彌賽亞。
85.111	118.116	所以他就說不對不對應該是我去受你的洗才對應該去接受你為我這個施洗這個聖靈的洗來改變我施洗約翰的生命因為人只有靠意志力上的悔改是不夠的生命沒有改變你意志力悔改一百次你的生命也是不會改變唯有靠著聖靈大能的工作使人進入到耶穌基督十字架救恩裡面我們才有可能 變成一個新造的人,活出全新的生命。
118.116	122.097	因此,世襲約翰就要攔耶穌。
122.097	127.038	15節,耶穌回答他說,你暫且許我吧。
127.038	129.879	暫且允許我這樣子做吧。
129.879	136.040	因為我們理當這樣盡諸般的義,於是約翰許了他。
136.800	140.323	因為約翰這個是一個悔改的洗禮。
140.323	142.765	但耶穌他沒有犯罪。
142.765	155.776	耶穌他生活在世上的時候,就是在信心裡面,倚靠著聖靈的大能,然後完全順服天父的旨意。
155.776	165.303	然後他就盡了諸般的義,就他行了律法上一切的要求,他並沒有在律法的要求當中犯罪。
166.084	174.831	所以,耶穌祂是一個無罪的人,祂不需要去接受悔改,認罪悔改的洗禮。
174.831	178.334	這就是為什麼這個世洗約翰要攔阻祂的原因。
178.334	184.900	但耶穌說,你就暫且允許我這樣做吧,因為我們禮當敬諸般的義。
184.900	187.662	這邊有兩個思考點,我們可以思考的。
187.662	201.179	第一個,耶穌祂認同祂自己人子的身分, 祂知道自己不僅是神子,祂也知道自己是道成了肉身百分之百的人子。
201.179	204.161	祂既是神子,也是人子。
204.161	206.402	祂認同自己人子的身份。
206.402	219.090	所以在地上所活的這三十幾年,祂也需要去在律法面前盡諸般的義,去行出律法的要求,律法的吩咐,遵行父神的旨意。
219.650	232.093	但第二點,耶穌祂要盡諸般的義,然後來接受悔改的洗禮,是因為祂也認同罪人的處境。
232.093	244.776	祂明白一件事情,祂能夠同理,同理人類現在是不自由的,祂作為被罪所捆綁跟挾制的奴仆,人都變成罪人了。
245.196	261.621	祂同理罪人的處境,罪人無法盡諸般的義,因此罪人需要來到上帝的面前,懇求上帝赦免他們,他們願意悔改接受上帝的赦免。
261.621	268.426	所以耶穌祂這個 認同自己是人子道成肉身的人子的身分。
268.426	280.857	第二個,祂也同理罪人現在可悲痛苦的處境,而現在罪人願意悔改,接受救恩的赦免。
280.857	283.739	因此耶穌就願意來受洗。
284.480	299.513	16節,耶穌受了洗,隨即從水裡上來,天忽然就為祂打開了,祂看見神的靈彷彿鴿子降下,落在祂的身上。
300.708	347.629	其實聖靈早就已經在耶穌的心中引導祂而這時候是一個更具象的一個現象要來做見證就是說真的聖靈已經在耶穌的心裡面大能大力在運行讓祂來全心的來順服天父的旨意特別在祂道成肉身神子成為人子這件事情上祂要百分之百 倚靠聖靈的大能,用信心來回應天父給他的使命,就是讓他為世人的罪被釘死在十字架上,成為世人的挽回祭,好叫每一個真心悔改的人,罪得赦免。
348.490	352.173	然後不致滅亡,反得永生。
352.173	356.736	所以聖靈彷彿鴿子降下來,落在祂身上。
356.736	363.460	從天上有聲音說,這是我的愛子,我所喜悅的。
363.460	365.962	天父為他作見證。
365.962	368.104	聖靈剛剛也為他作見證。
368.524	396.442	而天父這時候對耶穌所說的這是我的愛子這是引用這個詩篇第二篇這個君王登基他是以一個神的兒子的身分來登基做王這也是一個彌賽亞預言我所喜悅的這是引用這個以賽亞書52章講到 他是一個神所喜悅的仆人。
396.442	401.727	因此,馬太福音的精神就是,第一個,他是一個榮耀的君王。
401.727	405.770	第二個,他是神所喜悅的仆人。
405.770	408.352	他是一個神所喜悅公義的仆人。
409.053	416.878	所以我們看見父神跟聖靈都為耶穌的身份和使命來做見證。
416.878	475.008	我們可以來看一下今天的照片今天講到這個耶穌受洗第一張照片就是耶穌受洗處今天我們如果到以色列去有兩個地點都宣稱那個地方是耶穌受洗處我個人比較喜歡照片上這個地點就是舊的那個地點 那他基本上他並不是在這個約旦河的主流上面他是在約旦河的這個分岔的這個蜿蜒的分岔裡面水流本來就比較少特別是後來以色列人在加利利海那邊做了水壩攔截了大量的約旦河的河水所以加利利海以南的約旦河的河水都很少那支流就更不用講 很長一段時間以來,這邊都被認為是耶穌受洗的地方。
475.008	482.190	第二張照片,那邊就有一些示意圖,讓我們就回想當初耶穌受洗,可能光景是如何。
482.190	485.771	好,我們就一起來禱告。
485.771	490.912	主讚美祢,我們需要祢的救恩,因為我們無法盡主班的義。
491.869	499.266	主啊,我們需要真實的來到祢面前悔改,真實的來依靠祢做新造的人。
500.299	519.423	主啊,我們要再次的感謝祢,祢道成了肉身,祢這位神的兒子離開了天上榮耀的寶座,道成了肉身,成為真實的人,並且為我們這些淪落為罪人的人,替我們的罪死在十字架上。
519.423	529.258	好,讓我們罪得赦免,好,叫我們能夠重新回到父神的榮耀裡面, 也成為上帝的兒女。
529.258	530.119	謝謝主。
