start	end	text
19.735	23.599	各位姊妹平安，我們照每日言經事宜的進度一起來思想。
23.599	36.130	《馬太福音》第14章的14節到21節,從13章天古的比喻結束之後,就進到一個新的主題,就是大家都在認為,到底耶穌是誰?
36.130	44.959	首先是耶穌的拿撒勒鄉親們認為,耶穌不過就是他們城裡面木匠約瑟的兒子而已。
45.674	57.777	然後呢,這個分封的王西律安提帕,他說不是不是,他是被我殺的那個施洗約翰的靈附身在他身上。
57.777	65.379	所以這個耶穌才有辦法在我的管轄區,加利利海沿岸,行這麼多神蹟、騎士、異能。
65.379	74.162	而接下來,馬太又記載了一段故事,然後百姓又透過這個故事來認為,耶穌是誰呢?
75.265	84.371	14節,耶穌出來,見有許多的人,就憐憫他們,治好了他們的病人。
84.371	96.781	耶穌就帶著門徒坐船,離開加利利海的西岸, 來到加利利海這個東北角這邊的加百農附近的野地。
96.781	99.903	原本是想說帶著門徒去退休會。
99.903	103.425	因為門徒之前耶穌打發他們去傳福音。
103.425	108.768	回來之後就跟耶穌報告傳福音的許多的好消息。
108.768	111.469	但耶穌說你們辛苦的都沒有吃飯。
111.469	112.510	我自己也沒有吃飯。
112.910	117.172	我們大家找個安靜的地方,好好吃頓飯。
117.172	121.834	所以就舉行了耶穌和祂的門徒的退休會。
121.834	125.015	大家帶著便當,準備要到野地去野餐。
125.947	137.656	可是呢,他們一下船之後,看見早就有許多的群眾,風聞耶穌要移動到東岸去,所以在那邊等候他。
137.656	143.720	然後耶穌就憐憫他們,然後對他們講天國的福音,醫治他們的疾病。
143.720	151.606	那因為服事人很多,所以天將晚的時候,門徒就進前來說,這是野地。
152.278	157.080	時候已經過了,指的是吃飯的時間已經過了。
157.080	163.483	請你叫眾人散開,他們好往村子裡去,自己買吃的。
163.483	168.586	門徒想說,原本不是要帶我們這邊來退休會嗎?
168.586	175.349	結果一下船,便當都還來不及吃,結果就變成步道會了。
175.349	179.431	然後就服事到現在,都已經快要天黑了。
179.991	186.596	請求耶穌說,結束吧,讓他們去找東西吃。
186.596	194.261	這時候耶穌的回答竟然是16節,耶穌說,不用他們去,你們給他們吃吧。
194.261	198.384	耶穌就告訴這些門徒們說,你們給他們吃。
199.053	202.917	你們有什麼可以給他們吃,就拿出來給他們吃。
202.917	211.865	他們有的就是,原本要跟耶穌來退休會所帶的便當,所帶來的個人一點點的食物。
211.865	214.908	那這哪夠這麼多的群眾吃呢?
216.118	255.535	17節門徒說我們這裡只有五個丙兩條魚耶穌行了很多神蹟唯一一個神蹟在四福音書裡面都有記載的就是耶穌這個五丙二魚餵飽五千個男人還有許多其他的婦女小孩不算在內的這個五丙二魚神蹟故事是四個福音書都有記載的我個人認為為什麼會這樣我想 因為在當時代,這個神蹟是造成大家最容易去認為耶穌是誰的一個記號。
255.535	258.256	因為這讓他們想起了摩西。
258.256	266.380	想起了摩西在曠野行神蹟,讓他們40年在曠野吃馬拿。
266.380	269.542	然後摩西當初是帶他們離開埃及。
270.572	274.793	在曠野,然後準備要進到應許之地。
274.793	291.619	所以,四福音書都記載了五餅二魚的神蹟,因為百姓他們透過這件事情,他們認為,耶穌就是那個像古代的摩西一樣,真的要帶領我們出埃及,然後進到上帝的應許之地。
291.619	296.861	他們想的就是推翻羅馬政府,建立一個地上的彌賽亞政權。
297.875	326.083	那這邊說這個門徒回答耶穌說我們只有五個餅兩條魚我們根據這個約翰福音第六章的記載就是耶穌叫他們把便當拿出來給大家吃門徒反應不過來說這怎麼夠然後呢就不拿出來 旁邊有一個小朋友就覺得很奇怪明明你們的老師耶穌叫你們把這個食物拿出來你們為什麼不拿出來呢?
326.083	370.956	結果這個小朋友就把自己的便當自己的食物就是五個大麥餅兩條魚乾拿出來給耶穌是透過安德烈把他交給耶穌這個餅是大麥餅是一般 這個貧窮人所吃的這個很粗糙的這個麵包兩條魚也是這個魚乾甚至是很少很少可能比這個門徒他們每個人帶的便當的份量還要小但是耶穌看見終於有人聽懂了 終於有人願意拿出祂所能拿出來的,被神使用。
370.956	372.478	耶穌就很開心。
372.478	374.780	耶穌就說,來,拿過來給我。
374.780	390.355	於是,耶穌就吩咐眾人,坐在草地上,然後祂就拿著這五個餅,兩條魚,望著天,祝福,然後剝開餅,然後呢,遞給門徒,門徒又遞給眾人。
391.715	401.748	通常這個舉動就是在吃飯的時候祝福、分餅 然後感謝上帝。
401.748	407.113	這是一家之主在吃飯的時候祂所要做的動作。
