start	end	text
19.974	24.015	弟兄姊妹平安，我們按照《美日言經》事宜的進度一起來思想。
24.015	26.996	《馬太福音》第十八章的一到十節。
26.996	33.657	當時門徒進前來,問耶穌說,天國裡誰是最大的?
33.657	41.379	這個耶穌被他的門徒承認,你就是基督,你是永生神的兒子。
41.379	43.020	這是正確答案。
43.020	48.881	可是對這個答案的內容的理解,門徒一直不能接受,也不願意相信。
49.548	87.215	因為耶穌說我這位基督我這位彌賽亞準備要去耶路撒冷被宗教領袖殺害而死並且三日之後要從死裡復活那門徒不願意接受也很難相信怎麼會跟的彌賽亞是這一種彌賽亞 所以他們還在想他們自己那一套,就是應該不會這樣,耶穌來應該是會在地上建立一個像大衛一樣的王國,推翻羅馬人的統治,然後我們到時候就會論功行賞。
87.910	132.388	然後在耶穌身旁做重要的大臣所以門徒們就在那邊比較誰的功勞比較大誰對耶穌的貢獻比較大誰對天國的貢獻比較大可能就吵得不可開交就來耶穌這邊說那耶穌請祢告訴我們到底在天國裡面我們這幾個門徒在天國裡面誰是最大的 耶穌一聽就知道說,你們根本就狀況外,我不是你們想的那種彌賽亞,天國也不是你們想的那種天國,天國裡面比大小也不是你們想的那樣比,你們再這樣想,你們連天國都進不了。
132.388	154.175	所以耶穌便叫一個小孩子,就是一個小朋友過來,然後呢,讓這個小朋友就站在這些爭吵的門徒當中,對他們說,我實在告訴你, 你們若不回轉,變成小孩子的樣式,斷不得進天國。
154.175	161.222	所以,凡自己謙卑向這小孩子的,他在天國裡,就是最大的。
162.534	165.635	耶穌這個舉動,讓所有的門徒都呆住了。
165.635	175.640	因為以前的耶穌時代的社會,地位最高的是成年男子,再來才是婦女。
175.640	181.282	最沒有地位的,最沒有貢獻的,就是小孩子,小朋友。
181.282	198.291	耶穌竟然說,你們如果不回轉,變成小孩子的樣式,就是你們如果不謙卑, 你們如果不知道,你們能夠進天國,都是靠我給你們的恩典。
198.291	201.773	天國的十家救恩的恩典。
201.773	205.416	不然你們沒有一個人有資格進天國。
205.416	211.200	你們還敢在那邊爭吵,誰在天國裡面,誰是比較偉大的。
211.200	214.862	所以耶穌就是講,你們要自己謙卑。
216.408	232.318	然後向這個小孩子說主啊其實我對你是毫無貢獻的我能夠進 你的國完全是你的憐憫,你的赦罪之恩,完全是你給的恩典機會。
232.318	240.666	所以是依靠救恩才能夠進神的國,不是依靠你為耶穌做了什麼,或你為耶穌犧牲了什麼。
240.666	242.388	你們怎麼還搞不懂呢?
242.388	245.070	竟然還在吵架,比誰的功勞大。
245.070	248.173	所以耶穌對這些門徒實在是很頭痛。
248.814	257.496	耶穌繼續講,凡為我的名接待一個像這樣小孩子的,就是接待我。
257.496	275.613	這樣一個小孩子,就是承認自己沒什麼用處,承認自己沒什麼功勞,根本不配敬神的國,願意接待這樣的一個小孩子,就是說承認 沒有一個人可以憑自己的功勞,進神的國。
275.613	280.937	都是依靠上帝的恩典,才能夠進神的國。
