start	end	text
18.797	22.318	弟兄姊妹平安，我們按照每日延經事宜的進度，一起來思想。
22.318	118.657	《馬太福音》第四章一到十一節那時,就是耶穌受洗之後聖靈和天父都為祂作見證祂是神的愛子是天父上帝所喜悅的祂是神子也是人子祂是神的愛子是天父上帝所喜悅的祂是天父上帝所喜悅的公義的仆人 並且聖靈為他做見證聖靈充滿他在他生命當中引導耶穌基督用信心來依靠還有回應父神的旨意所以他受洗之後耶穌就被聖靈引導到曠野做什麼呢受魔鬼的試探我們可能會很驚訝 以為聖靈都是引導我們去過幸福快樂的日子沒有你不要以為受了洗心的耶穌之後人生就一帆風順聖靈要在我們心中幫助我們耶穌來用聖靈為我們施洗讓我們真實的悔改做新造的人並且聖靈持續引導我們知取耶穌基督十字架救恩的大能使我們成為全新的生命可以 回應上帝的旨意活出神的話語來成為一個不一樣得勝的人所以聖靈就引導耶穌到曠野接受魔鬼的試探耶穌祂就禁食四十週夜後來就餓了我們可以來看這個照片首先第一張照片是猶太的曠野 猶太礦野並不像北非的沙漠,因為這個礦野就是沙漠的意思。
118.657	127.699	北非的沙漠都是那種細沙子,但是猶太地區或是以色列地區的礦野都是石頭。
127.699	133.200	所以他就到礦野去禁食、誓死、作業。
133.200	135.480	禁食的目的是什麼?
135.480	137.741	禁食的目的就是要親近神。
138.541	145.253	40代表一個完整的數字,完整的時間。
145.253	183.230	40也代表以色列人在曠野40年, 以色列人出埃及之後他們也在旷野接受信心的考驗很可惜他們失敗了所以他們就倒閉在旷野第一代以色列人就全部死在旷野而耶穌也是一樣耶穌祂也要接受考驗祂也在旷野接受考驗好像用一天來代替一年所以耶穌40天旷野的考驗祂得勝了 以至於祂可以在上帝的面前帶領我們,能夠進到得勝的境界。
183.230	187.673	當祂進食四幾天之後,肚子就餓了。
187.673	196.240	今天很多人到以色列去,我們來看一下第二張照片,會到一個叫伊利哥城附近的士探山。
196.920	203.184	有些人認為就是,耶穌就是在這個試探山這邊,接受魔鬼的考驗。
203.184	205.285	是不是如此,我們不知道。
205.285	222.576	但是後來,真的就很多人,就天主教徒也好,或是一些基督徒,就到這個山上去,找一些山洞,在那邊進食禱告,希望這個能夠在試探當中得勝,倚靠神榮耀主。
223.370	228.152	那當然也有些人就餓死在裡面,屍體很久之後才被發現。
228.152	235.136	那他40天之後肚子餓了,那試探人的就進來,這個就是魔鬼。
235.136	242.880	對耶穌說,你若是神的兒子,就可以吩咐這些石頭變成食物。
243.660	268.581	你若是原文希臘文更好的翻譯是你既然是你既然是神的兒子所以代表魔鬼的試探耶穌並不是要耶穌展現祂奇妙的能力去證明自己是神的兒子原文不是這個意思祂是說你既然是神的兒子 魔鬼沒有懷疑耶穌是神的兒子。
268.581	274.523	你既然是神的兒子,就可以分腹石頭變成食物,就可以拿來吃了。
274.523	277.343	你是神的兒子,你又不是人。
277.343	292.007	你何必像人一樣去經歷這一些會飢餓、會痛苦、會難過、會害怕的這一種試探呢?
292.007	293.348	你不用啊,你是神子啊。
294.343	306.608	對不對,你要,你肚子餓,你要,你吩咐那個礦泥,就是都是石頭嘛,它就變成食物啦,你何必受這種人類才會面對的試探與苦難呢?
306.608	321.635	他其實就是要引誘耶穌,拒絕人子的身份,好讓他逃避人子接下來一個更重的這個使命,天父給他的使命,就是為人類上十字架。
322.654	359.898	這是魔鬼的詭計讓耶穌不要接受祂已經道成肉身的事實不要接受神子已經變成人子所以同時是百分之百的神子有改變但又同時是百分之百的人子有很多人類的限制、考驗跟挑戰所以魔鬼引誘祂你就放棄人子的身分吧 第四節,耶穌卻回答說,經上記著說,人活著不是單靠食物,乃是靠神口裡所出的一切話。
359.898	364.823	耶穌引用生命記第八章第三節來讀這個魔鬼的口。
365.384	369.866	接下來就是耶穌總共有三次跟魔鬼的對話。
369.866	373.867	耶穌都是引用神的話語來抵擋魔鬼。
373.867	376.788	而且他三次都是引用生命計。
376.788	385.852	因為生命計就是摩西在曠野,對這些百姓最後的勸勉。
385.852	388.853	我們要倚靠神的話。
388.853	392.274	神的話是我們的力量,是我們的生命。
392.274	400.966	我們活著不是只是靠吃馬拿, 肉身的生命活下來,這樣是不會到應許之地的,是離不開這個曠野的。
400.966	408.210	我們唯有相信神的話,順服神的話,我們就能夠離開曠野,進到應許之地。
408.210	412.753	所以呢,百姓沒有聽摩西的話,所以第一代以色列人都死在曠野。
413.473	422.979	他們只顧著吃食物,吃瑪拿,卻不願意吃神的話,不願意信靠神的話,他們就失敗了,倒閉在旷野。
422.979	433.845	好,耶穌的回答告訴魔鬼,人活著就是要靠神口裡所出的一切的話,他活著才有真實的價值跟意義。
433.845	457.073	魔鬼看這招不行,就用第二招, 第五節,魔鬼就帶他見了聖城,叫他站在墊頂上,對他說:「你若是神的兒子,可以跳下去,因為經上記著說,主要為你,吩咐祂的使者,用手托著你,免得你的腳碰在石頭上。
457.073	460.251	」 魔鬼就帶他進了聖城。
460.251	462.433	我們來看下一張照片。
462.433	467.517	這是你先去以色列可以看見的,伊路撒冷的聖城。
467.517	476.684	照片裡面的聖城,基本上它其實是伊路撒冷聖殿區的黨土牆。
476.684	482.308	然後黨土牆上面也有一些小的,黨土牆上面有城牆。
483.268	506.492	那我們可以看見就是魔鬼帶著耶穌進到聖城裡然後將要站在這個墊頂其實就是我們看下一張照片就是這個擋土牆的這個頂端高度很高魔鬼就引誘耶穌說 你既然是神的兒子,我們剛剛講過,你若是,因為是你既然是。
506.492	513.117	你既然是神的兒子,一樣引誘他放棄那個人子的身份認同。
513.117	516.860	你既然是神的兒子,你就可以跳下去啊。
516.860	519.362	你剛剛不是用聖經的話回答我嗎?
519.362	522.145	那我也用聖經的話回答你啊。
522.585	536.031	詩篇九十一篇第十一節、第十二節不是有說,主一定會為你吩咐祂的使者,就是天使,用手托著你,免得你的腳碰在石頭上跌傷了。
536.031	540.193	既然如此,第一個,你是神子的身份,我沒有否認。
540.193	542.454	第二個,你想當人子,OK啊。
542.454	550.078	但是呢,既然神吩咐你,不論你做什麼事,都不會有傷害跟危險,你就從這邊跳下去。
551.015	552.757	你要信靠神的話不是嗎?
552.757	553.758	挑啊!
553.758	559.403	因為神既然說要保護你,你絕對不會受傷,絕對不會死。
559.403	566.249	耶穌就對他說,經上又記著說,不可試探主你的神。
566.249	570.373	這在生命記第6章第16節。
570.373	651.313	這個, 我們不要想說信了耶穌以後人生就一帆風順我們還經過很多信心的考驗更不用說自己製造危險然後宣告神一定會來保護我這個叫試探神神明明不喜願你這樣做你還去這樣做然後你還說神一定會拯救你你這是試探神 所以耶穌就對魔鬼說我不會這樣做的因為我沒事幹嘛跳樓對不對我故意製造危險然後用上帝的話語來強迫上帝一定要拯救我這種事情叫做試探神 今天我們要小心了很多時候神吩咐我們不要做那個事不要做這個事我們就是不聽然後又一廂情願的相信我就是進去做這個事情神一定會保護我的你這叫強迫上帝甚至叫做試探上帝喔神不會買單的喔 好,第八節,魔鬼又出了第三招,魔鬼又帶他上了一座最高的山,可能是在異象當中,帶他上了一座最高的山,將世上的萬國和萬國的榮華都指給耶穌看,然後對他說,你若俯伏拜我,我就把這一切都賜給你了。
652.125	654.366	何必那麼辛苦呢?
654.366	660.329	還得上十字架,然後為世人而死,而且死得這麼淒慘。
660.329	664.471	來來來,你如果想要救這世上的百姓不是嗎?
664.471	667.793	他們現在都在我的權柄控制之下。
667.793	677.477	只要你願意俯伏敬拜我,我就把這個世界上和世界上的萬國,還有這些百姓都交給你。
677.477	679.618	你何必那麼辛苦上十字架呢?
679.618	680.659	你拜我就好了。
682.056	684.138	耶穌怎麼回答呢?
684.138	688.721	第十節,耶穌說撒旦,撒旦的意思就是抵擋者。
688.721	700.870	撒旦,因為魔鬼要抵擋耶穌,讓耶穌不要去完成和認同祂降世為人,天賦給祂的神聖使命。
700.870	702.952	撒旦,退去吧!
702.952	710.958	因為經上記者說,他引用生命記六章十三節,當拜主你的神,單要侍奉祂。
712.329	763.246	這很重要喔這個很多時候我們為了得到那個結果我們會不擇手段甚至背棄了我們信仰的原則這個就是不是單只有拜我們的主這個叫做拜神又拜世界拜神又拜撒旦耶穌說我不會為了那個結果然後呢就出賣我的原則 結果很重要但過程更重要所以我不會為了要得到萬國和得到萬國的榮耀繁榮六處興旺五子登科國泰民安不是的我來是要拯救百姓 離開罪惡,進到神真正的國度裡。
763.246	765.748	所以撒旦退我後邊去。
765.748	774.917	好,撒旦呢,於是魔鬼就離開了耶穌,然後就有天使來伺候耶穌,代表耶穌的地位高過天使。
