start	end	text
19.770	23.251	對我姊妹平安，我們按照每日言經11的進度一起來思想。
23.251	53.465	馬太福音第18章的11節到第20節馬太福音18章的上半段耶穌談到門徒們你們不要在那邊比誰的功勞大然後讓其他的小子們誤以為原來我這位彌賽亞也是跟地上的君王一樣就是看門徒誰功勞大誰就可以靠近我一點 然後就是大家在那邊爭權奪利。
53.465	74.138	你們若不承認自己是根本不配進神國,是靠著神的赦罪之恩跟你們悔改的心,願意領受我的十字架救恩,領受我的天國信息才配進神國,看自己是一無貢獻的小孩子,你們才進得了神國,你們才在神國裡面算為大。
74.718	79.400	如果你們不改變,仍然驕傲自大,那你們會下地獄。
79.400	93.445	所以,你們如果繼續作威作福,然後自高自大,而影響到其他那些看起來比較平凡的門徒們,那你們就要倒大楣了,我就要審判你們。
93.445	100.087	那接下來就是說,門徒他們可能就會反應說,好,我們會留意不要這樣子。
100.845	105.369	可是有一些小子們實在是很糟糕。
105.369	115.078	那難道這麼糟糕的門徒,或是這麼糟糕的小子們,我們就放任他不管嗎?
115.078	117.880	他這樣也能夠進神國嗎?
117.880	120.803	所以耶穌接下來要處理這樣的事情。
120.803	125.647	11節,人子來為要拯救失喪的人。
125.647	133.864	小子們當中有很多是 糊裡糊塗、狀況忘記的人。
133.864	136.565	那耶穌會怎麼做呢?
136.565	137.985	放棄他嗎?
137.985	138.405	不是。
138.405	143.186	耶穌說,人子來,為要拯救失喪的人。
143.186	145.027	耶穌就做了一個比喻。
145.027	150.209	一個人若有一百隻羊,一隻走迷了路,你們的意思如何呢?
150.209	151.209	就是你們會怎麼辦呢?
151.869	159.771	耶穌說,祂岂不撇下這九十九隻,要往山裡去找那隻迷路的羊嗎?
159.771	175.095	若是找著了,我實在告訴你們,祂為這一隻被祂找回來的彌圖羔羊歡喜,比為那沒有迷路的九十九隻歡喜還要大呢。
175.095	180.136	你們在天上的父也是這樣,不願意這小子裡失上一個。
181.288	212.706	所以這個施羊的比喻就是有一隻羊走失的這個施羊的比喻耶穌說你們這99隻的羊都很乖然後都走天父的道路走義路這個很好我也很歡喜但是更歡喜的是有一隻迷路的羊 然後牧羊人沒有放棄他,終於把他救回來,使他回來走當走的路。
212.706	215.928	這個是最歡喜的一件事情。
215.928	220.090	你們在天上的父,他的心態也是如此。
220.090	226.855	因為天父不願意隨便放棄任何這小子裡面的一個。
226.855	236.733	所以小子一方面當然是要謙卑,承認自己不是靠自己有什麼好行為, 才進去神國。
236.733	241.060	但是不代表小子,就要讓自己有很多爛行為。
241.060	243.344	這樣神國也是進不去的。
243.344	253.635	但是面對小子這樣子,沒有像你們這些使徒們,好像比較成熟, 那這些小子,天父就會隨便放棄他嗎?
253.635	255.175	耶穌說不會的。
255.175	262.039	耶穌說天父不願意一個小子,任何一個小子,輕易的就被放棄。
262.039	266.561	所以你們也要像我一樣,我就是那個比喻裡面那個好牧人。
266.561	271.163	你們要去挽回,找回到那隻迷路的羊。
271.163	276.265	所以不要輕易放棄,看起來很糟糕糊裡糊塗的小子,要去挽回他。
277.363	310.238	十五節那倘若你的弟兄得罪你你就去趁著只有他和你在一處的私下的時候指出他的錯來那接下來耶穌要進一步如果剛剛講的是有糊裡糊塗的羊走偏的路你要把他挽回那但是如果今天是有弟兄他是得罪你了那你要怎麼辦呢耶穌說你要在私底下的時候 去告訴他,他哪裡做的不合真理。
310.238	311.878	指出他的錯誤來。
311.878	313.939	他如果聽你,哇!
313.939	317.120	你便得了你的弟兄。
317.120	320.002	所以你去規勸他的目的,不是要去羞辱他。
320.002	325.644	你規勸他的目的,就是要去幫天父找回那一隻迷路的小羊。
326.203	330.508	你就得著了你的弟兄施而復得。
330.508	340.480	但是他如果不聽,你就另外帶一兩個人同去,要憑兩三個人的口做見證,句句都可定準。
341.561	378.227	你如果勸他勸不聽你就再另外帶一兩個弟兄去那按照這個生命計所說的憑兩三個人的口可以來做見證就是說我們兩三個人都跟你講你不要做違背神心意的事情那我們講的這些都是對的那如果你也不聽我們就要三個人就要做見證說你這樣是不對的你這樣是錯的 所以呢就是,一個人去勸,勸不聽,就再帶一兩個人,兩三個人去勸他。
378.227	380.588	那如果還是不聽呢?
380.588	385.088	17節,若是不聽他們,就可以告訴教會。
385.088	389.949	那教會就要進一步再來介入這個犯罪的弟兄。
389.949	394.250	那如果這個人他也不聽教會呢?
394.250	399.551	就看他像外邦人和稅吏一樣,就是看他不是天國的子民。
400.265	458.541	不是信我的小子所以這邊就是說要用盡各種方法讓這個迷失的小羊有機會回來但如果最後教會怎麼樣百般的規勸他都不聽那真的那他就不是天國的子民了 18節我實在告訴你們凡你們在地上所捆綁的在天上也要捆綁凡你們在地上所釋放的在天上也要釋放這句話在第16章已經出現了在那邊我們也解釋過在耶穌時代的拉比他們是怎麼解釋捆綁跟釋放他指的是禁止跟許可也就是說猶太人的拉比 就是說,你如果違背了這個律法,那這個就用律法捆綁你,禁止你,禁止你進成了國。
458.541	471.405	你如果遵行律法,行了律法,他就鬆開那個捆綁,釋放你,使你可以得自由,使你不受律法的審判, 是你可以敬神的國。
471.405	478.590	這是那時候拉比他們對於這個捆綁跟釋放指的是這個禁止跟許可的意思。
478.590	501.058	那用在這個天國福音的這個門徒身上指的就是你有沒有順從天國福音來悔改順從天國福音的教導你有順從天國福音那你得到的就是賞賜 那就可以進神的國。
501.058	510.789	如果你違反天國福音的教導跟勸勉,而且是屢勸不聽,你就是被禁止進入這個神的國。
510.789	514.554	所以這個我們在16章已經解釋過了。
514.554	529.443	耶穌接著繼續講,我又告訴你們, 若是你們中間有兩個人在地上同心合一地求什麼事,我在天上的父必為他們成全。
529.443	551.693	這句話放在這個上下文裡面的我個人認為最好的解釋可能跟你不看上下文的解釋會差非常的多如同十八節是一樣你不看他上下文的解釋 你很容易就單純的就去想說,就是我們禱告捆綁了誰,誰就被捆綁。
551.693	554.595	好像以為是捆綁那個魔鬼的作為。
554.595	556.456	釋放誰,誰就得釋放。
556.456	563.281	好像以為就是說,禱告誰要被魔鬼釋放,那魔鬼就得釋放他。
563.281	565.682	上下文不是這個意思。
565.682	629.926	那19節這邊的意思是說, 耶穌說若是你們中間有兩個人在地上同心合意的求什麼事這個什麼事指的是剛剛有關於教會執行教會的紀律按照天國福音的教導按照真理的教導來執行紀律使人得賞賜或使人被懲戒得以進神國或是不得進神國 這個基本上天國福音和真理都講得清清楚楚因為18節我們之前在第16章也解釋過18節它的原文的實態是這樣凡你們在地上所捆綁的在天上已經捆綁凡你們在地上所釋放的在天上已經釋放 所以就是說,一個人他照著天國福音的真理和教導走,他就是一個在天上已經被釋放的人,他已經敬神的國了。
629.926	635.130	那我們在地上所做的這個宣告, 只是說為祂作見證。
635.130	637.753	說對,你這樣就是神國的子民。
637.753	640.997	對,你這樣就是符合上帝的真理。
640.997	645.702	我們好像是天國君王的宮廷總管。
645.702	647.624	或是說天國君王的家宅。
648.285	651.526	我們都擁有那個天國的鑰匙。
651.526	746.083	如同16章耶穌所說的彼得他有那個天國鑰匙在第18章這邊是其他的使徒們其他的門徒們也有這個天國的鑰匙只要是你按照真理按照聖經按照天國的福音來遵行的人 那這個天國君王的宮廷總管就會為你開門因為你所行所做的完全符合天國君王的教導我當然替你開門啊為你做見證你當然是屬於天國子民的一員嘛 但如果你的所行所言所做完全跟天國君王教導我們的吩咐我們的完全不符合我當然不會替你做見證當然不會替你開門見證說你是屬於天國成員一份子我甚至還要執行教會的紀律宣告你不屬於天國成員的一份子就是被趕出教會所以十九節這邊其實他主要強調說 你們當中如果是按照真理 你們有兩三個人是按照真理而且是互相同意真理真的是這樣教導的情形之下你們來執行教會的紀律的各種的判決並且這樣的一種執行教會紀律的判決你們是用禱告求問的方式來問神我們這樣子來執行教會的紀律在這種不悔改的弟兄的身上 主啊!
746.083	747.705	祢同意嗎?
747.705	829.619	耶穌說天父必成全因為這樣的規矩本來就是天父自己所定的規矩你不照天國福音的道理走天上已經捆綁你了天上已經禁止你進神的國了 你們在地上只是代表天父執行大家早已認同的天國真理天國紀律來宣告誰屬於天國子民的一份子誰不屬於天國子民不屬於教會的一份子天父當然成全因為你們是照真理走今天很多時候教會不太執行這種紀律 巴不得你來聚會啊因為你多點人來聚會代表這個教會興旺嘛他也不太管說這個你們到底有沒有在照天國福音的標準在過生活教會現在都不太管這種事情所以他的原文意思很簡單就是說 你們兩三個人如果是按照真理,然後互相同意,我們都是按照真理,真理也是如此說,來執行教會的各種的勸勉,各種紀律的執行的這種判決,透過禱告求問上帝,那天父必會成全,因為你們是按照真理來執行的。
