start	end	text
20.060	23.442	弟兄姊妹平安，我們按照每日延經事宜的進度,一起來思想。
23.442	28.205	《馬太福音》第22章的23節到33節。
28.205	37.451	撒都該人,這時候就是耶穌在聖殿裡面講天國的福音,但是各門各派的人都來挑戰耶穌。
37.451	40.273	已經有幾個門派的人敗下陣來了。
40.273	43.555	所以23節的時候,換撒都該人來挑戰耶穌。
44.582	54.856	薩都該人基本上他有幾個特色,他們就是祭司團體,所以他們的領袖就是大祭司、祭司長這些人。
54.856	59.563	薩都該人他們只相信舊約裡面的摩西五經,其他的應該不相信。
60.435	67.438	再來他們的立場,他們是不相信有死人復活。
67.438	72.920	他們認為人死了之後,身體跟靈魂就消失了,就沒有了。
72.920	76.001	所以沒有死人復活,也沒有天使。
76.001	81.063	他們只承認摩西五經裡面所說的,所以摩西說什麼對他們很重要。
81.063	89.587	再來他們是一群比較思想行為上已經比較受希臘文化影響的,希臘化的一群猶太人。
90.367	113.950	那他們基本上是祭司,所以他們也 跟法利塞人一起控制,猶太人最高的宗教自治組織,叫做公會,來審判猶太人在宗教跟律法上的一些行為,並且對於律法的解釋,他們也擁有很大的影響力。
113.950	117.070	好,看到其他人落敗,撒都該人也出手了。
117.070	148.916	撒都該人常說,就他們不斷的宣稱, 沒有復活的事但是法利塞人跟大部分的老百姓他們都認為有死裡復活這件事情就是有一天上帝會叫死掉的人都復活然後呢那些堅守信仰的義人上帝會稱他為義 然後對那些不信上帝的惡人。
148.916	150.496	對猶太人他們來講。
150.496	151.897	他們的想法比較狹窄。
151.897	156.438	就是那些不信耶和華上帝的外邦人。
156.438	158.478	上帝回教他們從死裡復活。
158.478	160.759	然後定他們為有罪。
160.759	163.039	審判他們到地獄去。
163.039	164.340	但是到新約的時候。
164.340	166.100	耶穌告訴我們一個更寬廣的。
