start	end	text
4.889	92.819	繁體中文， 弟兄姊妹平安。
92.819	94.220	端午節大家有沒有出去玩?
94.220	98.943	端午節嘛,對不對?
98.943	103.565	突然大家沒有回應,我想說我是講錯了嗎?
103.565	106.547	來,後面的弟兄姊妹趕快坐到位子上來喔。
109.838	117.927	對,可能有一些弟兄姊妹在這個端午節連假,可能都有安排出遊。
117.927	120.850	對,那我是喜歡露營的啦。
120.850	124.314	那所以我前三天,前三天去露營。
124.314	128.298	然後我這一次是去桃園,拉拉山露營。
128.298	129.159	喔,車子很多。
130.350	138.252	那回程的時候真的是知道桃園,但很多人都往桃園這個方向跑。
138.252	144.934	開車從這個拉拉山,我開回淡水,開了四五個小時。
144.934	147.215	對,就是滿塞的,滿塞的。
157.858	188.584	繁體中文， 對,今天有愛宴,如果你還沒有登記愛宴的,記得要到招待那邊去登記,不然待會聚會結束,對,就沒有可以跟我們一起享受美味的愛宴。
190.060	225.467	好,那我們今天是第一次從裡面的會堂到外面這邊來聚會那可能有些部分還在調整當中如果覺得待會天氣很熱就是不夠涼的時候請大家就是可以跟招待同工反映那如果真的是覺得太冷了外套要戴我們桃園堂的冷氣非常冷 對,以後來聚會請記得都要戴外套。
225.467	241.796	好,那因為我們這個會比較屬於比較開放的空間,所以未來可能在這邊聚會的時候也鼓勵大家能夠提早,我們是50分就是會為著教會的所有的需要一起禱告。
242.415	249.496	那如果可以的話,很棒,大家今天都有提早50分,到達桃園堂,到達教會。
249.496	254.837	那我相信大家都預備好心,要來朝見神,要來禱告。
254.837	259.538	那如果你更可以的話,你也可以再更提早一點。
259.538	267.840	我們在9點,9點,9點,有一個禱告,有一個實體的禱告會,是在小教室裡面。
268.456	277.383	對,那如果說你們可以的話,就鼓勵大家能夠九點就到教會,然後參與實體的禱告。
277.383	281.025	好。
281.025	281.045	好。
305.606	312.748	各位姊妹姊妹,我們一起來,我們就一起站立起來。
312.748	321.991	我們是禱告的教會,我們一起來到神的面前,我們一起來向神獻上禱告,向神獻上感恩。
321.991	327.353	好不好,我們現在整個淡江教會讀經的進度到哪邊呢?
328.575	330.615	格羅西書,對不對?
330.615	336.157	因為格羅西書其實是保羅在講論基督論的一卷書卷。
336.157	343.839	我們可以從這個格羅西書當中,可以去更多的去明白我們的神是一個怎樣的神。
343.839	354.041	我們同聲開口,我們來為著神的一些豐盛的恩典,豐盛的屬性,我們來禱告,我們來讚美神,我們同聲開口來讚美神。
355.384	355.824	主啊!
355.824	357.886	我們來向祢面前。
357.886	358.046	主啊!
358.046	358.226	主啊!
358.226	360.107	來更多的來仰望祢。
360.107	360.647	主啊!
360.647	361.388	主啊!
361.388	363.149	祢是與我們同在的神。
363.149	363.589	主啊!
363.589	364.850	祢可以把主啊!
364.850	365.791	所有的恩典。
365.791	366.211	主啊!
366.211	367.412	所有的祝福。
367.412	367.852	主啊!
367.852	369.933	都請到在我們的身上。
369.933	370.514	主啊!
370.514	371.374	讓我們知道主啊!
371.374	372.215	我們需要祢。
372.215	372.875	主啊!
372.875	375.657	我們來到祢面前更多的豐盛榮耀。
375.657	376.237	主啊!
376.237	377.138	都是祢來的。
377.398	379.299	繁體中文，臺灣國語。
399.292	401.434	更多更多的來到我們面前。
401.434	402.815	主啊我們祝福。
402.815	404.437	主啊我們向祢仰望。
404.437	405.898	主啊我們向祢仰望。
405.898	406.679	謝謝耶穌。
406.679	407.560	Hallelujah。
407.560	409.261	主啊讚美祢。
409.261	410.362	讚美祢。
410.362	410.622	讚美祢。
412.176	426.183	在聚會之前,我們一起來為我們今天的講員莊牧師禱告,因為他這幾天的身體不太舒服,整個的狀況不是很好。
