start	end	text
0.009	2.350	我們一起來思想。
2.350	4.371	繁體中文，我們一起來思想。
4.371	29.826	繁體中文， 哪一位是上個禮拜在我們這邊聚會的?
29.826	33.569	上個禮拜有在這裡聚會的,請舉手。
33.569	35.310	OK,好,很高興。
35.310	38.753	上個禮拜的講員很特別,對不對?
38.753	40.334	廖雅慧,廖姊妹。
40.334	42.976	她是我的同事,以前的同事。
42.976	46.299	然後也是天運師班的團員。
46.299	55.182	那她的生命故事, 在疾病當中怎麼樣仍然依靠主堅定服事在神的道路上。
55.182	58.103	我覺得這是一個很美好的見證。
58.103	66.905	那也很感謝主大家透過祂的見證我們也能夠經歷我們的神是一個豐富滿有恩典也是一個醫治的神。
70.162	80.969	在這段時間,我們就是一個預備我們的心,要來預備來朝見我們的阿爸天父,朝見我們的神。
80.969	120.888	在五十分開始禱告之前,我想我們就安靜我們的心,我們就跟神 我真的覺得找來的弟兄姊妹是非常非常有福氣,因為我們在主日開始之前,我們就能夠從忙亂,忙碌的生活當中,能夠被分別為聖,能夠被分別出來,能夠安靜在神的面前,如同瑪利亞一樣,享受與主的對話,享受跟神單獨, 面對面的時光。
120.888	124.611	我們不在乎旁邊坐的是誰。
124.611	135.019	我們知道我們這時刻﹐是單單的可以與主﹐來相遇﹐是何等的有恩典。
135.019	141.484	好不好﹐這時候我們就安靜我們的心。
141.484	142.425	祝讚美你。
144.360	155.167	向我們的阿爸天父來說,主啊,我渴望與祢面對面。
155.167	160.910	主耶穌,讚美祢。
160.910	166.073	主耶穌,祢是榮耀的君王。
166.073	167.394	我要來讚美祢。
171.971	176.715	哈利路亞。
176.715	182.921	神的主,謝謝你。
182.921	188.485	哈利路亞。
188.485	189.967	主耶穌,我愛你。
192.892	199.519	我渴望更多的親近祢。
199.519	200.360	哈利路亞。
200.360	207.928	最初讚美祢,讚美祢。
207.928	211.893	哈利路亞。
228.217	231.940	要來朝見阿爸天父。
231.940	238.264	謝謝主,謝謝祢。
238.264	240.145	阿蕾路亞。
240.145	244.088	主,我讚美祢。
244.088	245.849	阿蕾路亞。
256.630	280.023	聖靈我們歡迎祢,因為我們知道祢與我們同在。
280.023	294.361	主祢就在我們的當中, 我們渴望透過禱告與祢來相遇,與我們的阿爸天父來相遇。
294.361	301.886	這時候我們為神的寶座設立在眾教會,我們同心合一的來禱告。
301.886	317.851	因為我們知道神的寶座設立在教會當中, 神的寶座要在祂的百姓子民當中彰顯。
317.851	326.117	好不好,這時候我們同生的我們歡迎,歡迎神,歡迎神的祝福要臨到眾教會。
326.117	342.629	我們同生來開口禱告,主耶穌我們讚美祢,阿賴路亞耶穌我們讚美祢,主因為祢是掌權的神,主耶穌祢是我們的阿爸天父,主祢樂意在眾教會當中,主啊特別在這個主日, 主啊祢祝福宗教會。
342.629	345.853	主啊主宗教會的會友們。
345.853	349.096	弟兄姊妹們都要在逐日與祢相遇。
349.096	350.738	主啊與祢來面對面。
350.738	355.423	主耶穌我們要看見祢的榮耀彰顯在教會的當中。
355.423	357.345	祢的能力要互逼祢的兒女們。
357.585	360.587	主啊祢大人的旁臂來托住我們。
360.587	362.268	讓我們在祢的愛中。
362.268	364.850	主啊恩主得謀祢的應許。
364.850	366.931	得謀祢自己的祝福。
366.931	369.253	主耶穌是的主我們歡迎祢。
369.253	372.335	哈利路亞耶穌讚美祢歡迎祢。
372.335	373.656	聖靈我們歡迎祢。
373.656	377.178	主啊我們邀請聖靈掌權在我們的當中。
377.178	379.660	我們邀請聖靈主啊祢要祝福。
380.060	386.927	主啊,眾教會的敬拜,主啊,眾教會的禱告,都要在祢的面前得謀祢的悅納。
386.927	393.754	因為主啊,主啊,是以我們的禱告為如同信箱的字跡,要獻在祢的面前。
393.754	416.407	主耶穌讚美祢,是的,主耶穌,哈利路亞耶穌, 主耶穌我們歡迎,歡迎聖靈的教官,歡迎,主啊歡迎祢,主耶穌祢要充滿在我們的裡面,主啊充滿在每個弟兄姊妹的當中,主耶穌是的主讚美祢,哈利路亞耶穌讚美祢, 噢,主耶穌我們讚美祢。
416.407	419.250	噢,主啊,我們願將一切的榮耀都要歸給祢。
419.250	421.332	噢,主啊,是的主。
421.332	427.880	噢,主啊,接下來我們要為神在我們的國家社會掌權的運行來禱告。
429.462	436.725	在詩篇第三十三篇十二節這裡說,以耶和華為神的,那國是有福的。
436.725	440.567	祂所揀選為自己產業的,那名是有福的。
440.567	455.254	弟兄姊妹,好不好舉起你的手,舉起你的心,向我們的神來禱告,我們的國家要得蒙神的祝福,因為我們是敬畏神的國家,我們的國家在神的掌權的當中是得蒙保守。
455.674	458.578	我們不再害怕恐懼的當中。
458.578	462.183	願這地的百姓都全然來歸向神。
462.183	464.266	我們開口來禱告。
464.266	466.669	噢 主耶穌我們讚美祢師的主。
466.669	470.434	祢應許說 以耶和華為神的那國是有福的。
470.434	475.978	主啊 願臺灣成為 祝我們脫離一切的兇惡。
475.978	481.099	祝我們脫離一切的恐懼。
492.022	501.768	在神祢的恩典的裏面,我們的國家是得蒙祢的祝福,得蒙祢自己的保守。
501.768	520.101	主願居住在這裏的百姓,主要都要看見神的恩典跟榮耀,彰顯在我們的當中,主要祢要掌權在我們的裏面,主啊,我們讚美祢,主啊,是的主,我們也渴望,主啊,福音要大大的遍傳在臺灣, 在臺灣的各地。
520.101	521.322	特別也為著。
521.322	524.086	淡江教會在高雄福音中心。
524.086	525.768	在萬華。
525.768	527.770	我們所要揀選的場地。
527.770	529.472	我們也同聲來禱告。
529.472	530.613	雖然在桃園這邊。
530.613	532.936	我們看見神豐富的供應。
532.936	534.578	神豐富的恩典。
534.578	536.140	但是我們也渴望福音。
536.340	539.923	要大大的遍傳在臺灣這片土地上。
539.923	542.364	我們也同聲來禱告。
542.364	543.865	主耶穌我們讚美祢。
543.865	544.106	哦!
544.106	544.786	主啊!
544.786	546.948	恩主祢願一萬人得救。
546.948	547.308	哦!
547.308	547.628	主啊!
547.628	548.429	明白神道。
548.429	549.389	主啊!
549.389	552.652	祢渴望臺灣社體的百姓都全然來歸向祢。
553.012	557.894	主啊,我們就向祢來祈求,願祢的福音要大大的遍傳。
557.894	561.615	主啊,願祢的福音要在這地的百姓的心中。
561.615	563.095	主啊,賜下那渴慕的靈。
563.095	565.916	主啊,賜下那願意來歸向真道的心。
565.916	574.739	主耶穌我們讚美祢,我們為著我們的高雄福音中心所找的聚會的場地。
574.739	581.524	主啊,為著萬華, 主啊,恩主所要找的聚會的場地向祢來禱告。
581.524	582.224	主啊,恩主。
582.224	587.328	主啊,我們渴望看見聖靈祢永遠走在我們的前面。
587.328	588.609	為我們來開路。
588.609	590.650	主啊,為我們來尋找。
590.650	594.093	主啊,那個可以聚會的地點。
594.093	595.554	主啊,我們仰望祢。
595.554	598.216	願聖靈主祢掌權在我們的當中。
598.216	603.080	主啊,我們要看見主啊,祢恩主怎麼樣帶領以色列人出埃及。
603.660	610.286	主啊,恩主進到迦南美地,祢也要帶領淡江教會,走在祢心裡的裡頭。
610.286	620.416	主啊,我們恩主十年二十個堂點,主啊,什麼時候要啟行,什麼時候找到那個地點,都在聖靈祢的帶領的當中。
620.416	626.139	我們渴望, 看見神的作為,要在淡江教會彰顯出來。
626.139	627.659	主耶穌,我們謝謝祢。
627.659	631.481	願主祢大能的幫臂,成為與我們同行。
631.481	633.122	主啊,成為我們的力量。
633.122	634.522	主耶穌,我們謝謝主。
634.522	640.424	主啊,接下來我們要為著我們與神的關係,能夠更親近來禱告。
640.424	646.769	在雅各書第4章第8節說,你們親近神, 神就必親近你們。
646.769	649.792	這是何等大的應許跟恩典。
649.792	654.136	當我們什麼時候來親近神的時候,神就要親近我們。
654.136	655.878	喔,主啊,弟兄姊妹。
655.878	659.342	主啊,把那個瑪利亞的心志放在我們的心中。
659.342	661.964	願我們都成為那親近神的人。
661.964	663.306	神就要親近我們。
663.626	665.888	主耶穌恩主我們仰望祢。
665.888	669.191	主啊弟兄姊妹，我們同聲來向神呼求。
669.191	671.472	說主啊我渴望親近祢。
671.472	674.575	主耶穌我渴望與祢相遇。
674.575	677.337	主啊我渴望在祢的恩典的裡面。
677.337	678.859	被祢自己來得著。
678.859	681.160	主耶穌恩主。
681.160	682.361	主啊幫助我們。
682.361	684.863	主啊隨時隨地。
684.863	687.826	主我們都渴望來與祢面對面。
687.826	689.848	主啊恩主祢應許說。
689.848	692.330	主啊祢要隨時與我們同在。
692.790	699.894	主啊,祢不是在外面的神,祢是在我們內心裡面的神,祢隨時與我們同行的神。
699.894	705.218	主啊,能夠與祢親近是何等大的恩典,何等大的祝福。
705.218	708.299	主啊,我們願意成為那清新的人。
708.299	711.541	主啊,是在祢的手中得蒙祢的祝福。
711.541	717.065	主耶穌,我們謝謝祢,願主祢大能的幫臂來托住我們。
717.065	719.006	主啊,是的,主,謝謝祢。
719.006	728.660	哈利路亞,弟兄姊妹, 神應許說,當我們顧念神的家,神就要顧念我們的需要。
728.660	745.139	你是不是在生活當中,有一些需要,不管是經濟上的,不管是身體的,或是鄰裡的, 我們都沒有辦法離開這個﹐恩待我們的神。
745.139	751.922	我們好不好同生的為﹐神供應我們身心裡一切所需﹐來禱告。
