start	end	text
0.009	16.256	詩篇3到5節那裡說,你當倚靠耶和華而行善,住在地上,以他的信實為良,又要以耶和華為樂,祂就將你心裡所求的賜給你。
16.256	23.374	當將你的事交託耶和華, 並依靠祂,祂就必成全。
23.374	31.997	各位弟兄姊妹,我們一起開聲,來頌讚我們這位,成為我們可以依靠的主耶和華。
31.997	40.640	我們要依靠祂來行善,我們要依靠祂的信實,我們相信祂是慈愛信實的神。
41.220	48.766	我們要以這位神耶和華為樂,因為祂要將我們心裡所求的賜給我們。
48.766	52.088	所以弟兄姊妹,你心裡有掛心的事嗎?
52.088	54.850	你心裡有可想所求的事嗎?
54.850	56.651	你對這位神有期待嗎?
56.651	77.644	好不好,我們現在就同聲的來開口,說主啊,是的,祢是我的主耶和華,祢是我的神,我今天來到祢的殿中,我也要來仰望祢,讓祢做我的主,讓祢做我的神, 我要以祢的慈愛信實,為我每一天生活當中被提醒,是的,祢是慈愛信實的神。
77.644	88.789	我要以祢為樂,我要將我心裡所求的都交託給祢,因為我要依靠祢,祢必成就,因為祢在乎,祢必成全關乎我的事。
88.789	91.370	好不好,我們就同聲的來開口,來呼求祂。
92.210	95.111	阿蕾路亞,祢是我的主,我的神。
95.111	98.251	主耶和華,我要送善祢,我要敬拜祢。
98.251	102.072	是的,祢是我的依靠,祢是我的拯救。
102.072	105.473	是的,祢是我慈愛信使的神。
105.473	108.553	主,謝謝祢是我隨時的幫助。
108.553	111.374	主,祢姑娘有關乎所有我的事。
111.374	113.374	主,我要讚美祢。
113.374	114.595	是的,我要以祢為樂。
114.595	126.500	主,我要以祢為樂,因為祢是使我可以依靠祢, 主我要讚美祢,主要是的,祢是慈愛憐憫的神。
126.500	131.703	主我要將我所求的,我心裡所想的,都要來交託給祢。
131.703	135.405	主要是的,把我的事都交託給祢。
135.405	138.427	主我要來依靠祢,祢就必成全。
138.427	142.290	主我做不到的事,祢可以,是的,主我讚美祢。
142.910	173.206	神的百姓, 把你現在最印象最深刻的那樣子需要的族群或需要的人為他們提名來禱告吧。
173.206	203.156	或許你現在所掛記的是在我們當中剛過世的雪玲她的家人 祂的爸爸媽媽祂的姊姊哥哥們祂們這些家族祂們現在正為雪凌在辦這樣子的一個追思禮拜的一個過程願神安慰他們的心也或許你掛記的是有你的所愛的親友祂們在肢體上有軟弱 他們在肢體上﹐在身體上﹐受到疾病的這樣子一個影響。
203.156	206.717	他們正在絕望﹐正在難過﹐正在無力當中。
206.717	215.719	好不好﹐無論是你現在心裡所掛記的﹐或者你的家人﹐我們現在就一一的來提名﹐把他們交託仰望在神的手中。
215.719	217.780	我有神可以成為他們的幫助。
218.080	220.582	我有神可以拯救、醫治他們。
220.582	221.984	我們同聲的來開口。
221.984	222.524	阿蕾路亞。
222.524	224.066	阿蕾路亞,主我們要讚美祢。
224.066	227.248	主要奉耶穌基督的名,要來祝福血瓶。
227.248	229.090	祝福主要他們全家。
229.090	235.175	主要是個讓他們在這,主要失去血淋的過程, 祝祂們深知道。
235.175	237.837	雪靈祂已經安息在主祢的懷裡。
237.837	241.159	祝祂現在主已經熄了陣地上的牢窟。
241.159	247.643	主啊試著求祢,透過祂們在後座啊,追念雪靈的過程。
248.404	251.925	主祂們全家要經歷祢豐盛的慈愛。
251.925	253.665	祂們的心要得到祢的安慰。
253.665	256.746	主啊,是的以至於祂們要同心合意的。
256.746	259.167	主啊,一起來焦點聚集於祢。
259.167	266.429	祂們就是能夠主啊,透過這些屬祢的兒女,愛要傳遞到祂還沒有信主的家人、親友們。
266.869	270.930	主我們要為文君、主我們要為主啊還有桂華。
270.930	273.591	主為我們當中在身體上有軟弱的。
273.591	275.872	主啊求你來醫治。
275.872	278.473	主啊求你真的是加添力量給他們。
278.473	281.174	主啊是的我們當中有財務困難的。
281.174	284.475	主啊我們當中主啊在人際關係上。
284.475	286.435	主啊有遇到挑戰的。
286.435	288.796	在職場在事業上遇到挑戰的。
289.036	291.358	主啊都求祢加添信心。
291.358	295.822	主啊求祢幫助每一個屬祢的兒女被祢抬到高處。
295.822	297.744	祂們用祢信心的眼光來看。
297.744	301.107	主啊這些環境沒有辦法打倒他們。
301.107	303.929	這些環境是祢要用來試煉他們。
303.929	306.852	磨挫他們的生命的一個工具而已。
306.852	308.853	主啊因為祢遠遠大過這一切。
308.853	312.757	主啊讓他們就願意抬起頭來,來領受祢的信心。
313.097	316.460	勇敢的抬起頭來跟隨祢往前走。
316.460	317.180	祝我們要讚美祢。
317.180	319.062	祝我們要敬拜祢。
319.062	322.545	祝我們把我們所愛的每一個人﹐帶到祢的面前來。
322.545	325.347	祝祂適得願祢自己親自來憐命。
325.347	328.490	祝祂親自來向他們顯現祢自己。
328.490	329.190	祝我們讚美祢。
