start	end	text
0.009	3.330	我們再次用掌聲來把榮耀歸給神。
19.241	47.120	我們要一起來讀上帝的話語很有分量的羅馬書也是一個見證祂是怎麼樣子的從撒旦的權下成為上帝的兒子以至於祂大力的傳揚福音今天我給的題目叫做加速前進加速前進好 我們來讀一下今天的經文今天的經文在羅馬書從第一章要讀到第15節第一章第一節到15節我們就同聲來誦讀神的話語好嗎 都看到了嗎?
47.120	49.684	如果你有自己的聖經,需要聖經的,可以舉手。
49.684	52.107	同工可以協助你。
52.107	54.792	第一章,我們一起讀,預備,來。
54.792	61.101	耶穌基督的僕人保羅奉造為使徒,特派傳神的福音。
61.442	68.606	這福音是神從前界眾先知﹐在聖經上所應許的。
68.606	94.423	論到祂兒子我主耶穌基督﹐按肉體說是從大衛後一生的﹐按聖善的靈說﹐因從死裡復活﹐以大能顯明是神的兒子﹐我們從祂受了恩惠並使徒的職份﹐ 在萬國之中,叫人為祂的名信服真道。
94.423	99.266	其中也有你們這蒙召屬耶穌基督的人。
99.266	106.592	我寫信給你們在羅馬,為神所愛,奉造做聖徒的眾人。
106.592	113.817	願恩惠、平安從我們的父神並主耶穌基督歸於你們。
113.817	116.779	我們先讀到這邊,我們先一起低頭來禱告。
117.892	149.164	上帝謝謝祢這是一封非常有重量的書信是一個被祢完全翻轉過來的人以至於祢使用它成為翻轉這個世界的一個器皿主願這一篇信息也成為我們自己生命的見證禱告奉耶穌基督的名阿們 在保羅的生命當中,大家很多,今天不曉得有沒有是第一次在我們當中聚會的朋友,讓我舉手,我看一下,我就知道我需要講多少,OK。
149.164	154.846	好,今天也有李卿的朋友從金門一早坐飛機來,是嗎?
154.846	155.446	給他們掌聲。
157.415	178.662	好,這幾位新朋友,如果在聖經的教學裡面不是很理解,我稍微簡單講一下,這位掃羅,他原本的名字是掃羅,他原本是在當時的世界,羅馬的世界裡面,一個非常厲害的法利賽人當中的教法師,他是律師中的律師,很厲害的。
178.662	182.843	他對於所有的律法清清楚楚,而且可以教導別人。
183.183	222.963	因此他從羅馬的權柄政府當中得到權柄他能夠把這些信耶穌的猶太人抓起來關起來這是他覺得非常驕傲的事情而且他一直在做這一件事情他對於律法舊約裡面的律法這個耶穌來之後是新約的時代所以在舊約裡面所教導的東西到了新約的時代這一位掃羅他一直遵行著舊約的律法的規條 以至於他一直跟著,然後覺得自己做的是非常準確、正確的事情,毫不含糊,而且非常得到政府的許可,拿到許可證,就在做他自己覺得很正確的事情。
222.963	230.307	但是呢,剛剛讀的經文裡面提到他的生命是怎麼樣子的不同,他後來成為一個新的名字,保羅。
230.367	232.747	他原本的名字叫掃羅。
232.747	237.848	他改名字的原因是因為上帝說你從此以後要改一個生命的名字了。
237.848	242.449	因為你開始要把生命的力量要重新訴說他。
242.449	244.590	因為他以前完全是錯誤了。
244.590	246.470	他成為一個新的身份。
246.470	249.571	他以前是捉拿耶穌的抵擋基督的。
249.571	255.952	當他在去捉拿耶穌的路程當中上帝與他相遇之後,他的生命開始180度的改變了。
256.152	262.573	當他重新上路的時候,上帝使他的生命加速的前進。
262.573	267.834	他以前加速的,快啊加鞭的,要去抓基督徒,把他們下在監裡面。
267.834	280.817	可是當他重新知道自己是一個需要耶穌的愛,需要上帝的赦免的人的時候,他加速前進,不再是去做自以為是的事情,乃是往神要他奔走的路上跑。
280.817	356.812	所以這是保羅在 羅馬書當中很重要的信息祂知道自己是誰所以剛剛讀的經文從第一到第七節是在告訴我們說祂的身分是如何的改變祂如果不是因為在使徒形狀裡面有最多形容祂是怎麼改變的但是這邊就直接論述祂寫信給一個祂不是自己建立的教會的羅馬教會祂那時候祂寫這封書信的時候是在哥林多 這個城市裡面那他寫信給在羅馬的基督徒羅馬是當時第一大城有一百萬的人口非常厲害現在有人去過羅馬嗎去過舉手一下我看一下好的除了非常多的偷盜事件以外你可以看到非常多的 以及聽說羅馬的那個旅遊很危險有被偷盜的經驗有點頭就是聽說啦去羅馬現在去旅遊要很小心因為非常多的搶劫的事件除了當時的羅馬這個大城現在我們看到的許多的廢墟就可以想像當時的封容是怎麼樣子的狀態 當時有一百萬的是地中海當中最大的城市。
356.812	363.395	你看有多少的貴堂,有多少的知識分子,有多少的權貴有錢人都聚集在羅馬。
363.395	370.699	但同時上帝也非常的恩待羅馬的人,讓福音傳到那裡去,有人傳福音給他們。
370.699	372.940	所以有猶太基督徒成為基督徒了。
373.200	376.161	非猶太人也成為基督徒了。
376.161	383.004	但是當保羅在哥林多寫信給這一群基督徒的時候,他一直想去,他一直沒有機會去。
383.004	386.685	可是他對他們的信心跟盼望是強烈的。
386.685	395.269	他對於教會神國度的兒女們,不管是不是他建立的教會,是不是他傳福音信主的兒女,他對福音的核心是很清楚的。
395.469	404.256	所以他一直想要去見他們,但是既然不能去,他就在哥林多寫信告訴他們說,你們知道福音的重點是什麼嗎?
404.256	413.844	你知道你們在第一大城裡面成為權貴,成為有錢人,成為知識分子,你們在會堂裡面跟人辯論你所見證的耶穌是誰嗎?
