start	end	text
0.009	16.041	好 那今天的話呢我要分享的就是我的題目叫做《聖結之路》《立位記》的主題是什麼 我們現在都很會說了。
16.041	30.404	記得以前我讀《立位記》的時候,我真的是在過去一些年日,每次讀到《立位記》的時候,我還真認真拿一個表,然後在那邊寫來寫去,這個記那個記這個寫,寫到後來就沒有辦法寫下去了。
30.404	39.787	就感覺是什麼,東一塊西一塊,覺得這個牛羊油麵滿天飛,然後這個節日規矩一大堆。
40.247	44.588	那真的是不知道在幹什麼。
44.588	49.249	那我很認真的從那個中間想要歸納一些什麼。
49.249	54.690	那當我在看的時候我就想到我孩子小的時候。
54.690	61.232	我孩子在美國出生小的時候那當然我們一開始都是跟他講中文因為家裡講中文嘛。
61.232	65.333	但是慢慢大了他就要開始接觸社會就要學英文了。
65.333	71.815	所以他大概在兩歲多的時候我就給他買了那個 英文的圖畫字典。
71.815	77.117	那個圖畫字典就是一個圖畫上面有一個英文字,告訴他那是什麼東西。
77.117	85.880	有一天呢,他就看到一個小熊躺在床上,頭上放了一個冰袋,嘴巴裡插了一個溫度計。
85.880	87.340	那他就說,媽咪,What's this?
87.340	89.441	他說,這是什麼東西?
89.441	90.761	我說,指那個溫度計。
90.761	92.862	我說,這是Thermometer。
92.862	95.263	他說,哦,這個是Her mommy give her啊。
98.916	108.050	我跟他說thermometer,他聽成her mommy give her,因為對他來講make perfect sense,非常的合理。
108.050	130.752	當我看《立位記》我就在想, 以前我覺得我的領受就是Hermamine Gifford,覺得好像還挺清楚的,可是事實上呢,當我後來慢慢再看,這一次又跟著《嚴經事義》再看的時候,就覺得,哇,裡面覺得更加地清楚,原來這個《立位記》,《立位記》是什麼呢?
130.752	160.521	原來《立位記》是一個神教導百姓通向聖節的一個示意圖, 我們也知道利未記他之所以發生在以色列歷史上的時間是當他們被從埃及地為奴四百多年領出來到曠野開始他們以為要進入應許之地了但是他們做了四百多年的奴隸 不知道到底我們應該怎麼生活,到底我的人際關係是什麼。
160.521	171.088	同時這一位帶我出來這個神,我連他的名字也都搞不清楚,那我怎麼樣活,怎麼樣跟這個神建立關係。
171.088	194.463	於是利未記在這個時候呢,神就藉著摩西告訴大家,如何來跟我這個神建立關係,如何你們彼此之間建立關係,如何你們可以活在這個世界上, 這個是一個蒙福,怎麼樣是蒙福,怎麼樣你就會招災。
194.463	199.886	你那個招災,你也不用招,因為你就已經在災裡面。
