start	end	text
1.271	5.474	感謝主,我們繼續鼓勵弟兄姊妹來做見證。
5.474	14.662	在高山低谷、順境、逆境上帝幫助你知道怎麼樣處豐盛、怎麼樣處卑賤。
14.662	16.263	是刀劍嗎?
16.263	18.105	是赤身露體嗎?
18.105	18.865	是困苦嗎?
18.865	24.670	是各種環境它能夠隔絕耶穌基督跟我們的愛嗎?
24.670	25.851	可以嗎?
25.851	26.251	不能。
26.251	27.132	我們剛讀過的羅馬書第8章,阿們。
28.899	43.048	其實我覺得很可惜,因為現在已經進到立位祭,其實我很想繼續講羅馬書,所以我就把這樣的一個重責大任拜託給下個禮拜的羅牧師,他幫助我們又講立位祭又講羅馬書,太厲害了。
43.048	50.192	好,弟兄姊妹,那我今天還是得幫大家稍微複習一下立位祭。
50.192	56.342	立位祭,我前半段講立位祭的五個祭, 立位祭獻上五種獻祭。
56.342	62.265	後面我要講一下如何成為一個神所喜悅的服侍者,就是祭司。
62.265	63.166	阿們。
63.166	65.527	經文先不用出來,因為我先講前面五個祭。
65.527	68.728	好,那五個祭。
68.728	70.949	繁祭,什麼叫繁祭?
70.949	73.350	就是你很繁的時候,怎麼樣?
73.350	74.931	你就來獻祭。
74.931	77.252	是這個意思嗎?
77.252	81.934	蘇恩姊,不是你很繁的時候來獻個祭,解憂。
83.712	140.308	它是一個火再一個什麼樣翻其實就是燒的意思燒掉所以有些聖經的譯本會翻為燒化祭把它燒掉把它融化掉的一個獻祭繁祭它的原文其實很簡單就是讓一個東西往上昇 有時候我們看這個舊約我覺得很多很有意思因為神為什麼祂要這樣做祂有時候並沒有很清楚告訴我們為什麼是這種形式例如說我以前很難接受就是說你說我是罪人我承認我也發現我犯罪可是為什麼要一個無辜的第三者他死然後上帝你說 那個無辜的第三者是替我的罪而死。
140.308	146.892	我只要相信那個無辜的第三者是替我而死,上帝就赦免我。
146.892	153.897	我想這個上帝這個邏輯,這個腦袋那時候我念臺大的時候覺得說這些基督徒是在幹什麼?
153.897	156.678	這個腦袋這個邏輯有問題。
156.678	159.580	但是這種想法從舊約就開始了。
159.580	198.556	舊約時候神就告訴他們說,當你發現你犯罪的時候, 你就把你家裡面自己養的一隻最棒的最強壯的沒有皮膚病的最像你的不是說你家裡養豬所以豬很像你不是這個意思那叫豬頭也就是說因為這個猶太人他們是有種一點田但是他們有養了很多的這些牛羊他們畜牧業還是他們很重要的一個工作 從你所養的這個動物裡面,是你精心所賜養的。
198.556	203.699	你覺得最能夠代表你的誠意,最像你的。
203.699	205.680	你親自把它帶到神的面前。
205.680	209.662	有沒有養過寵物?
209.662	212.384	有沒有養過很多年感情很好的寵物?
212.384	216.666	有啊,我兒子之前我們養了一隻貓,養了十年了。
216.666	220.408	他過世的時候,全家氣不成聲。
220.408	221.609	真的啊,因為有感情嘛。
223.183	235.893	你帶那隻你養到大的,而且是你最引以為榮的那一隻動物,你覺得牠最像你的,然後你把牠牽到祭司的前面來。
235.893	259.426	羅牧師是祭司,我把牠牽到羅牧師面前來,然後我親自拿著一把刀,我另外一隻手按在這個牛的頭上,我看著牠,牠看著我,牠不知道我要幹嘛, 就如同亞伯拉罕要獻以撒的時候,以撒一下子不知道他爸爸要幹嘛。
