start	end	text
131.357	142.324	繁體中文，臺灣國語。
262.346	572.638	繁體中文， 繁體中文 繁體中文， 繁體中文，臺灣國語。
757.244	912.713	繁體中文， 繁體中文， 很穩定,但是我們已經經歷了一場很大的風波。
912.713	917.016	但是我們知道我們每一次就是跟神連結。
917.016	918.857	上帝從來不讓我們失望。
918.857	919.738	阿們嗎?
919.738	920.118	阿們。
920.118	926.042	好不好,我們先到的弟兄姊妹,我們就先一起安靜下來。
926.042	931.466	那我們來跟耶穌說,耶穌我在這裡。
931.466	934.208	我把一切的重擔跟壓力都卸下來。
938.575	943.038	不管來以前發生什麼事,面對多少的困難。
943.038	957.329	所以耶穌我在這裡,我要來親近祢的寶座。
957.329	976.473	耶穌呼召我們進前來,卸下來祢的所有所有的壓力跟重擔, 所有線上的家人。
976.473	978.913	在現場所有的家人。
978.913	982.794	讓我們一起來跟我們的神說。
982.794	983.075	耶穌。
983.075	985.395	我是你的孩子。
985.395	987.196	我是你手下的民。
987.196	990.777	是你草場的羊。
990.777	996.799	我要按著你名所當得的榮耀。
996.799	997.539	歸還給你。
997.539	1001.460	沒有改變的一個事實。
1002.875	1011.161	就是我是按照神榮耀的形象跟樣式被創造的百姓。
1011.161	1015.384	所以我要盡全來,來到我的父面前。
1015.384	1026.131	求上帝讓今天早晨凡求告主名的都要得救。
1028.985	1036.809	不僅是我們有永生的盼望,就在今天我們要經歷到真實的平安降臨下來。
1036.809	1044.933	需要平安、渴望同在的弟兄姊妹,好不好舉起我們的手來跟耶穌說,耶穌我在這裡。
1044.933	1047.255	耶穌我敬拜祢。
1047.255	1048.315	耶穌我需要祢。
1048.315	1052.457	好不好我們就來跟耶穌說這麼簡單的話,耶穌我敬拜祢。
1053.558	1056.219	耶穌,我渴慕祢。
1056.219	1058.401	耶穌,我愛祢。
1058.401	1061.302	是的,就這麼簡單的把你的心向耶穌打開。
1061.302	1065.264	Hallelujah, Hallelujah, Hallelujah。
1065.264	1068.306	謝謝聖靈,謝謝神的同在。
1068.306	1071.267	我們呼求祢的時候,救必得救。
1071.267	1075.189	耶穌的恩典是與敬畏祂的兒女同在的。
1075.189	1088.152	聖靈降下來, 高摩在直播前的每一位弟兄姊妹也在我們現場的每一個角落每一個生命說耶穌求祢靠近我。
1088.152	1090.433	耶穌求祢與我同在。
1090.433	1095.514	我們一起用掌聲把榮耀歸給耶穌阿們。
1095.514	1097.234	阿們。
1097.234	1100.955	我們要期待聖靈更多更多的降臨恩待我們阿們。
1102.398	1107.059	阿們 阿們 再大聲一點 把榮耀歸給耶穌。
1107.059	1138.377	哈利路亞 哈利路亞哈利路亞 我們的心靈和誠實 歡呼我們的神哈利路亞 阿們 阿們好不好 神的兒女我們就用神的話語來開始我們今天的敬拜我們一起來宣讀神的話語我們一起來看詩篇我們請Paul Point幫助我們我們要來看詩篇的話語 有嗎?
1138.377	1139.718	好的,好!
1142.415	1173.399	OK好沒有關係但是我們不被這些事情影響好不好我們再一次來禱告主謝謝祢我們奉耶穌基督的名再一次的來到祢面前主我們要用心靈跟誠實透過詩歌來遵從祢的名主啊願我們以聖節為裝飾來敬拜祢主啊就求祢的聖節來充滿我們祢的同在來充滿我們祢的無限來充滿我們 祝我們的眼目都要轉向祢。
1173.399	1176.740	Hallelujah來拍掌來讚美我們的神。
1176.740	1178.340	我的眼目轉向祢。
1178.340	1182.622	我的心轉向祢。
1182.622	1186.883	讚美神情。
1186.883	1188.264	眼目都轉向祢。
