start	end	text
1.681	28.251	各位弟兄姊妹早安是的願榮耀歸給主我們的神是又真又活的神 阿們 好,我想大家如果有在看我們的單張教會的粉絲頁或小組長的群組,會看到一個消息,就是新年,90年快到了,我們小組大家要一起來打掃,對不對?
28.251	30.531	因為這是我們的屬靈的家。
30.531	33.632	所以呢,每一個小組都有被分派到要打掃。
34.172	154.856	那不曉得你們的家是否已經打掃了呢使用了一年接著要面對新的一年大家已經有打掃家裡了嗎還是現在呢還停留在腦袋想打掃但還沒那個動力 我們家以前是在過年前就除夕的前一兩天我們就會全家一起打掃那我爸爸他就會去拆窗戶我們小孩就負責拿水開始清理 更小的時候那時候我們家經濟很不好的時候甚至我媽媽會去我們家附近幫人家打掃做傍用那我們都要去幫忙打掃所以記得小時候我對過年一想到過年我就是非常的負面天啊 又要打掃了而且不只打掃自己的家還要打掃別人的家 所以呢我不曉得你對過年你對這樣的一個大掃除你的印象是正面的太好了可以把累積一年的這些不好的全部把它清出去然後呢通常這個清的過程呢還可以找到寶貝對不對找到那種欸好像欸原來我這裡還有放什麼有時候常常在那什麼口袋裡面突然放到拿到錢對不對找到寶貝所以呢 當我們越長大的時候我對大掃除的印象就更好一點因為也不用打掃這麼多家另外也知道說大掃除的好處各位弟兄姊妹我們已經進入2021年了我們也將近要到了90年 盼望我們不只是我們自己的家裡來打掃,我們這個整個人,我們的生命,我們一起來打掃除。
154.856	158.078	我們今天一起要來看馬太福音。
158.078	160.619	馬太福音第九章。
160.619	169.504	如果你有在跟著莊牧師的每日眼睛示意,你就會知道,現在我們已經進到馬太福音第幾章?
169.504	170.485	第十章。
170.485	174.247	昨天就是到馬太福音第九章,今天開始進到第十章。
175.623	291.671	馬太福音一開始第一章就開始講到耶穌基督祂的家譜總共前後馬太用了三個十四代來講耶穌祂的出生是從哪裡來 接著呢第二章他就開始講到這剛出生的小小耶穌就隨著父母開始過逃亡的生活逃到埃及去然後等到要殺他們的那個希律王死了之後他們再回來加利利境內第三章就講到耶穌的表哥 約翰施洗約翰，耶穌的親戚施洗約翰，他開始對當時候的人呼籲要悔改然後約翰就在約旦河用水跟人施洗但他也預言了將來有一位要用聖靈還有用火來施洗接著第三章也講到耶穌祂敬諸般的義祂也讓施洗約翰洗禮 好 第四章就講到耶穌進到曠野去受試探了 這個時候祂的表哥施洗約翰就進了監獄就被抓了第五章第六章第七章就講到耶穌對跟隨祂的這一些人這些門徒眾百姓來教導很有名的登山保訓教導我們要跟隨耶穌做神的百姓我們要做光做眼教導仇恨等等接著呢第八章 開始第九章就是耶穌開始怎麼樣去各城各鄉每一個城鎮每一個城市開始那裡去實踐祂的教導。
