start	end	text
0.128	0.901	好,弟兄姊妹平安。
2.315	48.179	感謝主這個我就兩邊跑來跑去所以大家要習慣我也希望我們紀念我們在兩個堂會的弟兄姊妹都能夠繼續來建立教會感謝主上禮拜牧師有談到接下來我們建造教會有非常重要的三個步驟第一個是領人怎麼樣歸主來跟我講一次來領人歸主第二個呢是要怎麼樣裝備 門徒來裝備門徒來裝備門徒第三個呢要怎麼樣建立教會建立教會來三個步驟我們練習一下第一步怎麼樣領人歸主第二步呢 裝備門徒。
48.179	49.659	第三步呢?
49.659	52.040	建立教會。
52.040	60.344	領人歸屬我們都覺得很簡單嘛,就想辦法用盡一切的機會、方式讓那個人願意受洗就好了。
60.344	66.587	弟兄姊妹,不是那麼簡單的事情,因為我們要讓那個人非常清楚救恩是什麼。
67.227	70.231	不是因為教會人蠻溫暖的。
70.231	72.935	耶穌人還不錯。
72.935	74.356	牧師有點可憐。
74.356	77.320	我就捧個場給個面子。
77.320	79.683	就給他業績充斥一下。
79.683	82.627	弟兄姊妹，如果不清楚就恩。
83.148	88.712	祂的受洗基本上是非常令人擔憂的。
88.712	96.837	為了充業績的這種心態去傳福音、領人歸主,這個會有很大的後遺症。
96.837	101.140	因為常常生了之後呢,就撫養上會非常的辛苦。
101.140	104.242	所以我們領人歸主有兩個重要的事情。
104.242	108.525	第一個就是要讓祂清楚救恩,就是你到底在信什麼。
108.985	111.746	那我怎麼知道你清楚救恩呢?
111.746	114.886	我怎麼知道你清楚你在信什麼?
114.886	117.667	我要看你生命有沒有改變。
117.667	122.208	生命如果沒有改變,代表你只有頭腦知道救恩是什麼。
122.208	128.409	可是你不知道怎麼樣活在你的生活裡面,你就不會產生生命的改變。
128.409	132.150	重點來啦,那什麼又是生命的改變呢?
132.150	135.171	哎呀,我以前,我比以前脾氣好一點。
135.171	136.131	這是生命的改變。
136.391	140.193	我比以前有愛心一點﹖這是生命的改變。
140.193	148.217	我的婚姻家庭關係﹖經濟的關係﹖我的身體健康又比以前好一點﹖這當然也是生命的改變。
148.217	154.100	但這並不是我們在《領人歸祖》裡面所要看見那最重要的生命的改變。
154.480	157.343	那些是一些現象的改變。
157.343	162.267	我們談的生命的改變是你這個人生命結構的改變。
162.267	167.131	因為生命結構的改變才能夠真正的做一個新造的人。
