start	end	text
56.186	229.862	繁體中文， 繁體中文，臺灣國語。
259.326	422.645	繁體中文， 繁體中文， 繁體中文，臺灣國語。
486.459	660.134	繁體中文， 繁體中文，臺灣國語。
849.377	892.925	各位弟兄姊妹平安很開心我們又來到了每個禮拜我們期待的要來朝見主的這一天好不好那麼我們現在就來預備我們自己的心我們從座位上站立起來我們一起來 來 準備來敬拜我們的神好不好 我們同聲的開口來為自己的心禱告我們來到祂的面前我們也邀請祂來進入到我們的心裡面來今天在敬拜當中來進行祂的心意要行的祂的心意要行的所有的神跡啟示 好嗎 我們一起來同聲開口,我們來讚美祂。
892.925	895.725	Hallelujah,我們讚美祢,祝我們讚美祢,祝是祢的事。
895.725	946.953	祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事,祝是祢的聖事, 在每生起﹐ 我們再讚美祂,來。
971.664	978.866	讚美神奇,也不得追尋祢。
978.866	979.447	祂追尋祢。
979.447	980.687	盼望燃起。
980.687	983.068	人心嚮往著祢。
983.068	983.848	嚮往著祢。
1002.261	1009.943	當遇見你就有能力過每一天。
1009.943	1015.025	你同在裡,一切懼怕將被抹去。
1015.025	1021.927	當遇見你就有能力過每一天。
1024.821	1032.087	你同在裡﹐一切去旁﹐想被挪去﹐我被挪去。
1032.087	1046.418	歐薩納﹐歐薩納﹐你是我們救贖主﹐配得所有的讚美。
1055.060	1059.862	來承受祢的指引,願祢降臨主耶穌。
1059.862	1067.545	聽見人心不斷會轉向祢,會轉向祢。
1080.879	1083.240	主的意志來充滿我們。
1083.240	1089.743	我隨生命﹐在祢的國度裏。
1089.743	1105.390	全每個心﹐聽見人心﹐不斷回轉向祢。
1105.390	1105.650	回轉向祢。
1112.995	1127.152	我隨生命在祢的國度裏, 全被更新。
1127.152	1132.058	當遇見祢,就有能力過每一天。
1134.394	1141.900	你同在裡,一切懼怕將被抹去。
1141.900	1150.106	歐薩納,歐薩納,你是我們救贖主,配合所有的讚美。
1162.108	1171.674	來成就祢的旨意,願祢將領主耶穌。
1171.674	1177.919	吾撒那,吾撒那,祢是我們救贖主,配得所有禮贊美。
1194.104	1199.731	來成就祢的旨意,願祢降臨主耶穌。
1205.657	1268.043	祝我們讚美祢,祝我們讚美祢,祝祢是我們的力量,祝祢是我們的盼望,祝祢是我們的神救主,祝祢是我們的神救主,祝祢是我們的神救主,祝祢是我們的神救主,祝祢是我們的神救主,祝祢是我們的神救主, 歐薩納 歐薩納 Hosanna, Hosanna,來成就祢的旨意,願祢降臨主耶穌。
1285.316	1298.463	你是我們救贖主﹐配得所有的讚美。
1298.463	1298.463	Hosanna!
1298.463	1298.463	Hosanna!
1298.463	1307.088	來成就祢的旨意﹐願祢降臨主耶穌。
1307.088	1314.412	來成就祢的旨意﹐願祢降臨主耶穌。
1332.534	1336.196	是的,我們將一切榮耀、頌讚都歸給祢。
1336.196	1343.479	是的,主,讓我們遇見祢的得勝,祢是得勝又得勝的那一位。
1343.479	1344.079	Hallelujah!
1344.079	1346.000	Hallelujah!
1346.000	1349.482	祢是平信封王的那一位。
1349.482	1361.742	這世上的苦難,像海浪不曾停止, 海大海洋。
1361.742	1368.444	我們相距離散。
1368.444	1373.465	有沒有一種約定。
1373.465	1377.566	永遠不得開。
1377.566	1386.709	誰能告訴我生命的答案。
1386.709	1387.649	超越了時空的束縛。
1390.862	1397.747	耶穌祢勝過了世間,勝過了死亡。
1399.258	1407.560	閃過了黑暗的城市。
1407.560	1409.121	坐在不由邊。
1409.121	1410.421	世界的亮光。
1410.421	1414.642	榮耀的君王。
1414.642	1415.183	耶穌。
1415.183	1417.383	無罪的羔羊。
1417.383	1422.285	為我走上十字架。
1432.705	1436.669	這世上的苦難。
1436.669	1442.154	像海浪不曾停止。
1442.154	1444.416	排大海岸。
1444.416	1452.765	人們想距離散。
1452.765	1455.747	有沒有一種約定。
1456.596	1468.109	永遠不更改,誰能告訴我生命的答案。
1468.109	1475.938	超越了時空的祝福,永遠的愛,耶穌你閃光了世界。
1477.927	1479.588	生過了死亡。
1479.588	1483.910	生過了黑暗的城市。
1483.910	1488.372	坐在不由邊。
1488.372	1489.593	你是世界的亮光。
1489.593	1492.894	你是榮耀的君王。
1492.894	1494.035	耶穌。
1494.035	1497.076	無罪的羔羊。
1497.076	1503.539	為我走上十字架。
1503.539	1506.821	耶穌祢生過了死亡。
1507.381	1514.747	我們一起來思想。
1514.747	1521.693	繁體中文，臺灣國語。
1521.693	1524.475	我們一起來思想。
1524.475	1528.599	繁體中文，臺灣國語。
1528.599	1529.700	我們一起來思想。
1529.700	1533.343	繁體中文，臺灣國語。
1535.828	1541.652	耶穌你閃光了世界。
1541.652	1542.573	閃光了死亡。
1542.573	1546.716	閃光了黑暗的城市。
1546.716	1550.759	坐在不由邊。
1550.759	1552.460	世界的亮光。
1552.460	1557.624	榮耀的去往。
1557.624	1559.765	耶穌無罪的羔羊。
1559.765	1564.629	為我坐上十字架。
1593.797	1619.420	是的主我們向祢獻上讚美這是孩子們的在祢面前的敬拜也是我們 在祢的面前﹐主﹐我們的心裏面﹐對祢的愛以及敬仰。
1619.420	1623.762	就願祢的同在﹐在我們當中。
1623.762	1627.784	主﹐在今天﹐主﹐讓我們所有的人﹐都來遇見祢。
1627.784	1640.469	我們向祢先上感謝﹐我們讚美祢﹐我們將敬拜﹐我們將讚美﹐主父耶穌基督﹐榮耀得勝的名。
1640.469	1717.687	阿們﹐感謝主﹐ 弟兄姊妹請坐我們有需要我們沒有撞釘各位弟兄姊妹早安我們今天早上有洗禮 阿門﹗ 所以,盼望每一個人,你渴望你的家人還沒受洗的,還沒信主的,你渴望你現在在跟祂陪讀,你渴望你現在期待,你試圖在跟祂傳福音,但是還沒有看到結果的,你渴望他們也能夠來受洗歸入主名嗎?
1718.268	1746.543	好不好我們現在我們就為我們現在臺上的是因為有人撒種有人去陪伴他們傳福音給他們他們今天在這裡我們向神獻上感謝也為你自己現在正在傳福音的對象還有你的負擔你的親友還沒有認識神的你真的渴望福音領導他們我們同聲的為他們來祝福祷告我們同聲開口 哈雷路亞主我們要讚美你。
1746.543	1747.784	主啊謝謝你。
1747.784	1749.705	主要是的是你自己親自恩待。
1749.705	1751.746	自己親自憐命。
1751.746	1754.507	主啊讓有人向他們傳福音。
1754.507	1756.227	主啊讓他們遇見你。
1756.227	1759.829	以至於他們今天願意受洗歸入主名。
1759.829	1763.270	主這是何等大的恩典向你獻上讚美。
1763.270	1764.131	主我們祈求你。
1764.531	1787.902	求祢真的是我們眾人繼續在傳福音的,還有我們的家人,我們也試圖的要把福音帶給他們,但現在還沒結果的,祝我們真的仍然把它交托仰望在祢的手裡,願聖靈繼續更深的來動工, 愿圣灵帮助我们也不失去信心,不失去盼望。
1787.902	1798.912	我们要继续的奉主耶稣基督的名,勇敢的,凭信心,继续的来祝福祂们,为祂们来带导,直到我们见到祂们乐意受洗归入主名,成为祢名下的百姓。
1798.912	1806.839	主啊,是的,进入祢所为祂们预备的那丰盛的人生,丰盛的命运里面,主我们赞美祢,哈雷路亚。
1808.865	1811.887	親愛的恩主這是一個榮耀的日子。
1811.887	1815.529	主我們看見我們當中有人願意受洗歸入主名。
1815.529	1818.911	立定心志要跟隨耶穌。
1818.911	1820.492	何等美的見證。
1820.492	1837.487	主啊是的我們要把今天在臺上將要受洗的弟兄姊妹 主 凡在祂們生命當中﹐帶福音給祂們﹐在祂們生命當中﹐代替耶穌基督﹐來服侍祂們的﹐都向祢獻上感謝跟讚美。
1837.487	1845.655	求祢紀念﹐也求祢繼續的來恩待祂們﹐讓祂們所所做的功﹐所傳的福音﹐繼續結實累累。
1845.655	1851.680	主也求祢將這樣的恩典﹐恩膏﹐賞賜給我們眾人﹐ 我們每一個人都要領受。
1851.680	1856.704	因為我們要使萬人能夠來信你耶穌基督。
1856.704	1858.686	能夠來認識你跟隨你。
1858.686	1860.367	與我們一起奔走天路。
1860.367	1863.129	奉耶穌基督寶貴的名祈求。
1863.129	1863.749	阿們。
1863.749	1868.052	我們拍一場將一切榮耀歸給神。
1868.052	1869.693	好的。
1869.693	1871.915	今天呢我們要受洗的有兩位。
1871.915	1873.836	來請先往前一步。
1873.836	1875.157	來先往前走。
1875.157	1875.878	往前一點點。
1876.869	1880.770	繁體中文，臺灣國語。
1880.770	1882.451	繁體中文，臺灣國語。
1882.451	1883.951	繁體中文，臺灣國語。
1903.985	1951.043	那靜華你要跟我們分享你的見證對不對好我們把最大掌聲來我們來鼓勵一下靜華大家好我是喬靜華靜華大概是是敬畏耶和華 詩篇111篇第十節,敬畏耶和華是智慧的開端。
1951.043	1956.266	我想要我自己成為有一個智慧的人,神會赦免我的罪。
1963.660	1997.031	哇 太棒了好 鏡華真的不教人家小看他年紀輕對不對阿門好的 那我們也請韋欣姊稍微介紹一下自己好不好 大家平安，我叫張維欣。
1997.031	2000.575	很高興今天來這邊接受壽喜。
2000.575	2004.581	以後我就是天父的兒女了。
2004.581	2009.527	遇到有什麼困難，我就可以直接向天父來祷告了。
2010.128	2014.931	我進來這邊,是我們學校一個信心,他帶我進來的。
2014.931	2019.834	我們娛樂小組的麗華姐,她對我也很用心,她幫我輔導。
2019.834	2027.199	最後讓我感動的,就是有一次在禱告的時候,我一直講,我不會,我都不懂,我都沒感動。
2027.199	2032.983	很奇妙的,那一本聖經,就忽然會震動,聯繫就震了三次。
